Date;Price
24.03.2025;41,38314
21.03.2025;41,19006
20.03.2025;41,30936
19.03.2025;41,60074
18.03.2025;41,19635
17.03.2025;41,54297
14.03.2025;40,96673
13.03.2025;40,33164
12.03.2025;40,30439
11.03.2025;39,98537
10.03.2025;40,03693
07.03.2025;40,96652
06.03.2025;40,9373
05.03.2025;41,24247
04.03.2025;40,96946
03.03.2025;40,82547
28.02.2025;41,56007
27.02.2025;42,09667
26.02.2025;42,58077
25.02.2025;42,12531
24.02.2025;42,21331
21.02.2025;42,91312
20.02.2025;42,93069
19.02.2025;42,86263
18.02.2025;42,78193
14.02.2025;42,26706
13.02.2025;42,26933
12.02.2025;42,00077
11.02.2025;42,09356
10.02.2025;42,39721
07.02.2025;41,85235
06.02.2025;41,66105
05.02.2025;41,32438
04.02.2025;41,60162
03.02.2025;41,25486
31.01.2025;40,99808
30.01.2025;41,48027
29.01.2025;40,77344
28.01.2025;40,73648
27.01.2025;40,20402
24.01.2025;40,86195
23.01.2025;40,88731
22.01.2025;40,86589
21.01.2025;40,82142
17.01.2025;40,9396
16.01.2025;40,5555
15.01.2025;40,64748
14.01.2025;40,1147
13.01.2025;39,93932
10.01.2025;40,10737
08.01.2025;40,5589
07.01.2025;40,51317
06.01.2025;40,72006
03.01.2025;40,93028
02.01.2025;40,68193
31.12.2024;40,4097
30.12.2024;40,36944
27.12.2024;40,59111
26.12.2024;40,80868
24.12.2024;41,04341
23.12.2024;40,88286
20.12.2024;40,53121
19.12.2024;40,62922
18.12.2024;40,05728
17.12.2024;40,91429
16.12.2024;41,66112
13.12.2024;41,94931
12.12.2024;41,89125
11.12.2024;42,15294
10.12.2024;41,89343
09.12.2024;42,34882
06.12.2024;41,56004
05.12.2024;41,55942
04.12.2024;41,40647
03.12.2024;41,33346
02.12.2024;41,40923
29.11.2024;40,9349
27.11.2024;40,83775
26.11.2024;41,19389
25.11.2024;41,30269
22.11.2024;41,5395
21.11.2024;41,25667
20.11.2024;41,16977
19.11.2024;41,03025
18.11.2024;41,01596
15.11.2024;40,71476
14.11.2024;40,6762
13.11.2024;40,86479
12.11.2024;40,98237
11.11.2024;41,60954
08.11.2024;41,6939
07.11.2024;42,36927
06.11.2024;41,75445
05.11.2024;41,49131
04.11.2024;41,08734
01.11.2024;41,05759
31.10.2024;40,92248
30.10.2024;41,17431
29.10.2024;41,81011
28.10.2024;41,90864
25.10.2024;41,75845
24.10.2024;41,77227
23.10.2024;41,98459
22.10.2024;42,09845
21.10.2024;42,14807
18.10.2024;42,25637
17.10.2024;42,00462
16.10.2024;41,90283
15.10.2024;41,49679
14.10.2024;42,35003
11.10.2024;42,35724
10.10.2024;42,20613
09.10.2024;41,98501
