"Data","Ultimo","Apertura","Massimo","Minimo","Vol.","Var. %"
"24.03.2025","7,084","7,049","7,090","7,033","24,05K","0,91%"
"21.03.2025","7,020","6,985","7,011","6,955","42,82K","0,10%"
"20.03.2025","7,013","7,053","7,064","7,011","33,87K","-0,03%"
"19.03.2025","7,015","6,984","7,016","6,974","19,88K","0,52%"
"18.03.2025","6,979","7,028","7,042","6,970","22,55K","-0,60%"
"17.03.2025","7,021","6,970","7,028","6,949","18,58K","0,60%"
"14.03.2025","6,979","6,930","6,985","6,908","37,04K","0,91%"
"13.03.2025","6,916","6,937","6,970","6,906","19,20K","-0,47%"
"12.03.2025","6,949","6,940","7,004","6,925","18,84K","1,40%"
"11.03.2025","6,853","7,004","7,004","6,840","37,39K","-3,17%"
"10.03.2025","7,077","7,132","7,132","7,038","45,83K","-0,35%"
"07.03.2025","7,102","7,151","7,151","7,090","15,85K","-1,54%"
"06.03.2025","7,213","7,213","7,223","7,149","27,42K","0,07%"
"05.03.2025","7,208","7,262","7,274","7,200","32,58K","-0,50%"
"04.03.2025","7,244","7,350","7,353","7,252","26,39K","-2,39%"
"03.03.2025","7,421","7,502","7,505","7,421","31,39K","0,15%"
"28.02.2025","7,410","7,431","7,432","7,400","26,57K","-1,41%"
"27.02.2025","7,516","7,488","7,518","7,422","37,39K","0,00%"
"26.02.2025","7,516","7,506","7,532","7,484","30,63K","1,02%"
"25.02.2025","7,440","7,571","7,571","7,440","52,34K","-1,60%"
"24.02.2025","7,561","7,554","7,582","7,532","52,35K","-0,25%"
"21.02.2025","7,580","7,565","7,596","7,561","36,39K","0,17%"
"20.02.2025","7,567","7,558","7,582","7,546","29,67K","-0,17%"
"19.02.2025","7,580","7,530","7,590","7,514","38,34K","0,61%"
"18.02.2025","7,534","7,547","7,562","7,527","139,01K","-0,13%"
"17.02.2025","7,544","7,511","7,544","7,511","56,43K","0,47%"
"14.02.2025","7,509","7,538","7,541","7,503","127,34K","-0,23%"
"13.02.2025","7,526","7,500","7,565","7,482","73,90K","0,32%"
"12.02.2025","7,502","7,519","7,554","7,466","44,75K","-0,73%"
"11.02.2025","7,557","7,621","7,623","7,559","41,82K","-0,85%"
"10.02.2025","7,622","7,658","7,674","7,617","30,57K","-0,43%"
"07.02.2025","7,655","7,705","7,727","7,660","29,15K","-1,73%"
"06.02.2025","7,790","7,829","7,859","7,785","56,04K","0,15%"
"05.02.2025","7,778","7,680","7,782","7,671","31,67K","1,18%"
"04.02.2025","7,687","7,731","7,731","7,667","45,75K","-1,32%"
"03.02.2025","7,790","7,715","7,790","7,711","37,05K","-0,20%"
"31.01.2025","7,806","7,793","7,841","7,738","33,82K","0,54%"
"30.01.2025","7,764","7,714","7,773","7,701","22,87K","0,83%"
"29.01.2025","7,700","7,711","7,745","7,692","20,14K","0,00%"
"28.01.2025","7,700","7,708","7,771","7,700","60,69K","0,22%"
"27.01.2025","7,683","7,624","7,695","7,578","67,21K","0,48%"
"24.01.2025","7,646","7,676","7,676","7,612","33,16K","0,01%"
"23.01.2025","7,645","7,656","7,662","7,585","30,53K","0,12%"
"22.01.2025","7,636","7,625","7,651","7,615","29,36K","0,73%"
"21.01.2025","7,581","7,531","7,584","7,530","39,46K","0,81%"
"20.01.2025","7,520","7,537","7,538","7,500","35,87K","-0,32%"
"17.01.2025","7,544","7,561","7,577","7,536","33,54K","0,13%"
"16.01.2025","7,534","7,533","7,552","7,495","15,63K","0,35%"
"15.01.2025","7,508","7,456","7,539","7,450","23,98K","0,05%"
"14.01.2025","7,504","7,607","7,623","7,500","25,91K","-0,74%"
"13.01.2025","7,560","7,530","7,571","7,509","169,32K","0,31%"
"10.01.2025","7,537","7,566","7,584","7,528","14,62K","-0,63%"
"09.01.2025","7,585","7,561","7,589","7,555","39,18K","0,46%"
"08.01.2025","7,550","7,529","7,557","7,500","26,58K","0,49%"
"07.01.2025","7,513","7,443","7,569","7,428","11,49K","0,51%"
"06.01.2025","7,475","7,443","7,468","7,430","23,34K","0,52%"
"03.01.2025","7,436","7,402","7,438","7,382","10,39K","-0,34%"
"02.01.2025","7,461","7,343","7,461","7,340","40,13K","2,28%"
"30.12.2024","7,295","7,344","7,366","7,263","22,25K","-0,42%"
"27.12.2024","7,326","7,394","7,499","7,307","56,42K","0,47%"
"23.12.2024","7,292","7,335","7,337","7,282","31,92K","-0,40%"
"20.12.2024","7,321","7,227","7,321","7,183","57,35K","0,72%"
"19.12.2024","7,269","7,291","7,307","7,232","28,23K","-2,07%"
"18.12.2024","7,423","7,430","7,449","7,401","26,18K","0,38%"
"17.12.2024","7,395","7,392","7,426","7,382","101,93K","-0,70%"
"16.12.2024","7,447","7,380","7,450","7,372","117,55K","0,92%"
"13.12.2024","7,379","7,463","7,463","7,373","39,43K","-1,57%"
"12.12.2024","7,497","7,462","7,510","7,462","26,40K","0,07%"
"11.12.2024","7,492","7,506","7,519","7,480","76,55K","-0,44%"
"10.12.2024","7,525","7,503","7,525","7,485","38,91K","0,60%"
"09.12.2024","7,480","7,465","7,512","7,445","73,58K","0,15%"
"06.12.2024","7,469","7,422","7,505","7,405","81,67K","0,07%"
"05.12.2024","7,464","7,517","7,530","7,449","166,91K","-0,90%"
"04.12.2024","7,532","7,499","7,532","7,493","19,59K","-0,12%"
"03.12.2024","7,541","7,592","7,595","7,516","49,46K","-0,49%"
"02.12.2024","7,578","7,566","7,585","7,544","37,54K","0,58%"
"29.11.2024","7,534","7,545","7,567","7,519","304,25K","-0,29%"
"28.11.2024","7,556","7,550","7,564","7,536","14,36K","0,92%"
"27.11.2024","7,487","7,475","7,500","7,460","17,13K","0,52%"
"26.11.2024","7,448","7,462","7,462","7,393","25,94K","-0,45%"
"25.11.2024","7,482","7,437","7,487","7,430","135,15K","1,00%"
"22.11.2024","7,408","7,303","7,408","7,300","102,66K","1,83%"
"21.11.2024","7,275","7,192","7,275","7,188","31,97K","1,52%"
"20.11.2024","7,166","7,141","7,187","7,137","189,54K","1,10%"
"19.11.2024","7,088","7,083","7,100","7,026","26,54K","0,01%"
"18.11.2024","7,087","7,104","7,104","7,061","344,16K","-0,58%"
"15.11.2024","7,128","7,272","7,274","7,117","72,06K","-3,73%"
"14.11.2024","7,404","7,459","7,504","7,393","47,55K","-1,13%"
"13.11.2024","7,489","7,449","7,500","7,437","62,69K","-0,03%"
"12.11.2024","7,491","7,544","7,554","7,490","73,49K","-1,42%"
"11.11.2024","7,599","7,531","7,599","7,529","81,12K","1,80%"
"08.11.2024","7,465","7,458","7,472","7,415","49,22K","0,46%"
"07.11.2024","7,431","7,439","7,455","7,415","48,71K","0,55%"
"06.11.2024","7,390","7,506","7,567","7,369","98,00K","1,66%"
"05.11.2024","7,269","7,292","7,292","7,208","53,63K","-0,30%"
"04.11.2024","7,291","7,240","7,304","7,238","45,91K","0,12%"
"01.11.2024","7,282","7,177","7,282","7,161","4,99K","1,31%"
"31.10.2024","7,188","7,222","7,236","7,164","27,90K","-0,91%"
"30.10.2024","7,254","7,235","7,282","7,220","69,61K","0,01%"
"29.10.2024","7,253","7,280","7,280","7,250","19,26K","0,03%"
"28.10.2024","7,251","7,246","7,280","7,213","16,24K","0,26%"
"25.10.2024","7,232","7,224","7,248","7,208","75,65K","-0,40%"
"24.10.2024","7,261","7,289","7,296","7,259","24,51K","0,04%"
"23.10.2024","7,258","7,315","7,315","7,258","80,94K","-0,41%"
"22.10.2024","7,288","7,290","7,294","7,262","29,00K","-0,40%"
"21.10.2024","7,317","7,415","7,415","7,315","61,51K","-0,77%"
"18.10.2024","7,374","7,337","7,374","7,336","67,45K","0,35%"
"17.10.2024","7,348","7,336","7,400","7,336","55,51K","0,22%"
"16.10.2024","7,332","7,350","7,350","7,296","42,85K","-0,30%"
"15.10.2024","7,354","7,340","7,359","7,326","30,58K","0,73%"
"14.10.2024","7,301","7,292","7,307","7,263","34,23K","0,52%"
"11.10.2024","7,263","7,196","7,263","7,176","19,75K","0,79%"
"10.10.2024","7,206","7,210","7,210","7,158","11,73K","-0,14%"
"09.10.2024","7,216","7,165","7,216","7,165","11,09K","0,33%"
"08.10.2024","7,192","7,139","7,192","7,134","28,61K","0,36%"
"07.10.2024","7,166","7,208","7,220","7,158","37,51K","-0,28%"
"04.10.2024","7,186","7,168","7,221","7,161","50,24K","0,21%"
"03.10.2024","7,171","7,214","7,221","7,150","11,89K","-0,66%"
"02.10.2024","7,219","7,182","7,218","7,158","25,91K","0,63%"
"01.10.2024","7,174","7,216","7,251","7,154","23,89K","-0,08%"
"30.09.2024","7,180","7,188","7,204","7,140","30,26K","-0,44%"
"27.09.2024","7,212","7,160","7,212","7,154","84,61K","1,19%"
"26.09.2024","7,127","7,142","7,172","7,121","34,79K","0,15%"
"25.09.2024","7,116","7,146","7,178","7,114","33,77K","-1,02%"
"24.09.2024","7,189","7,226","7,239","7,169","40,28K","-0,46%"
"23.09.2024","7,222","7,270","7,298","7,217","55,06K","-0,04%"
