"Data","Ultimo","Apertura","Massimo","Minimo","Vol.","Var. %"
"24.03.2025","21,74","21,60","21,77","21,52","22,30K","0,98%"
"21.03.2025","21,53","21,55","21,62","21,47","118,60K","-0,78%"
"20.03.2025","21,70","21,63","21,89","21,63","37,85K","-0,43%"
"19.03.2025","21,79","21,69","21,81","21,58","41,83K","0,38%"
"18.03.2025","21,71","22,00","22,00","21,71","12,30K","-2,12%"
"17.03.2025","22,18","21,90","22,18","21,80","21,79K","1,05%"
"14.03.2025","21,95","21,95","22,06","21,85","12,50K","0,87%"
"13.03.2025","21,76","21,94","22,22","21,73","26,80K","-0,96%"
"12.03.2025","21,97","21,94","22,06","21,75","17,85K","0,88%"
"11.03.2025","21,78","21,94","21,97","21,48","17,99K","-1,28%"
"10.03.2025","22,06","22,16","22,47","21,90","35,83K","-2,04%"
"07.03.2025","22,52","22,35","22,71","22,35","28,16K","0,71%"
"06.03.2025","22,36","22,21","22,55","22,21","62,15K","-0,84%"
"05.03.2025","22,55","22,11","22,55","22,11","99,22K","2,39%"
"04.03.2025","22,02","21,80","22,18","21,73","16,16K","0,47%"
"03.03.2025","21,92","22,61","22,61","21,85","22,18K","-2,58%"
"28.02.2025","22,50","22,08","22,50","22,00","13,56K","1,21%"
"27.02.2025","22,23","22,46","22,64","22,21","105,62K","-1,01%"
"26.02.2025","22,46","22,67","22,72","22,39","15,42K","-0,81%"
"25.02.2025","22,64","22,91","22,93","22,56","15,08K","-0,79%"
"24.02.2025","22,82","23,02","23,07","22,69","12,00K","-1,25%"
"21.02.2025","23,11","23,33","23,33","23,06","13,86K","0,00%"
"20.02.2025","23,11","23,16","23,16","22,99","15,79K","0,48%"
"19.02.2025","23,00","22,87","23,09","22,83","49,14K","-0,04%"
"18.02.2025","23,01","22,99","23,31","22,93","20,98K","0,44%"
"14.02.2025","22,91","22,82","23,14","22,70","61,52K","0,75%"
"13.02.2025","22,74","22,45","22,74","22,32","19,98K","1,74%"
"12.02.2025","22,35","21,96","22,35","21,90","10,36K","0,90%"
"11.02.2025","22,15","22,29","22,36","22,06","18,34K","-1,42%"
"10.02.2025","22,47","22,67","22,88","22,40","58,43K","-0,13%"
"07.02.2025","22,50","22,88","22,97","22,50","30,96K","-1,45%"
"06.02.2025","22,83","23,29","23,29","22,83","43,90K","-1,55%"
"05.02.2025","23,19","22,51","23,22","22,51","43,30K","3,48%"
"04.02.2025","22,41","22,29","22,60","22,19","12,48K","0,49%"
"03.02.2025","22,30","22,19","22,58","22,16","18,14K","-2,19%"
"31.01.2025","22,80","22,94","23,17","22,70","20,66K","-0,31%"
"30.01.2025","22,87","22,75","23,12","22,70","18,78K","1,06%"
"29.01.2025","22,63","22,82","22,93","22,49","24,58K","-0,75%"
"28.01.2025","22,80","22,72","22,90","22,58","35,15K","0,09%"
"27.01.2025","22,78","22,63","23,14","22,63","29,16K","0,44%"
"24.01.2025","22,68","22,95","23,04","22,68","17,70K","-1,26%"
"23.01.2025","22,97","22,41","22,97","22,22","27,81K","2,27%"
"22.01.2025","22,46","22,49","22,60","22,33","16,25K","-0,09%"
"21.01.2025","22,48","22,21","22,49","22,13","24,79K","2,60%"
"17.01.2025","21,91","22,09","22,16","21,89","32,54K","0,05%"
"16.01.2025","21,90","21,98","22,03","21,79","86,27K","-0,09%"
"15.01.2025","21,92","21,98","22,15","21,80","18,53K","1,67%"
"14.01.2025","21,56","22,16","22,16","21,52","22,89K","-1,78%"
"13.01.2025","21,95","22,06","22,06","21,61","21,25K","-2,79%"
"10.01.2025","22,58","23,00","23,17","22,43","18,13K","-2,71%"
"08.01.2025","23,21","23,66","23,66","23,19","11,28K","-1,78%"
"07.01.2025","23,63","23,31","23,88","23,31","91,63K","1,99%"
"06.01.2025","23,17","23,12","23,45","23,06","23,52K","0,74%"
"03.01.2025","23,00","22,85","23,12","22,80","17,52K","1,05%"
"02.01.2025","22,76","22,75","23,05","22,69","20,13K","0,57%"
"31.12.2024","22,63","22,49","22,63","22,39","55,78K","0,53%"
"30.12.2024","22,51","22,65","22,69","22,40","63,83K","-1,40%"
"27.12.2024","22,83","22,90","23,01","22,66","52,86K","-0,57%"
"26.12.2024","22,96","22,65","22,99","22,65","38,36K","0,57%"
"24.12.2024","22,83","22,71","22,88","22,61","12,93K","0,18%"
"23.12.2024","22,79","22,64","22,81","22,52","23,13K","0,66%"
"20.12.2024","22,64","22,27","22,73","22,23","35,78K","1,16%"
"19.12.2024","22,38","22,51","22,51","22,16","50,19K","-0,09%"
"18.12.2024","22,40","23,32","23,32","22,33","97,88K","-3,90%"
"17.12.2024","23,31","23,16","23,44","23,14","47,87K","-0,55%"
"16.12.2024","23,44","23,29","23,63","23,23","105,26K","0,39%"
"13.12.2024","23,35","23,51","23,51","23,26","27,32K","-0,98%"
"12.12.2024","23,58","23,85","23,93","23,56","19,78K","-1,75%"
"11.12.2024","24,00","24,22","24,28","24,00","40,10K","-0,70%"
"10.12.2024","24,17","24,36","24,39","24,15","13,09K","-0,53%"
"09.12.2024","24,30","24,53","24,60","24,27","38,01K","-0,82%"
"06.12.2024","24,50","24,29","24,73","24,29","16,67K","1,38%"
"05.12.2024","24,17","24,02","24,26","24,02","20,44K","0,40%"
"04.12.2024","24,07","24,14","24,31","24,04","78,59K","-0,04%"
"03.12.2024","24,08","24,47","24,56","24,08","71,41K","-2,15%"
"02.12.2024","24,61","24,61","24,74","24,36","16,28K","-0,44%"
"29.11.2024","24,72","24,75","24,87","24,62","19,29K","0,29%"
"27.11.2024","24,65","24,37","24,66","24,37","18,42K","1,52%"
"26.11.2024","24,28","24,04","24,28","23,99","14,39K","0,65%"
"25.11.2024","24,12","23,92","24,19","23,82","17,20K","1,98%"
"22.11.2024","23,66","23,28","23,75","23,21","17,03K","1,53%"
"21.11.2024","23,30","23,22","23,44","23,00","44,28K","0,78%"
"20.11.2024","23,12","23,19","23,21","23,01","26,17K","-0,04%"
"19.11.2024","23,13","22,68","23,13","22,68","20,05K","0,09%"
"18.11.2024","23,11","23,05","23,15","22,96","33,12K","0,61%"
"15.11.2024","22,97","23,70","23,70","22,93","24,57K","-3,53%"
"14.11.2024","23,81","24,44","24,50","23,81","20,16K","-2,70%"
"13.11.2024","24,47","24,70","24,96","24,45","28,74K","-0,97%"
"12.11.2024","24,71","25,14","25,27","24,71","37,40K","-3,19%"
"11.11.2024","25,53","25,48","25,80","25,46","185,40K","0,57%"
"08.11.2024","25,38","25,25","25,40","25,25","21,42K","0,04%"
"07.11.2024","25,37","25,27","25,48","25,24","36,36K","1,22%"
"06.11.2024","25,07","25,00","25,17","24,84","24,71K","1,34%"
"05.11.2024","24,73","24,53","24,73","24,21","67,85K","0,71%"
"04.11.2024","24,56","24,53","24,68","24,30","42,56K","0,24%"
"01.11.2024","24,50","24,30","24,50","24,19","69,57K","1,53%"
"31.10.2024","24,13","24,28","24,29","24,06","17,84K","-1,63%"
"30.10.2024","24,53","24,35","24,61","24,35","12,40K","0,32%"
"29.10.2024","24,45","24,35","24,48","24,31","52,92K","0,67%"
"28.10.2024","24,29","24,02","24,40","24,02","29,73K","1,48%"
"25.10.2024","23,94","23,98","24,23","23,94","12,19K","0,07%"
"24.10.2024","23,92","24,01","24,15","23,89","41,67K","-0,33%"
"23.10.2024","24,00","24,16","24,16","23,91","17,84K","-0,95%"
"22.10.2024","24,23","24,10","24,23","24,05","22,44K","0,04%"
"21.10.2024","24,22","24,55","24,55","24,20","16,87K","-1,58%"
"18.10.2024","24,61","24,55","24,69","24,50","6,74K","0,36%"
"17.10.2024","24,52","24,69","24,69","24,49","31,68K","-0,60%"
"16.10.2024","24,67","24,60","24,75","24,47","20,32K","0,24%"
"15.10.2024","24,61","24,50","24,77","24,48","19,21K","0,04%"
"14.10.2024","24,60","24,52","24,62","24,47","19,32K","0,12%"
"11.10.2024","24,57","24,20","24,62","24,20","23,16K","1,74%"
"10.10.2024","24,15","24,17","24,23","24,05","18,71K","-0,54%"
"09.10.2024","24,28","24,20","24,31","24,10","16,72K","0,12%"
"08.10.2024","24,25","24,18","24,38","24,18","6,19K","0,08%"
"07.10.2024","24,23","24,50","24,50","24,12","11,02K","-1,34%"
"04.10.2024","24,56","24,37","24,56","24,36","17,21K","1,74%"
"03.10.2024","24,14","24,26","24,34","24,14","12,54K","-1,43%"
"02.10.2024","24,49","24,35","24,50","24,22","16,16K","0,12%"
"01.10.2024","24,46","24,64","24,65","24,19","16,59K","-0,63%"
"30.09.2024","24,61","24,65","24,85","24,46","13,35K","0,22%"
"27.09.2024","24,56","24,58","24,74","24,56","29,02K","0,57%"
"26.09.2024","24,42","24,46","24,53","24,25","97,39K","0,98%"
"25.09.2024","24,18","24,58","24,58","24,15","57,94K","-1,25%"
"24.09.2024","24,49","24,45","24,52","24,27","46,79K","0,41%"
"23.09.2024","24,39","24,92","24,95","24,36","7,18K","-1,85%"
"20.09.2024","24,85","25,01","25,01","24,83","19,75K","-1,07%"
"19.09.2024","25,12","25,25","25,35","25,06","11,35K","0,94%"
"18.09.2024","24,89","25,01","25,26","24,88","8,26K","-0,38%"
"17.09.2024","24,98","24,97","25,24","24,93","15,69K","0,24%"
"16.09.2024","24,92","25,00","25,08","24,81","36,44K","-0,16%"
"13.09.2024","24,96","24,30","24,96","24,30","22,19K","2,67%"
"12.09.2024","24,31","24,30","24,37","24,02","11,60K","-0,53%"
"11.09.2024","24,44","24,36","24,48","24,32","6,02K","0,33%"
"10.09.2024","24,36","24,20","24,38","24,11","8,12K","0,74%"
"09.09.2024","24,18","23,94","24,18","23,82","7,68K","1,04%"
"06.09.2024","23,93","24,33","24,42","23,81","11,62K","-1,56%"
"05.09.2024","24,31","24,32","24,42","24,24","43,06K","0,12%"
"04.09.2024","24,28","24,31","24,47","24,19","11,42K","-0,49%"
"03.09.2024","24,40","24,88","25,07","24,35","36,13K","-2,24%"
"30.08.2024","24,96","24,99","25,06","24,80","12,40K","0,00%"
"29.08.2024","24,96","25,02","25,23","24,95","12,74K","0,24%"
"28.08.2024","24,90","24,96","25,13","24,87","8,48K","-0,59%"
"27.08.2024","25,05","25,12","25,17","24,88","9,59K","-0,33%"
"26.08.2024","25,13","25,09","25,23","25,07","7,92K","0,52%"
"23.08.2024","25,00","24,74","25,11","24,70","54,56K","1,63%"
"22.08.2024","24,60","25,12","25,12","24,60","8,83K","-1,57%"
"21.08.2024","24,99","24,78","25,02","24,78","15,15K","0,94%"
"20.08.2024","24,76","24,70","24,80","24,60","22,64K","0,22%"
"19.08.2024","24,70","24,30","24,72","24,30","103,54K","1,58%"
"16.08.2024","24,32","24,31","24,36","24,19","12,62K","-0,02%"
"15.08.2024","24,33","24,23","24,39","24,11","10,40K","1,69%"
"14.08.2024","23,92","24,18","24,18","23,76","27,58K","-0,87%"
"13.08.2024","24,13","23,97","24,16","23,88","18,86K","1,43%"
"12.08.2024","23,79","23,88","23,89","23,69","17,09K","-0,15%"
"09.08.2024","23,82","23,68","23,84","23,67","33,65K","0,65%"
"08.08.2024","23,67","23,26","23,73","23,23","20,88K","2,09%"
"07.08.2024","23,19","23,67","23,67","23,10","62,25K","-0,27%"
"06.08.2024","23,25","23,18","23,54","22,97","37,45K","0,61%"
"05.08.2024","23,11","22,67","23,38","22,50","88,36K","-2,75%"
"02.08.2024","23,76","24,43","24,43","23,47","69,76K","-2,22%"
"01.08.2024","24,30","24,63","24,70","24,26","39,83K","-2,00%"
"31.07.2024","24,80","25,03","25,08","24,80","15,41K","-0,32%"
"30.07.2024","24,88","25,25","25,25","24,74","20,11K","-1,82%"
"29.07.2024","25,34","25,51","25,51","25,16","83,30K","-0,59%"
"26.07.2024","25,49","25,36","25,70","25,36","27,91K","1,23%"
"25.07.2024","25,18","24,90","25,43","24,89","52,99K","1,90%"
"24.07.2024","24,71","24,62","24,90","24,62","17,82K","-0,52%"
"23.07.2024","24,84","24,60","24,92","24,53","13,81K","0,48%"
"22.07.2024","24,72","24,48","24,72","24,32","15,17K","1,59%"
