"Data","Ultimo","Apertura","Massimo","Minimo","Vol.","Var. %"
"24.03.2025","306,05","308,60","308,60","306,05","0,72K","0,26%"
"21.03.2025","305,25","306,15","306,15","304,60","0,03K","-1,67%"
"20.03.2025","310,45","311,80","311,80","310,30","0,02K","-0,85%"
"19.03.2025","313,10","312,25","312,95","311,80","0,65K","-0,19%"
"18.03.2025","313,70","315,05","315,05","313,50","1,51K","0,29%"
"17.03.2025","312,80","312,55","313,05","312,55","2,30K","0,42%"
"14.03.2025","311,50","309,70","312,35","309,70","0,18K","1,40%"
"13.03.2025","307,20","306,20","308,85","306,20","0,31K","0,11%"
"12.03.2025","306,85","307,55","308,35","307,45","0,51K","0,57%"
"11.03.2025","305,10","312,45","312,45","305,10","0,59K","-2,05%"
"10.03.2025","311,50","316,50","316,50","311,30","0,68K","-0,92%"
"07.03.2025","314,40","313,30","315,20","313,30","0,05K","-0,88%"
"06.03.2025","317,20","318,05","318,40","314,10","0,29K","1,05%"
"05.03.2025","313,90","312,80","315,70","312,80","0,06K","2,78%"
"04.03.2025","305,40","306,05","306,05","304,50","0,14K","-2,23%"
"03.03.2025","312,35","312,35","312,35","312,35","","1,12%"
"28.02.2025","308,90","307,80","309,50","307,80","0,09K","0,29%"
"27.02.2025","308,00","308,80","309,55","308,00","0,06K","-1,11%"
"26.02.2025","311,45","310,30","310,30","310,30","0,12K","1,48%"
"25.02.2025","306,90","306,45","308,10","306,45","0,06K","-0,68%"
"24.02.2025","309,00","310,80","310,90","309,00","0,20K","-0,87%"
"21.02.2025","311,70","311,40","311,40","311,40","0,05K","1,00%"
"20.02.2025","308,60","309,35","311,35","309,00","0,36K","-0,11%"
"19.02.2025","308,95","314,90","314,90","308,20","0,48K","-2,45%"
"18.02.2025","316,70","316,10","317,25","316,10","0,21K","-0,20%"
"17.02.2025","317,35","316,70","317,85","316,70","0,15K","0,21%"
"14.02.2025","316,70","314,10","318,80","314,10","0,17K","0,57%"
"13.02.2025","314,90","310,05","314,90","310,05","0,09K","2,32%"
"12.02.2025","307,75","307,75","308,50","307,00","0,46K","0,38%"
"11.02.2025","306,60","306,95","306,95","305,95","0,15K","-0,79%"
"10.02.2025","309,05","307,85","309,05","307,25","0,28K","0,44%"
"07.02.2025","307,70","308,75","309,50","308,10","0,37K","-0,61%"
"06.02.2025","309,60","306,55","309,60","306,20","0,19K","3,17%"
"05.02.2025","300,10","300,25","300,45","299,30","2,36K","-0,02%"
"04.02.2025","300,15","300,15","300,15","300,15","","0,42%"
"03.02.2025","298,90","297,50","298,40","297,50","0,01K","-1,17%"
"31.01.2025","302,45","302,60","302,60","302,45","0,07K","-0,33%"
"30.01.2025","303,45","303,30","303,45","302,20","0,18K","0,81%"
"29.01.2025","301,00","300,35","301,05","300,35","0,27K","-0,13%"
"28.01.2025","301,40","302,90","303,00","301,70","0,32K","-0,17%"
"27.01.2025","301,90","299,10","301,50","299,10","0,11K","0,08%"
"24.01.2025","301,65","301,60","301,65","301,60","0,12K","0,58%"
"23.01.2025","299,90","298,55","299,75","298,55","0,07K","-0,03%"
"22.01.2025","300,00","300,75","300,90","299,30","0,11K","-0,08%"
"21.01.2025","300,25","299,55","300,25","298,95","2,58K","-0,53%"
"20.01.2025","301,85","298,60","298,60","298,60","0,00K","0,95%"
"17.01.2025","299,00","299,35","299,35","299,00","0,00K","1,53%"
"16.01.2025","294,50","294,65","294,65","294,65","0,01K","0,19%"
"15.01.2025","293,95","291,35","293,90","291,10","0,02K","1,31%"
"14.01.2025","290,15","292,40","292,40","290,15","0,18K","-0,07%"
"13.01.2025","290,35","290,35","290,35","290,35","0,06K","0,17%"
"10.01.2025","289,85","293,20","293,20","289,85","0,07K","-0,94%"
"09.01.2025","292,60","292,30","292,50","292,30","0,09K","0,95%"
"08.01.2025","289,85","289,65","289,85","289,65","1,04K","-0,26%"
"07.01.2025","290,60","289,20","290,80","289,20","0,06K","-0,33%"
"06.01.2025","291,55","289,50","291,40","287,65","0,57K","0,95%"
"03.01.2025","288,80","290,20","290,20","289,30","0,03K","-1,35%"
"02.01.2025","292,75","293,20","293,20","293,20","0,00K","1,58%"
"30.12.2024","288,20","288,85","288,95","288,20","0,36K","-0,57%"
"27.12.2024","289,85","288,60","289,85","288,60","0,12K","0,73%"
"23.12.2024","287,75","287,70","287,70","287,70","0,00K","-0,03%"
"20.12.2024","287,85","285,90","287,85","285,90","0,55K","-0,38%"
"19.12.2024","288,95","289,95","290,90","289,60","0,12K","-1,77%"
"18.12.2024","294,15","293,75","294,15","293,75","0,11K","-0,66%"
"17.12.2024","296,10","295,00","295,60","295,00","0,05K","-0,44%"
"16.12.2024","297,40","299,95","299,95","296,95","0,03K","-0,62%"
"13.12.2024","299,25","302,10","302,10","301,20","0,04K","-1,42%"
