"Data","Ultimo","Apertura","Massimo","Minimo","Vol.","Var. %"
"18.03.2025","5,98","5,97","5,98","5,97","15,27K","0,17%"
"17.03.2025","5,97","5,97","5,97","5,96","110,31K","0,13%"
"14.03.2025","5,96","5,94","5,96","5,94","68,27K","0,21%"
"13.03.2025","5,95","5,97","5,97","5,95","176,49K","-0,28%"
"12.03.2025","5,97","5,96","5,97","5,96","77,68K","0,15%"
"11.03.2025","5,96","5,98","5,98","5,96","449,00K","-0,35%"
"10.03.2025","5,98","6,01","6,01","5,97","68,60K","-0,18%"
"07.03.2025","5,99","6,00","6,00","5,98","26,30K","0,11%"
"06.03.2025","5,98","6,03","6,03","5,98","359,85K","-0,43%"
"05.03.2025","6,01","6,01","6,02","6,01","157,36K","0,00%"
"04.03.2025","6,01","6,02","6,04","6,00","491,84K","-0,32%"
"03.03.2025","6,03","6,03","6,03","6,02","266,90K","0,19%"
"28.02.2025","6,02","6,02","6,02","6,01","43,45K","0,00%"
"27.02.2025","6,02","6,03","6,03","6,01","121,83K","0,10%"
"26.02.2025","6,01","6,04","6,04","6,01","118,78K","0,00%"
"25.02.2025","6,01","6,03","6,03","6,01","172,46K","0,00%"
"24.02.2025","6,01","6,03","6,04","6,01","98,90K","0,00%"
"21.02.2025","6,01","6,01","6,03","5,99","224,40K","0,10%"
"20.02.2025","6,00","6,02","6,02","6,00","118,66K","0,00%"
"19.02.2025","6,00","6,03","6,03","6,00","221,08K","-0,24%"
"18.02.2025","6,01","6,02","6,02","6,00","279,23K","0,00%"
"17.02.2025","6,01","6,02","6,02","6,00","366,74K","0,22%"
"14.02.2025","6,00","6,00","6,02","5,99","34,26K","0,00%"
"13.02.2025","6,00","6,00","6,00","5,99","152,96K","0,33%"
"12.02.2025","5,98","5,99","6,00","5,98","68,63K","-0,08%"
"11.02.2025","5,98","6,00","6,00","5,98","287,79K","0,00%"
"10.02.2025","5,99","5,99","6,00","5,98","23,64K","0,17%"
"07.02.2025","5,98","5,99","5,99","5,98","141,68K","-0,18%"
"06.02.2025","5,99","5,98","5,99","5,98","334,10K","0,09%"
"05.02.2025","5,98","5,99","5,99","5,97","304,39K","0,00%"
"04.02.2025","5,99","5,99","5,99","5,97","152,22K","0,23%"
"03.02.2025","5,97","5,96","5,97","5,95","178,74K","-0,09%"
"31.01.2025","5,98","5,97","5,98","5,97","26,22K","0,13%"
"30.01.2025","5,97","5,98","5,98","5,96","50,99K","0,27%"
"29.01.2025","5,95","5,97","5,97","5,93","121,68K","0,11%"
"28.01.2025","5,95","5,97","5,97","5,94","48,26K","0,13%"
"27.01.2025","5,94","5,92","5,94","5,92","29,53K","0,00%"
"24.01.2025","5,94","5,97","5,97","5,93","71,32K","0,00%"
"23.01.2025","5,94","5,96","5,96","5,93","157,42K","0,00%"
"22.01.2025","5,93","5,94","5,94","5,93","48,79K","0,16%"
"21.01.2025","5,93","5,92","5,93","5,92","47,49K","0,00%"
"20.01.2025","5,93","5,95","5,95","5,92","256,24K","0,00%"
"17.01.2025","5,92","5,93","5,93","5,92","269,13K","0,12%"
"16.01.2025","5,92","5,95","5,95","5,91","193,54K","0,00%"
"15.01.2025","5,92","5,90","5,92","5,89","33,12K","0,41%"
"14.01.2025","5,89","5,89","5,90","5,89","65,95K","0,00%"
