"Date","Price"
2025-03-24,453.02232
2025-03-21,444.27608
2025-03-20,441.91793
2025-03-19,442.4011
2025-03-18,433.36986
2025-03-17,442.34011
2025-03-14,440.78294
2025-03-13,431.45094
2025-03-12,437.26047
2025-03-11,431.31516
2025-03-10,436.50046
2025-03-07,453.55529
2025-03-06,452.16264
2025-03-05,465.47056
2025-03-04,470.07209
2025-03-03,473.78706
2025-02-28,488.76599
2025-02-27,480.70529
2025-02-26,490.38407
2025-02-25,488.78309
2025-02-24,496.39072
2025-02-21,502.80034
2025-02-20,512.18419
2025-02-19,518.27089
2025-02-18,516.34118
2025-02-14,512.18235
2025-02-13,514.00345
2025-02-12,506.71398
2025-02-11,510.3325
2025-02-10,513.23701
2025-02-07,506.60725
2025-02-06,510.2611
2025-02-05,505.6142
2025-02-04,505.41582
2025-02-03,503.99805
2025-01-31,501.238
2025-01-30,502.11193
2025-01-29,499.78889
2025-01-28,500.39317
2025-01-27,490.23739
2025-01-24,503.88165
2025-01-23,510.38712
2025-01-22,510.23327
2025-01-21,503.5985
2025-01-17,507.47982
2025-01-16,498.28105
2025-01-15,502.33327
2025-01-14,490.9409
2025-01-13,494.77393
2025-01-10,495.06101
2025-01-08,499.97089
2025-01-07,496.94222
2025-01-06,504.94802
2025-01-03,503.57351
2025-01-02,497.05796
2024-12-31,493.98976
2024-12-30,496.06504
2024-12-27,501.449
2024-12-26,508.64387
2024-12-24,510.11647
2024-12-23,502.85632
2024-12-20,497.32477
2024-12-19,496.2073
2024-12-18,493.05012
2024-12-17,510.28571
2024-12-16,512.00647
2024-12-13,505.45922
2024-12-12,501.38082
2024-12-11,505.26316
2024-12-10,495.33777
2024-12-09,494.35034
2024-12-06,498.98588
2024-12-05,493.76419
2024-12-04,496.59296
2024-12-03,490.90132
2024-12-02,491.31388
2024-11-29,482.34292
2024-11-27,477.77988
2024-11-26,486.44699
2024-11-25,483.11081
2024-11-22,485.44966
2024-11-21,481.4836
2024-11-20,477.75351
2024-11-19,475.86011
2024-11-18,472.11784
2024-11-15,470.72708
2024-11-14,481.75964
2024-11-13,484.67215
2024-11-12,483.55803
2024-11-11,482.52418
2024-11-08,480.10085
2024-11-07,475.27996
2024-11-06,471.31537
2024-11-05,450.32937
2024-11-04,446.33116
2024-11-01,449.82466
2024-10-31,445.45203
2024-10-30,456.81944
2024-10-29,462.85397
2024-10-28,458.10986
2024-10-25,458.4174
2024-10-24,455.38803
2024-10-23,453.31848
2024-10-22,458.88231
2024-10-21,457.91663
2024-10-18,455.01978
2024-10-17,453.81062
2024-10-16,451.70225
2024-10-15,450.73462
2024-10-14,456.33829
2024-10-11,450.76291
2024-10-10,451.66881
2024-10-09,450.69457
2024-10-08,445.79082
2024-10-07,438.91114
2024-10-04,444.63504
2024-10-03,436.61831
2024-10-02,436.27229
2024-10-01,435.38086
2024-09-30,437.80947
2024-09-27,436.46879
2024-09-26,438.23977
2024-09-25,436.29996
2024-09-24,434.95833
2024-09-23,434.19326
2024-09-20,431.75228
2024-09-19,433.27357
2024-09-18,423.80439
2024-09-17,425.83865
2024-09-16,425.23138
2024-09-13,428.8524
2024-09-12,428.40847
2024-09-11,425.39942
2024-09-10,415.94269
2024-09-09,411.31324
2024-09-06,405.06455
2024-09-05,415.31394
2024-09-04,415.52548
2024-09-03,418.34405
2024-08-30,431.01357
2024-08-29,424.70673
2024-08-28,424.06658
2024-08-27,426.97474
2024-08-26,425.51249
2024-08-23,429.56864
2024-08-22,427.40774
2024-08-21,432.89072
2024-08-20,432.08277
2024-08-19,434.59455
2024-08-16,431.68848
2024-08-15,432.15522
2024-08-14,419.9764
2024-08-13,421.60044
2024-08-12,413.23812
2024-08-09,412.50114
2024-08-08,410.73426
2024-08-07,398.06812
2024-08-06,402.20534
2024-08-05,397.2354
2024-08-02,411.2445
2024-08-01,426.16355
2024-07-31,435.81275
2024-07-30,423.09044
2024-07-29,428.66383
2024-07-26,426.11137
2024-07-25,421.90204
2024-07-24,427.03898
2024-07-23,442.8453
2024-07-22,443.06449
2024-07-19,436.60083
2024-07-18,439.25431
2024-07-17,440.77768
2024-07-16,455.8178
2024-07-15,454.93306
2024-07-12,453.75516
2024-07-11,452.68243
2024-07-10,464.54235
2024-07-09,460.47179
2024-07-08,459.13959
2024-07-05,458.30408
2024-07-03,454.83512
2024-07-02,453.76444
2024-07-01,449.09142
2024-06-28,447.0978
2024-06-27,449.80854
2024-06-26,449.70043
2024-06-25,447.80943
2024-06-24,441.79717
2024-06-21,449.10213
2024-06-20,449.67778
2024-06-18,451.82047
2024-06-17,452.2704
2024-06-14,447.79927
2024-06-13,444.08011
2024-06-12,437.2464
2024-06-11,435.89457
2024-06-10,432.23917
2024-06-07,428.4683
2024-06-06,425.81327
2024-06-05,426.66605
2024-06-04,417.61949
2024-06-03,416.28847
2024-05-31,415.51581
2024-05-30,416.55904
2024-05-29,422.00444
2024-05-28,422.69425
2024-05-24,422.19047
2024-05-23,419.35663
2024-05-22,420.28037
2024-05-21,419.93735
2024-05-20,418.65452
2024-05-17,415.64081
2024-05-16,415.69024
2024-05-15,416.57469
2024-05-14,412.24924
2024-05-13,410.48731
2024-05-10,410.22643
2024-05-09,409.26132
2024-05-08,409.51052
2024-05-07,408.83937
2024-05-06,408.62261
2024-05-03,404.57079
2024-05-02,398.33909
2024-05-01,394.97751
2024-04-30,397.59341
2024-04-29,403.45888
2024-04-26,402.99205
2024-04-25,395.5363
2024-04-24,398.94304
2024-04-23,397.26168
2024-04-22,393.29515
2024-04-19,389.19655
2024-04-18,397.45612
2024-04-17,399.84977
2024-04-16,405.74118
2024-04-15,405.28394
2024-04-12,411.83048
2024-04-11,415.53461
2024-04-10,408.31781
2024-04-09,407.39751
2024-04-08,406.08295
2024-04-05,406.48763
2024-04-04,400.90248
2024-04-03,408.18022
2024-04-02,409.64896
2024-04-01,414.40812
2024-03-28,411.27269
2024-03-27,411.1563
2024-03-26,409.30662
2024-03-25,410.40878
2024-03-22,413.08532
2024-03-21,410.63732
2024-03-20,408.47754
2024-03-19,403.69109
2024-03-18,402.50253
2024-03-15,398.67696
2024-03-14,403.36181
2024-03-13,401.79794
2024-03-12,406.31926
2024-03-11,400.35698
2024-03-08,401.33467
2024-03-07,407.28719
2024-03-06,402.48578
2024-03-05,401.51934
2024-03-04,408.93351
2024-03-01,411.15519
2024-02-29,406.48148
2024-02-28,401.61469
2024-02-27,403.2808
2024-02-26,402.53573
2024-02-23,403.49192
2024-02-22,404.87061
2024-02-21,393.79164
2024-02-20,395.22752
2024-02-16,399.4897
2024-02-15,403.74466
2024-02-14,403.70888
2024-02-13,399.95334
2024-02-12,403.76554
2024-02-09,405.20119
2024-02-08,401.73582
2024-02-07,401.29122
2024-02-06,397.72114
2024-02-05,398.96638
2024-02-02,397.82085
2024-02-01,388.00699
2024-01-31,384.30415
2024-01-30,392.37937
2024-01-29,395.99519
2024-01-26,390.10493
2024-01-25,393.38439
2024-01-24,390.4906
2024-01-23,390.95273
2024-01-22,387.05029
2024-01-19,386.75849
2024-01-18,380.28545
2024-01-17,374.72163
2024-01-16,376.9861
2024-01-12,374.0274
2024-01-11,373.80148
2024-01-10,372.48108
2024-01-09,371.09018
2024-01-08,369.31145
2024-01-05,362.46117
2024-01-04,361.89954
2024-01-03,365.20583
2024-01-02,367.62853
2023-12-29,370.13738
2023-12-28,371.41051
2023-12-27,370.5538
2023-12-26,372.34255
2023-12-22,370.71532
2023-12-21,371.1724
2023-12-20,367.84085
2023-12-19,372.81093
2023-12-18,372.51098
2023-12-15,371.53071
2023-12-14,366.55157
2023-12-13,374.38798
2023-12-12,369.5495
2023-12-11,368.13105
2023-12-08,364.6058
2023-12-07,361.04124
2023-12-06,357.12298
2023-12-05,358.86768
2023-12-04,356.84463
2023-12-01,358.33486
2023-11-30,357.05234
2023-11-29,355.14759
2023-11-28,355.13789
2023-11-27,355.92647
2023-11-24,356.00951
2023-11-22,358.54398
2023-11-21,355.70918
2023-11-20,357.23167
2023-11-17,354.49036
2023-11-16,355.38674
2023-11-15,355.27916
2023-11-14,354.39161
2023-11-13,352.66455
2023-11-10,354.33093
2023-11-09,345.69827
2023-11-08,348.28166
2023-11-07,349.06809
2023-11-06,343.89903
2023-11-03,342.46996
2023-11-02,341.96462
2023-11-01,338.83246
2023-10-31,331.79196
2023-10-30,329.09245
2023-10-27,326.28744
2023-10-26,326.39377
2023-10-25,331.29078
2023-10-24,339.21791
2023-10-23,333.49273
2023-10-20,334.84419
2023-10-19,339.69048
2023-10-18,344.85148
2023-10-17,348.01512
2023-10-16,350.25126
2023-10-13,347.58778
2023-10-12,350.67779
2023-10-11,349.97643
2023-10-10,347.16963
2023-10-09,347.91192
2023-10-06,344.73958
2023-10-05,340.44229
2023-10-04,342.22793
2023-10-03,339.2468
2023-10-02,344.41796
2023-09-29,338.69351
2023-09-28,339.08884
2023-09-27,338.03675
2023-09-26,335.14051
