"Date","Price","X","X.1","X.2","X.3","X.4"
2025-03-24,121.8,NA,NA,NA,NA,NA
2025-03-21,122,NA,NA,NA,NA,NA
2025-03-20,118.5,NA,NA,NA,NA,NA
2025-03-19,118.2,NA,NA,NA,NA,NA
2025-03-18,118,NA,NA,NA,NA,NA
2025-03-17,118.8,NA,NA,NA,NA,NA
2025-03-14,118.1,NA,NA,NA,NA,NA
2025-03-13,119.2,NA,NA,NA,NA,NA
2025-03-12,120.5,NA,NA,NA,NA,NA
2025-03-11,122,NA,NA,NA,NA,NA
2025-03-10,121.1,NA,NA,NA,NA,NA
2025-03-07,121.4,NA,NA,NA,NA,NA
2025-03-06,120.4,NA,NA,NA,NA,NA
2025-03-05,119.3,NA,NA,NA,NA,NA
2025-03-04,118,NA,NA,NA,NA,NA
2025-03-03,119,NA,NA,NA,NA,NA
2025-02-28,118.7,NA,NA,NA,NA,NA
2025-02-27,121,NA,NA,NA,NA,NA
2025-02-26,120.8,NA,NA,NA,NA,NA
2025-02-25,121.6,NA,NA,NA,NA,NA
2025-02-24,121.6,NA,NA,NA,NA,NA
2025-02-21,121.7,NA,NA,NA,NA,NA
2025-02-20,122.4,NA,NA,NA,NA,NA
2025-02-19,122.4,NA,NA,NA,NA,NA
2025-02-18,123,NA,NA,NA,NA,NA
2025-02-17,122.3,NA,NA,NA,NA,NA
2025-02-14,122.9,NA,NA,NA,NA,NA
2025-02-13,123,NA,NA,NA,NA,NA
2025-02-12,122.5,NA,NA,NA,NA,NA
2025-02-11,122.1,NA,NA,NA,NA,NA
2025-02-10,122.4,NA,NA,NA,NA,NA
2025-02-07,121.5,NA,NA,NA,NA,NA
2025-02-06,121.6,NA,NA,NA,NA,NA
2025-02-05,122.8,NA,NA,NA,NA,NA
2025-02-04,122.7,NA,NA,NA,NA,NA
2025-02-03,122.1,NA,NA,NA,NA,NA
2025-01-31,122.5,NA,NA,NA,NA,NA
2025-01-30,122.9,NA,NA,NA,NA,NA
2025-01-29,122.9,NA,NA,NA,NA,NA
2025-01-28,122.5,NA,NA,NA,NA,NA
2025-01-27,122.4,NA,NA,NA,NA,NA
2025-01-23,123,NA,NA,NA,NA,NA
2025-01-22,123.5,NA,NA,NA,NA,NA
2025-01-21,122.5,NA,NA,NA,NA,NA
2025-01-20,123.5,NA,NA,NA,NA,NA
2025-01-17,123.5,NA,NA,NA,NA,NA
2025-01-16,123.5,NA,NA,NA,NA,NA
2025-01-15,123.6,NA,NA,NA,NA,NA
2025-01-14,124,NA,NA,NA,NA,NA
2025-01-13,123.6,NA,NA,NA,NA,NA
2025-01-10,123.5,NA,NA,NA,NA,NA
2025-01-09,123,NA,NA,NA,NA,NA
2025-01-08,123.8,NA,NA,NA,NA,NA
2025-01-03,123.7,NA,NA,NA,NA,NA
2024-12-30,122,NA,NA,NA,NA,NA
2024-12-27,122.2,NA,NA,NA,NA,NA
2024-12-23,122.8,NA,NA,NA,NA,NA
2024-12-20,122.2,NA,NA,NA,NA,NA
2024-12-19,119.9,NA,NA,NA,NA,NA
2024-12-18,121.2,NA,NA,NA,NA,NA
2024-12-17,123.6,NA,NA,NA,NA,NA
2024-12-16,123.3,NA,NA,NA,NA,NA
2024-12-13,124.2,NA,NA,NA,NA,NA
2024-12-12,123.8,NA,NA,NA,NA,NA
2024-12-11,123.9,NA,NA,NA,NA,NA
2024-12-10,122.9,NA,NA,NA,NA,NA
2024-12-09,122,NA,NA,NA,NA,NA
2024-12-06,120.3,NA,NA,NA,NA,NA
2024-12-05,119.5,NA,NA,NA,NA,NA
2024-12-04,119.5,NA,NA,NA,NA,NA
2024-12-03,118.4,NA,NA,NA,NA,NA
2024-12-02,119.5,NA,NA,NA,NA,NA
2024-11-29,119.4,NA,NA,NA,NA,NA
2024-11-28,120.2,NA,NA,NA,NA,NA
2024-11-27,120.2,NA,NA,NA,NA,NA
