"Date","Close"
2025-03-24,2863
2025-03-21,2844.5
2025-03-19,2892
2025-03-18,2839
2025-03-17,2760.5
2025-03-14,2746.5
2025-03-13,2719
2025-03-12,2761.5
2025-03-11,2754.5
2025-03-10,2829
2025-03-07,2803
2025-03-06,2822.5
2025-03-05,2849.5
2025-03-04,2753.5
2025-03-03,2795
2025-02-28,2689
2025-02-27,2784
2025-02-26,2725
2025-02-25,2710.5
2025-02-21,2706
2025-02-20,2710.5
2025-02-19,2755.5
2025-02-18,2804
2025-02-17,2773.5
2025-02-14,2804.5
2025-02-13,2825.5
2025-02-12,2800
2025-02-10,2825.5
2025-02-07,2824.5
2025-02-06,2903.5
2025-02-05,2963
2025-02-04,2873
2025-02-03,2824.5
2025-01-31,2973.5
2025-01-30,2949
2025-01-29,2930
2025-01-28,2889.5
2025-01-27,2922
2025-01-24,2882.5
2025-01-23,2925
2025-01-22,2915.5
2025-01-21,2875.5
2025-01-20,2870
2025-01-17,2788
2025-01-16,2837
2025-01-15,2901
2025-01-14,2907.5
2025-01-10,2932
2025-01-09,3005
2025-01-08,3073
2025-01-07,3052
2025-01-06,3011
2024-12-30,3146
2024-12-27,3188
2024-12-26,3142
2024-12-25,2964.5
2024-12-24,2835
2024-12-23,2837
2024-12-20,2771.5
2024-12-19,2724
2024-12-18,2726.5
2024-12-17,2672.5
2024-12-16,2692
2024-12-13,2697.5
2024-12-12,2718.5
2024-12-11,2682.5
2024-12-10,2679.5
2024-12-09,2645.5
2024-12-06,2629
2024-12-05,2632
2024-12-04,2631
2024-12-03,2652
2024-12-02,2611
2024-11-29,2551.5
2024-11-28,2607
2024-11-27,2571
2024-11-26,2667.5
2024-11-25,2694.5
2024-11-22,2664.5
2024-11-21,2674.5
2024-11-20,2698.5
2024-11-19,2730.5
2024-11-18,2676
2024-11-15,2704
2024-11-14,2666
2024-11-13,2662
2024-11-12,2717
2024-11-11,2653.5
2024-11-08,2662.5
2024-11-07,2762
2024-11-06,2684.5
2024-11-05,2639
2024-11-01,2615.5
2024-10-31,2682.5
2024-10-30,2711.5
2024-10-29,2699.5
2024-10-28,2707
2024-10-25,2600
2024-10-24,2602.5
2024-10-23,2620.5
2024-10-22,2545
2024-10-21,2541.5
2024-10-18,2552.5
2024-10-17,2550.5
2024-10-16,2525.5
2024-10-15,2555
2024-10-11,2562
2024-10-10,2581
2024-10-09,2563.5
2024-10-08,2568
2024-10-07,2645.5
2024-10-04,2586
2024-10-03,2601.5
2024-10-02,2569.5
2024-10-01,2596
2024-09-30,2542.5
2024-09-27,2751.5
2024-09-26,2726.5
2024-09-25,2643.5
2024-09-24,2617
2024-09-20,2634
2024-09-19,2610.5
2024-09-18,2485
2024-09-17,2406
2024-09-13,2455
2024-09-12,2513
2024-09-11,2422
2024-09-10,2499.5
2024-09-09,2500
2024-09-06,2582.5
2024-09-05,2616
2024-09-04,2674
2024-09-03,2772
2024-09-02,2781
2024-08-30,2759.5
