"Data","Ultimo","Apertura","Massimo","Minimo","Vol.","Var. %"
"02.01.2015","86,84","87,66","87,89","86,09","395,61K","-0,58%"
"05.01.2015","84,36","86,51","87,13","84,28","1,03M","-2,86%"
"06.01.2015","84,26","84,40","85,66","83,50","1,86M","-0,12%"
"07.01.2015","84,65","84,71","85,39","84,23","404,22K","0,46%"
"08.01.2015","87,55","85,81","87,73","85,54","754,97K","3,43%"
"09.01.2015","85,88","87,41","87,73","85,44","562,26K","-1,91%"
"12.01.2015","87,13","86,33","87,40","85,73","551,27K","1,46%"
"13.01.2015","88,47","86,98","88,82","86,96","559,32K","1,54%"
"14.01.2015","87,39","87,30","88,68","87,00","751,41K","-1,22%"
"15.01.2015","89,28","88,44","89,61","85,15","1,66M","2,16%"
"16.01.2015","90,60","88,99","90,86","88,46","1,09M","1,48%"
"19.01.2015","91,18","91,10","91,65","90,73","1,40M","0,64%"
"20.01.2015","91,28","91,58","91,70","90,91","804,17K","0,11%"
"21.01.2015","91,74","91,43","91,77","90,37","823,76K","0,50%"
"22.01.2015","92,84","91,59","93,05","90,98","1,59M","1,20%"
"23.01.2015","94,83","93,53","95,31","93,50","2,11M","2,14%"
"26.01.2015","96,14","94,34","96,20","94,30","1,62M","1,38%"
"27.01.2015","94,70","96,20","96,24","94,29","1,14M","-1,50%"
"28.01.2015","95,45","95,41","95,48","93,80","979,85K","0,79%"
"29.01.2015","95,54","95,06","95,65","94,45","733,64K","0,09%"
"30.01.2015","95,20","96,13","96,19","94,74","961,54K","-0,36%"
"02.02.2015","96,40","95,51","96,40","95,10","652,99K","1,26%"
"03.02.2015","96,92","96,79","97,79","96,79","1,50M","0,54%"
"04.02.2015","97,07","96,91","97,10","96,18","839,30K","0,15%"
"05.02.2015","97,05","96,50","97,26","96,37","872,77K","-0,02%"
"06.02.2015","96,51","96,74","96,82","96,16","814,52K","-0,56%"
"09.02.2015","94,92","95,74","95,80","94,51","1,36M","-1,65%"
"10.02.2015","95,79","95,04","96,09","94,28","941,64K","0,92%"
"11.02.2015","95,73","95,82","96,00","95,25","493,63K","-0,06%"
"12.02.2015","97,23","95,93","97,51","95,73","949,80K","1,57%"
"13.02.2015","97,54","97,53","98,00","97,40","777,34K","0,32%"
"16.02.2015","97,20","97,45","97,60","97,13","530,17K","-0,35%"
"17.02.2015","96,91","96,70","97,21","95,82","630,98K","-0,30%"
"18.02.2015","97,54","97,18","97,73","97,14","588,50K","0,65%"
"19.02.2015","97,92","97,32","98,07","96,80","516,30K","0,39%"
"20.02.2015","98,39","97,70","99,26","97,45","1,33M","0,48%"
"23.02.2015","99,07","99,28","99,28","98,53","624,28K","0,69%"
"24.02.2015","99,72","99,11","99,92","98,70","655,96K","0,66%"
"25.02.2015","99,75","99,86","99,92","99,48","821,13K","0,03%"
"26.02.2015","100,83","99,77","100,83","99,60","659,95K","1,08%"
"27.02.2015","101,43","101,03","101,43","100,60","293,57K","0,60%"
"02.03.2015","101,54","101,62","101,91","101,14","534,10K","0,11%"
"03.03.2015","100,32","101,70","102,06","100,32","465,73K","-1,20%"
"04.03.2015","101,40","100,67","101,40","99,63","1,48M","1,08%"
"05.03.2015","102,39","101,72","102,60","101,52","875,78K","0,98%"
"06.03.2015","102,78","102,46","103,24","102,30","562,18K","0,38%"
"09.03.2015","103,08","102,48","103,12","102,00","392,75K","0,29%"
"10.03.2015","102,41","102,86","103,00","101,48","668,50K","-0,65%"
"11.03.2015","105,04","102,73","105,25","102,69","708,75K","2,57%"
