"Data","Ultimo","Apertura","Massimo","Minimo","Vol.","Var. %"
"02.01.2015","198,60","198,42","198,60","198,35","0,01K","0,01%"
"05.01.2015","197,38","198,56","198,56","197,38","0,08K","-0,61%"
"06.01.2015","197,03","197,61","197,61","196,95","0,01K","-0,18%"
"07.01.2015","197,02","197,13","197,13","197,02","0,00K","-0,01%"
"08.01.2015","197,37","197,43","197,44","197,34","2,61K","0,18%"
"09.01.2015","197,63","196,84","198,00","196,84","2,61K","0,13%"
"12.01.2015","197,39","197,25","197,58","197,25","0,10K","-0,12%"
"13.01.2015","197,52","197,12","197,60","197,12","0,25K","0,07%"
"14.01.2015","198,64","198,01","198,64","198,01","0,74K","0,57%"
"15.01.2015","198,90","199,00","199,00","198,72","2,00K","0,13%"
"16.01.2015","199,74","199,53","199,74","199,53","1,65K","0,42%"
"19.01.2015","200,36","200,38","200,66","200,36","23,46K","0,31%"
"20.01.2015","200,47","200,32","200,47","200,09","2,40K","0,05%"
"21.01.2015","200,70","200,52","200,70","200,52","0,25K","0,11%"
"22.01.2015","203,27","200,37","203,27","200,36","0,39K","1,28%"
"23.01.2015","203,96","204,85","205,32","203,96","14,57K","0,34%"
"26.01.2015","203,11","203,66","203,66","202,99","0,44K","-0,42%"
"27.01.2015","202,65","202,48","203,13","202,48","0,13K","-0,23%"
"28.01.2015","202,29","201,42","202,54","201,42","0,09K","-0,18%"
"29.01.2015","201,79","202,58","202,59","201,79","0,50K","-0,25%"
"30.01.2015","203,18","202,50","203,18","201,96","0,10K","0,69%"
"02.02.2015","203,60","203,29","203,60","203,28","0,11K","0,21%"
"03.02.2015","203,68","203,66","203,68","203,66","1,72K","0,04%"
"04.02.2015","203,36","203,49","204,07","203,36","6,66K","-0,16%"
"05.02.2015","203,78","203,63","203,78","203,63","0,06K","0,21%"
"06.02.2015","203,36","204,95","204,95","203,36","0,15K","-0,21%"
"09.02.2015","202,96","203,66","203,66","202,96","0,17K","-0,20%"
"10.02.2015","202,31","202,57","202,87","202,31","3,94K","-0,32%"
"11.02.2015","202,14","201,65","202,45","201,65","0,23K","-0,08%"
"12.02.2015","202,70","202,83","202,83","202,70","0,01K","0,28%"
"13.02.2015","203,26","203,27","203,27","203,26","0,02K","0,28%"
"16.02.2015","203,25","204,06","204,06","203,16","0,04K","0,00%"
"17.02.2015","202,77","203,46","203,46","202,77","0,00K","-0,24%"
"18.02.2015","202,76","203,10","203,10","202,76","0,02K","0,00%"
"19.02.2015","202,95","203,70","203,70","202,49","0,94K","0,09%"
"20.02.2015","203,48","203,00","203,64","203,00","0,55K","0,26%"
"23.02.2015","203,54","203,65","203,65","202,88","0,18K","0,03%"
"24.02.2015","203,53","203,64","203,75","203,38","0,65K","0,00%"
"25.02.2015","204,12","203,95","204,25","203,70","3,47K","0,29%"
"26.02.2015","204,27","205,00","205,00","204,27","0,31K","0,07%"
"27.02.2015","204,94","204,87","205,00","203,66","7,44K","0,33%"
"02.03.2015","204,66","204,76","205,28","204,66","6,54K","-0,14%"
"03.03.2015","204,92","204,84","205,15","204,84","0,19K","0,13%"
"04.03.2015","205,79","205,88","205,88","205,69","0,00K","0,42%"
"05.03.2015","207,11","206,00","207,25","205,81","0,28K","0,64%"
"06.03.2015","206,74","208,25","208,25","206,74","3,35K","-0,18%"
"09.03.2015","207,39","206,94","207,60","206,94","1,09K","0,31%"
"10.03.2015","208,48","207,86","208,59","207,86","26,68K","0,53%"
"11.03.2015","209,06","208,16","209,28","208,16","26,87K","0,28%"
"12.03.2015","209,53","209,59","209,93","209,53","5,84K","0,22%"
"13.03.2015","209,64","209,62","210,22","209,62","9,24K","0,05%"
"16.03.2015","208,51","209,92","209,92","208,51","0,20K","-0,54%"
"17.03.2015","207,83","208,11","208,11","207,83","0,67K","-0,33%"
"18.03.2015","208,63","207,78","208,79","207,78","13,01K","0,38%"
"19.03.2015","208,95","209,52","209,52","208,95","0,19K","0,15%"
"20.03.2015","210,05","208,92","210,05","208,91","1,61K","0,53%"
"23.03.2015","209,66","209,80","210,26","209,55","7,84K","-0,19%"
"24.03.2015","208,63","208,70","209,33","208,63","5,16K","-0,49%"
"25.03.2015","208,42","208,00","208,42","207,99","0,87K","-0,10%"
"26.03.2015","208,42","209,26","209,27","208,42","0,33K","0,00%"
"27.03.2015","207,99","208,57","208,58","207,99","0,63K","-0,21%"
"30.03.2015","207,24","208,11","208,11","207,24","1,60K","-0,36%"
"31.03.2015","208,09","207,92","208,09","207,26","4,86K","0,41%"
"01.04.2015","208,32","207,70","208,49","207,70","27,31K","0,11%"
"02.04.2015","208,52","208,40","208,52","208,40","0,27K","0,10%"
"07.04.2015","208,70","208,78","208,82","208,61","0,06K","0,09%"
"08.04.2015","208,62","208,90","208,90","208,62","0,72K","-0,04%"
"09.04.2015","208,45","208,39","208,94","208,39","13,70K","-0,08%"
"10.04.2015","208,83","208,18","209,02","208,18","11,69K","0,18%"
"13.04.2015","208,91","208,42","209,05","208,42","4,17K","0,04%"
"14.04.2015","209,06","209,82","209,82","209,06","0,52K","0,07%"
"15.04.2015","210,01","209,17","210,01","209,17","10,56K","0,45%"
"16.04.2015","209,60","210,43","210,43","209,10","14,56K","-0,20%"
"17.04.2015","209,33","209,74","210,09","208,26","1,53K","-0,13%"
"20.04.2015","209,47","209,37","209,67","209,24","5,03K","0,07%"
"21.04.2015","209,12","209,35","209,35","209,10","1,34K","-0,17%"
"22.04.2015","208,69","209,34","209,34","208,69","3,68K","-0,21%"
"23.04.2015","208,50","209,31","209,31","208,48","1,87K","-0,09%"
"24.04.2015","208,16","208,35","208,61","208,16","0,24K","-0,16%"
"27.04.2015","208,32","208,05","208,33","207,95","0,67K","0,08%"
"28.04.2015","208,46","208,45","208,74","208,31","0,94K","0,07%"
"29.04.2015","206,95","208,08","208,08","206,77","4,08K","-0,72%"
"30.04.2015","206,91","206,26","207,27","206,25","36,64K","-0,02%"
"04.05.2015","205,90","207,09","207,09","205,90","9,66K","-0,49%"
"05.05.2015","203,35","206,31","206,31","203,35","9,41K","-1,24%"
"06.05.2015","202,14","202,95","203,80","201,87","19,73K","-0,60%"
"07.05.2015","202,38","201,14","202,38","200,00","26,25K","0,12%"
"08.05.2015","202,98","203,19","203,32","201,91","0,76K","0,30%"
