"Date","Price"
2025-03-24,41.38314
2025-03-21,41.19006
2025-03-20,41.30936
2025-03-19,41.60074
2025-03-18,41.19635
2025-03-17,41.54297
2025-03-14,40.96673
2025-03-13,40.33164
2025-03-12,40.30439
2025-03-11,39.98537
2025-03-10,40.03693
2025-03-07,40.96652
2025-03-06,40.9373
2025-03-05,41.24247
2025-03-04,40.96946
2025-03-03,40.82547
2025-02-28,41.56007
2025-02-27,42.09667
2025-02-26,42.58077
2025-02-25,42.12531
2025-02-24,42.21331
2025-02-21,42.91312
2025-02-20,42.93069
2025-02-19,42.86263
2025-02-18,42.78193
2025-02-14,42.26706
2025-02-13,42.26933
2025-02-12,42.00077
2025-02-11,42.09356
2025-02-10,42.39721
2025-02-07,41.85235
2025-02-06,41.66105
2025-02-05,41.32438
2025-02-04,41.60162
2025-02-03,41.25486
2025-01-31,40.99808
2025-01-30,41.48027
2025-01-29,40.77344
2025-01-28,40.73648
2025-01-27,40.20402
2025-01-24,40.86195
2025-01-23,40.88731
2025-01-22,40.86589
2025-01-21,40.82142
2025-01-17,40.9396
2025-01-16,40.5555
2025-01-15,40.64748
2025-01-14,40.1147
2025-01-13,39.93932
2025-01-10,40.10737
2025-01-08,40.5589
2025-01-07,40.51317
2025-01-06,40.72006
2025-01-03,40.93028
2025-01-02,40.68193
2024-12-31,40.4097
2024-12-30,40.36944
2024-12-27,40.59111
2024-12-26,40.80868
2024-12-24,41.04341
2024-12-23,40.88286
2024-12-20,40.53121
2024-12-19,40.62922
2024-12-18,40.05728
2024-12-17,40.91429
2024-12-16,41.66112
2024-12-13,41.94931
2024-12-12,41.89125
2024-12-11,42.15294
2024-12-10,41.89343
2024-12-09,42.34882
2024-12-06,41.56004
2024-12-05,41.55942
2024-12-04,41.40647
2024-12-03,41.33346
2024-12-02,41.40923
2024-11-29,40.9349
2024-11-27,40.83775
2024-11-26,41.19389
2024-11-25,41.30269
2024-11-22,41.5395
2024-11-21,41.25667
2024-11-20,41.16977
2024-11-19,41.03025
2024-11-18,41.01596
2024-11-15,40.71476
2024-11-14,40.6762
2024-11-13,40.86479
2024-11-12,40.98237
2024-11-11,41.60954
2024-11-08,41.6939
2024-11-07,42.36927
2024-11-06,41.75445
2024-11-05,41.49131
2024-11-04,41.08734
2024-11-01,41.05759
2024-10-31,40.92248
2024-10-30,41.17431
2024-10-29,41.81011
2024-10-28,41.90864
2024-10-25,41.75845
2024-10-24,41.77227
2024-10-23,41.98459
2024-10-22,42.09845
2024-10-21,42.14807
2024-10-18,42.25637
2024-10-17,42.00462
2024-10-16,41.90283
2024-10-15,41.49679
2024-10-14,42.35003
2024-10-11,42.35724
2024-10-10,42.20613
2024-10-09,41.98501
2024-10-08,42.08273
2024-10-07,43.11726
2024-10-04,42.85584
2024-10-03,42.19402
2024-10-02,42.63601
2024-10-01,41.78578
2024-09-30,41.13742
2024-09-27,41.79519
2024-09-26,41.81216
2024-09-25,40.45802
2024-09-24,40.80115
2024-09-23,39.57753
2024-09-20,39.0997
2024-09-19,39.24346
2024-09-18,38.5383
2024-09-17,38.69053
2024-09-16,38.61084
2024-09-13,38.64128
2024-09-12,38.59316
2024-09-11,38.38054
2024-09-10,38.06112
2024-09-09,38.13015
2024-09-06,37.71779
2024-09-05,38.33889
2024-09-04,38.3401
2024-09-03,38.50892
2024-08-30,39.24887
2024-08-29,39.05432
2024-08-28,38.92038
2024-08-27,38.98442
2024-08-26,38.91326
2024-08-23,39.23394
2024-08-22,38.81188
2024-08-21,39.171
2024-08-20,39.12731
2024-08-19,39.57919
2024-08-16,39.44929
2024-08-15,39.08727
2024-08-14,38.51879
2024-08-13,38.8899
2024-08-12,38.63407
2024-08-09,38.52001
2024-08-08,38.34449
2024-08-07,37.44735
2024-08-06,37.19802
2024-08-05,36.87956
2024-08-02,38.12317
2024-08-01,39.12479
2024-07-31,39.73541
2024-07-30,38.86628
2024-07-29,39.01312
2024-07-26,38.98757
2024-07-25,38.60247
2024-07-24,38.79827
2024-07-23,39.36239
2024-07-22,39.59214
2024-07-19,39.26504
2024-07-18,39.53829
2024-07-17,39.86276
2024-07-16,40.67407
2024-07-15,40.38144
2024-07-12,40.81614
2024-07-11,40.79323
2024-07-10,40.7038
2024-07-09,40.53654
2024-07-08,40.28804
2024-07-05,40.30113
2024-07-03,40.24639
2024-07-02,39.89937
2024-07-01,39.78194
2024-06-28,39.74431
2024-06-27,39.703
2024-06-26,39.76783
2024-06-25,39.76646
2024-06-24,39.77442
2024-06-21,39.90834
2024-06-20,39.99253
2024-06-18,39.93854
2024-06-17,39.62704
2024-06-14,39.4636
2024-06-13,39.29204
2024-06-12,38.9893
2024-06-11,38.98668
2024-06-10,39.3249
2024-06-07,38.90791
2024-06-06,39.0737
2024-06-05,38.94514
2024-06-04,38.27206
2024-06-03,38.79651
2024-05-31,38.52678
2024-05-30,38.92989
2024-05-29,39.12722
2024-05-28,39.50345
2024-05-24,39.66074
2024-05-23,39.65613
2024-05-22,39.85982
2024-05-21,39.94841
2024-05-20,40.15277
2024-05-17,40.2889
2024-05-16,40.09933
2024-05-15,40.02024
2024-05-14,39.79847
2024-05-13,39.67019
2024-05-10,39.4395
2024-05-09,39.35598
2024-05-08,39.34487
2024-05-07,39.24791
2024-05-06,39.4561
2024-05-03,39.45559
2024-05-02,39.27405
2024-05-01,38.4464
2024-04-30,38.38374
2024-04-29,38.75629
2024-04-26,38.49462
2024-04-25,37.9275
2024-04-24,37.98522
2024-04-23,37.82243
2024-04-22,37.69368
2024-04-19,37.27239
2024-04-18,37.42608
2024-04-17,37.28638
2024-04-16,37.40235
2024-04-15,37.86198
2024-04-12,38.08495
2024-04-11,38.70125
2024-04-10,38.4035
2024-04-09,38.5076
2024-04-08,38.26728
2024-04-05,38.06755
2024-04-04,37.90404
2024-04-03,38.14052
2024-04-02,38.33581
2024-04-01,38.32542
2024-03-28,38.05113
2024-03-27,37.83159
2024-03-26,37.72505
2024-03-25,37.73184
2024-03-22,37.81233
2024-03-21,37.89832
2024-03-20,37.83137
2024-03-19,37.40795
2024-03-18,37.57475
2024-03-15,37.45865
2024-03-14,37.67796
2024-03-13,37.62891
2024-03-12,37.87893
2024-03-11,37.44622
2024-03-08,37.31603
2024-03-07,37.35942
2024-03-06,37.25005
2024-03-05,36.86004
2024-03-04,37.19838
2024-03-01,37.35006
2024-02-29,37.02778
2024-02-28,36.8795
2024-02-27,37.32375
2024-02-26,37.27063
2024-02-23,37.50577
2024-02-22,37.54159
2024-02-21,37.20392
2024-02-20,37.12542
2024-02-16,37.18686
2024-02-15,37.0656
2024-02-14,36.99562
2024-02-13,36.52823
2024-02-12,36.99685
2024-02-09,36.69572
2024-02-08,36.5822
2024-02-07,36.81375
2024-02-06,36.81518
2024-02-05,36.03687
2024-02-02,35.84013
2024-02-01,35.64794
2024-01-31,35.38249
2024-01-30,35.61214
2024-01-29,35.98779
2024-01-26,35.79713
2024-01-25,35.85532
2024-01-24,35.58918
2024-01-23,35.43205
2024-01-22,34.92107
2024-01-19,35.25253
2024-01-18,34.98158
2024-01-17,34.67378
2024-01-16,35.21127
2024-01-12,35.79909
2024-01-11,35.66798
2024-01-10,35.47005
2024-01-09,35.65941
2024-01-08,36.06931
2024-01-05,36.03143
2024-01-04,35.9726
2024-01-03,36.23361
2024-01-02,36.28892
2023-12-29,36.34309
2023-12-28,36.32834
2023-12-27,35.94777
2023-12-26,35.96738
2023-12-22,35.748
2023-12-21,36.01857
2023-12-20,35.44442
2023-12-19,36.71982
2023-12-18,36.56662
2023-12-15,36.64528
2023-12-14,36.54702
2023-12-13,36.75816
2023-12-12,36.38302
2023-12-11,36.52271
