"Date","Price"
2025-03-24,65.81941
2025-03-21,65.90594
2025-03-20,65.76302
2025-03-19,65.96136
2025-03-18,64.73973
2025-03-17,65.13652
2025-03-14,64.64804
2025-03-13,63.8047
2025-03-12,63.73888
2025-03-11,62.42912
2025-03-10,63.41644
2025-03-07,64.71456
2025-03-06,64.47161
2025-03-05,65.04404
2025-03-04,65.11098
2025-03-03,65.97083
2025-02-28,65.85554
2025-02-27,66.30153
2025-02-26,66.24416
2025-02-25,66.1493
2025-02-24,65.67364
2025-02-21,66.03269
2025-02-20,66.4601
2025-02-19,66.878
2025-02-18,67.10703
2025-02-14,66.02265
2025-02-13,66.43008
2025-02-12,65.24074
2025-02-11,66.44114
2025-02-10,66.6699
2025-02-07,66.34373
2025-02-06,66.86579
2025-02-05,66.33397
2025-02-04,65.78973
2025-02-03,65.81712
2025-01-31,65.55662
2025-01-30,66.35308
2025-01-29,65.34881
2025-01-28,65.50633
2025-01-27,64.58194
2025-01-24,65.15079
2025-01-23,64.98658
2025-01-22,64.55793
2025-01-21,64.60992
2025-01-17,64.37117
2025-01-16,63.95067
2025-01-15,64.42738
2025-01-14,63.46229
2025-01-13,64.02427
2025-01-10,63.67984
2025-01-08,65.1077
2025-01-07,64.88859
2025-01-06,64.91144
2025-01-03,65.33307
2025-01-02,65.28008
2024-12-31,64.83718
2024-12-30,64.6142
2024-12-27,64.99376
2024-12-26,64.56012
2024-12-24,63.96188
2024-12-23,63.94499
2024-12-20,63.48643
2024-12-19,64.07064
2024-12-18,63.179
2024-12-17,64.64762
2024-12-16,65.81676
2024-12-13,66.25381
2024-12-12,67.01267
2024-12-11,67.76316
2024-12-10,66.67935
2024-12-09,66.67928
2024-12-06,67.36802
2024-12-05,67.20288
2024-12-04,67.52396
2024-12-03,67.95517
2024-12-02,67.25782
2024-11-29,65.94436
2024-11-27,64.18306
2024-11-26,65.01433
2024-11-25,65.2489
2024-11-22,65.21739
2024-11-21,64.33066
2024-11-20,63.8815
2024-11-19,64.06427
2024-11-18,64.09215
2024-11-15,63.97763
2024-11-14,64.22957
2024-11-13,64.0931
2024-11-12,64.57999
2024-11-11,65.35825
2024-11-08,64.83332
2024-11-07,64.76631
2024-11-06,64.67792
2024-11-05,63.19305
2024-11-04,62.48508
2024-11-01,62.73533
2024-10-31,62.66802
2024-10-30,62.96705
2024-10-29,63.26115
2024-10-28,62.60403
2024-10-25,62.23045
2024-10-24,62.17741
2024-10-23,61.8862
2024-10-22,62.97187
2024-10-21,63.74896
2024-10-18,64.53483
2024-10-17,64.44342
2024-10-16,64.52889
2024-10-15,64.01286
2024-10-14,65.2816
2024-10-11,64.91549
2024-10-10,65.01009
2024-10-09,64.78706
2024-10-08,64.92347
2024-10-07,64.67589
2024-10-04,65.58394
2024-10-03,64.32457
2024-10-02,64.47904
2024-10-01,64.80912
2024-09-30,64.17295
2024-09-27,63.73745
2024-09-26,65.35052
2024-09-25,63.71801
2024-09-24,63.69746
2024-09-23,64.44944
2024-09-20,63.78199
2024-09-19,63.84905
2024-09-18,62.37864
2024-09-17,62.69449
2024-09-16,63.38395
2024-09-13,63.03681
2024-09-12,63.59768
2024-09-11,63.14452
2024-09-10,62.70064
2024-09-09,62.74776
2024-09-06,61.46971
2024-09-05,63.57986
2024-09-04,63.29274
2024-09-03,64.21777
2024-08-30,65.13122
2024-08-29,64.55513
2024-08-28,64.25551
2024-08-27,64.23966
2024-08-26,63.58428
2024-08-23,64.37265
2024-08-22,63.28533
2024-08-21,63.54746
2024-08-20,62.99595
2024-08-19,63.53621
2024-08-16,63.04071
2024-08-15,62.86209
2024-08-14,61.45398
2024-08-13,61.62049
2024-08-12,60.17578
2024-08-09,59.86812
2024-08-08,60.06967
2024-08-07,58.75298
2024-08-06,57.75988
2024-08-05,57.87409
2024-08-02,59.2467
2024-08-01,62.62748
2024-07-31,65.65825
2024-07-30,63.75069
2024-07-29,63.6204
2024-07-26,63.22135
2024-07-25,62.40103
2024-07-24,63.45959
2024-07-23,64.71943
2024-07-22,64.57836
2024-07-19,64.27193
2024-07-18,64.49249
2024-07-17,65.39799
2024-07-16,66.02994
2024-07-15,65.15679
2024-07-12,65.47455
2024-07-11,65.34462
2024-07-10,65.83541
2024-07-09,64.75486
2024-07-08,64.27253
2024-07-05,64.62221
2024-07-03,64.36643
2024-07-02,64.16325
2024-07-01,63.17212
2024-06-28,63.68048
2024-06-27,63.18296
2024-06-26,63.01254
2024-06-25,63.1107
2024-06-24,61.99664
2024-06-21,61.73775
2024-06-20,62.09022
2024-06-18,62.07282
2024-06-17,62.10723
2024-06-14,62.73245
2024-06-13,62.5524
2024-06-12,63.06713
2024-06-11,63.38828
2024-06-10,64.47833
2024-06-07,63.60944
2024-06-06,63.62801
2024-06-05,63.77025
2024-06-04,63.86029
2024-06-03,63.75746
2024-05-31,63.5844
2024-05-30,62.78598
2024-05-29,62.37981
2024-05-28,63.31034
2024-05-24,63.11423
2024-05-23,62.59937
2024-05-22,62.73172
2024-05-21,63.4052
2024-05-20,63.70329
2024-05-17,63.23489
2024-05-16,62.78856
2024-05-15,63.43819
