"Date","Price"
2025-03-24,204.8
2025-03-21,205.3
2025-03-20,206.35
2025-03-19,205
2025-03-18,201.9
2025-03-17,200.2
2025-03-14,197.42
2025-03-13,195.82
2025-03-12,193.9
2025-03-11,192.24
2025-03-10,194.26
2025-03-07,193.04
2025-03-06,191.32
2025-03-05,190.66
2025-03-04,193.72
2025-03-03,201.65
2025-02-28,201.2
2025-02-27,202.2
2025-02-26,201.15
2025-02-25,200.6
2025-02-24,202.05
2025-02-21,202.55
2025-02-20,204.8
2025-02-19,204.9
2025-02-18,204.9
2025-02-14,204.6
2025-02-13,204.65
2025-02-12,203.25
2025-02-11,204.8
2025-02-10,205.05
2025-02-07,203.15
2025-02-06,199.24
2025-02-05,198.24
2025-02-04,198.42
2025-02-03,198.28
2025-01-31,196.38
2025-01-30,197.68
2025-01-29,196.84
2025-01-28,193.94
2025-01-27,193.42
2025-01-24,193.24
2025-01-23,194.36
2025-01-22,197.36
2025-01-21,197.62
2025-01-17,198.1
2025-01-16,199.8
2025-01-15,201.2
2025-01-14,199.98
2025-01-13,198.86
2025-01-10,197.04
2025-01-08,199.3
2025-01-07,196.64
2025-01-06,196.48
2025-01-03,195.38
2025-01-02,196.98
2024-12-31,194.7
2024-12-30,193.72
2024-12-27,191.82
2024-12-26,184.8
2024-12-24,184.56
2024-12-23,181.2
2024-12-20,180.98
2024-12-19,181.78
2024-12-18,183.22
2024-12-17,181.42
2024-12-16,184.18
2024-12-13,187.3
2024-12-12,188.34
2024-12-11,188.42
2024-12-10,189.94
2024-12-09,190.28
2024-12-06,185.66
2024-12-05,187.1
2024-12-04,188.72
2024-12-03,189.92
2024-12-02,187.52
2024-11-29,189
2024-11-27,188.42
2024-11-26,188.2
2024-11-25,189
2024-11-22,191.18
2024-11-21,194.02
2024-11-20,193.34
2024-11-19,191
2024-11-18,190.84
2024-11-15,192.36
2024-11-14,190.36
2024-11-13,189.04
2024-11-12,185.28
2024-11-11,184.84
2024-11-08,188.26
2024-11-07,187.62
2024-11-06,190.32
2024-11-05,189.16
2024-11-04,189.86
2024-11-01,188.42
2024-10-31,187.9
2024-10-30,186.68
2024-10-29,186.96
2024-10-28,188.12
2024-10-25,190.76
2024-10-24,193.74
2024-10-23,192.28
2024-10-22,192.12
2024-10-21,193.68
2024-10-18,192.58
2024-10-17,191.12
2024-10-16,192.18
2024-10-15,190.32
2024-10-14,189.88
2024-10-11,196.52
2024-10-10,197.02
2024-10-09,197.12
2024-10-08,195.58
2024-10-07,195.52
2024-10-04,200.35
2024-10-03,198.36
2024-10-02,194.92
2024-10-01,193.86
2024-09-30,190.3
2024-09-27,187.18
2024-09-26,186.54
2024-09-25,184.84
2024-09-24,191.34
2024-09-23,194.74
2024-09-20,194.18
2024-09-19,192.62
2024-09-18,195.02
2024-09-17,191.72
2024-09-16,191.68
2024-09-13,190.62
2024-09-12,190.58
2024-09-11,189.42
2024-09-10,187.2
2024-09-09,187.58
2024-09-06,191.14
2024-09-05,189.68
2024-09-04,193.38
2024-09-03,193.72
2024-08-30,195.46
2024-08-29,201.4
2024-08-28,201.15
2024-08-27,203.5
2024-08-26,201.9
2024-08-23,203.05
2024-08-22,203.65
2024-08-21,201.35
2024-08-20,199.68
2024-08-19,200.8
2024-08-16,200.85
2024-08-15,205.6
2024-08-14,203.65
2024-08-13,204.3
2024-08-12,201.45
2024-08-09,201.25
2024-08-08,202.25
2024-08-07,200.45
2024-08-06,199.3
2024-08-05,198.64
2024-08-02,194.22
2024-08-01,193.64
2024-07-31,200.15
2024-07-30,204.85
2024-07-29,207.25
2024-07-26,203.6
2024-07-25,203.75
2024-07-24,204
2024-07-23,202.7
2024-07-22,203.65
2024-07-19,202.45
2024-07-18,205.05
2024-07-17,204.65
2024-07-16,207.65
2024-07-15,205.05
2024-07-12,203.7
2024-07-11,205.7
2024-07-10,206.9
2024-07-09,205.55
2024-07-08,206.7
2024-07-05,206.4
2024-07-03,210.45
2024-07-02,213.2
2024-07-01,215.7
2024-06-28,212.7
2024-06-27,212.65
2024-06-26,211.15
2024-06-25,209.35
2024-06-24,208.25
2024-06-21,207.05
2024-06-20,208.65
2024-06-18,207.9
2024-06-17,206.2
2024-06-14,206.75
2024-06-13,204.8
2024-06-12,204.6
2024-06-11,202.6
2024-06-10,202
2024-06-07,203.4
2024-06-06,206.2
2024-06-05,207
2024-06-04,208.45
2024-06-03,206.05
2024-05-31,205.75
2024-05-30,204.8
2024-05-29,204.8
2024-05-28,210.2
2024-05-24,212.55
2024-05-23,210.55
2024-05-22,211.65
2024-05-21,211.95
2024-05-20,211.6
2024-05-17,210.45
2024-05-16,210.65
2024-05-15,209.85
2024-05-14,212.45
2024-05-13,212.1
2024-05-10,211.7
2024-05-09,211.2
2024-05-08,212.7
2024-05-07,215.65
2024-05-06,217
2024-05-03,217.1
2024-05-02,215.2
2024-05-01,213.35
2024-04-30,213.8
2024-04-29,215.05
2024-04-26,212.15
2024-04-25,213.45
2024-04-24,215.55
2024-04-23,217.45
2024-04-22,217.9
2024-04-19,217.5
2024-04-18,217.5
2024-04-17,217.45
2024-04-16,217.05
2024-04-15,214.2
2024-04-12,214.85
2024-04-11,215.95
2024-04-10,215.5
2024-04-09,219.35
2024-04-08,223.25
2024-04-05,217.15
2024-04-04,217.65
2024-04-03,215.7
2024-04-02,215.45
2024-04-01,213.3
2024-03-28,213
2024-03-27,212.1
2024-03-26,210.5
2024-03-25,204.45
2024-03-22,202.95
2024-03-21,204.55
2024-03-20,204.85
2024-03-19,202.65
2024-03-18,202.1
2024-03-15,201.2
2024-03-14,202.9
2024-03-13,199.76
2024-03-12,198.82
2024-03-11,198.56
2024-03-08,197.66
2024-03-07,194.98
2024-03-06,193.14
2024-03-05,193.68
2024-03-04,193.62
2024-03-01,194.04
2024-02-29,191.78
2024-02-28,191.42
2024-02-27,192.94
2024-02-26,189.94
2024-02-23,190.98
2024-02-22,192.1
2024-02-21,191.36
2024-02-20,192.7
2024-02-16,193
2024-02-15,192.04
2024-02-14,190.84
2024-02-13,193.18
2024-02-12,192.6
2024-02-09,191.68
2024-02-08,192.38
2024-02-07,193
2024-02-06,192.66
2024-02-05,191.82
2024-02-02,191.16
2024-02-01,191.38
2024-01-31,194.42
2024-01-30,190.1
2024-01-29,191.76
2024-01-26,194.66
2024-01-25,192.34
2024-01-24,193.84
2024-01-23,193.34
2024-01-22,191.28
2024-01-19,188.72
2024-01-18,187.7
2024-01-17,186.42
2024-01-16,185.14
2024-01-12,185.48
2024-01-11,186.54
2024-01-10,186.92
2024-01-09,190.38
2024-01-08,191.14
2024-01-05,191.88
2024-01-04,190.18
2024-01-03,190.94
2024-01-02,192.72
2023-12-29,193.56
2023-12-28,199.56
2023-12-27,199.5
2023-12-26,198.5
2023-12-22,197.66
2023-12-21,196.24
2023-12-20,195
2023-12-19,196.74
2023-12-18,196.24
2023-12-15,195.78
2023-12-14,197.12
2023-12-13,196.08
2023-12-12,196.1
2023-12-11,193.96
2023-12-08,195.26
2023-12-07,193.1
2023-12-06,193.52
2023-12-05,196.02
2023-12-04,196.46
2023-12-01,193.24
2023-11-30,194.64
2023-11-29,196.68
2023-11-28,196.4
2023-11-27,200.1
2023-11-24,198.7
2023-11-22,197.12
2023-11-21,199.32
2023-11-20,198.48
2023-11-17,199.5
2023-11-16,198.26
2023-11-15,195.22
2023-11-14,199.04
2023-11-13,199.94
2023-11-10,197.52
2023-11-09,194.22
2023-11-08,199.52
2023-11-07,199.18
2023-11-06,200.45
2023-11-03,197.52
2023-11-02,196.38
2023-11-01,194.76
2023-10-31,196.7
2023-10-30,201.75
2023-10-27,200.35
2023-10-26,205.8
2023-10-25,201.6
2023-10-24,201.4
2023-10-23,203.95
2023-10-20,204.7
2023-10-19,204.7
2023-10-18,204.6
2023-10-17,204.7
2023-10-16,205.7
2023-10-13,206.75
2023-10-12,208.9
2023-10-11,211.3
2023-10-10,210.35
2023-10-09,209.6
2023-10-06,208.5
2023-10-05,205.55
2023-10-04,202.45
2023-10-03,203.75
2023-10-02,202.1
2023-09-29,196.4
2023-09-28,193.92
2023-09-27,193.96
2023-09-26,198.64
2023-09-25,200.15
2023-09-22,203.1
2023-09-21,206.7
2023-09-20,204.9
2023-09-19,201.7
2023-09-18,202.5
2023-09-15,202.15
2023-09-14,201.65
2023-09-13,203
2023-09-12,204.4
2023-09-11,202.15
2023-09-08,202.75
2023-09-07,203.2
2023-09-06,198.3
2023-09-05,199.84
2023-09-01,198.76
2023-08-31,197.2
2023-08-30,196.34
2023-08-29,196.18
2023-08-28,195.76
2023-08-25,192.8
2023-08-24,192.84
2023-08-23,189.16
2023-08-22,189.34
2023-08-21,188.82
2023-08-18,187.96
2023-08-17,186.16
2023-08-16,185.16
2023-08-15,184.88
2023-08-14,187.26
2023-08-11,186.54
2023-08-10,185.36
2023-08-09,185.5
2023-08-08,184.58
2023-08-07,184.46
2023-08-04,185.98
2023-08-03,187.4
2023-08-02,188.38
2023-08-01,187.1
2023-07-31,182.34
2023-07-28,183
2023-07-27,183.58
2023-07-26,180.52
2023-07-25,178.54
2023-07-24,181.68
2023-07-21,183.42
2023-07-20,181.04
2023-07-19,182.12
2023-07-18,183.56
2023-07-17,184.76
2023-07-14,185.68
2023-07-13,182.9
2023-07-12,180.98
2023-07-11,178.56
2023-07-10,176.54
2023-07-07,174.8
2023-07-06,175.78
2023-07-05,179.5
2023-07-03,179.3
2023-06-30,177.38
2023-06-29,175
2023-06-28,174.48
2023-06-27,172.9
2023-06-26,178.12
2023-06-23,181.02
2023-06-22,180.14
2023-06-21,176.9
2023-06-20,174.7
2023-06-16,174.36
2023-06-15,174.34
2023-06-14,175.92
2023-06-13,173.9
2023-06-12,175.38
2023-06-09,178.32
2023-06-08,175.68
2023-06-07,178.58
2023-06-06,178.52
2023-06-05,178.4
2023-06-02,178.08
2023-06-01,178.24
2023-05-31,175.68
2023-05-30,178.2
2023-05-26,178.18
2023-05-25,177.66
2023-05-24,175.52
2023-05-23,176.32
2023-05-22,176.86
2023-05-19,172.86
2023-05-18,169.64
2023-05-17,173.02
2023-05-16,177.88
2023-05-15,177.26
2023-05-12,175.62
2023-05-11,180.64
2023-05-10,181.98
2023-05-09,179.4
2023-05-08,180.06
2023-05-05,179.56
2023-05-04,178.54
2023-05-03,177.42
2023-05-02,179.58
2023-05-01,179.08
2023-04-28,176.88
2023-04-27,178.94
2023-04-26,178.74
2023-04-25,180.64
2023-04-24,179.86
2023-04-21,174.64
2023-04-20,173.84
2023-04-19,175.12
2023-04-18,185.28
2023-04-17,181.04
2023-04-14,184.06
2023-04-13,183
2023-04-12,185.22
2023-04-11,183.92
2023-04-10,184.14
2023-04-06,185.32
2023-04-05,187.3
2023-04-04,187.3
2023-04-03,187.2
2023-03-31,186.64
2023-03-30,186.68
2023-03-29,186.6
2023-03-28,184.78
2023-03-27,183.66
2023-03-24,182.76
2023-03-23,185.54
2023-03-22,177.94
2023-03-21,177.98
2023-03-20,176.6
2023-03-17,175.18
2023-03-16,171.76
2023-03-15,169.28
2023-03-14,173.48
2023-03-13,175.94
2023-03-10,175.5
2023-03-09,171.6
2023-03-08,169.48
2023-03-07,169.3
2023-03-06,171.28
2023-03-03,184.52
2023-03-02,181.7
2023-03-01,190.1
2023-02-28,191.26
2023-02-27,192.22
2023-02-24,192.82
2023-02-23,193.98
2023-02-22,193.1
2023-02-21,194.14
2023-02-17,190.7
2023-02-16,191.9
2023-02-15,192.52
2023-02-14,189.92
2023-02-13,190.24
2023-02-10,188.44
2023-02-09,190.92
2023-02-08,192.44
2023-02-07,192.58
2023-02-06,196.26
2023-02-03,194.4
2023-02-02,195.14
2023-02-01,194.22
2023-01-31,194.74
2023-01-30,189.42
2023-01-27,186.36
2023-01-26,183.7
2023-01-25,177.56
2023-01-24,179.04
2023-01-23,176.5
2023-01-20,180.3
