"Data","Ultimo"
2025-03-24,306.05
2025-03-21,305.25
2025-03-20,310.45
2025-03-19,313.1
2025-03-18,313.7
2025-03-17,312.8
2025-03-14,311.5
2025-03-13,307.2
2025-03-12,306.85
2025-03-11,305.1
2025-03-10,311.5
2025-03-07,314.4
2025-03-06,317.2
2025-03-05,313.9
2025-03-04,305.4
2025-03-03,312.35
2025-02-28,308.9
2025-02-27,308
2025-02-26,311.45
2025-02-25,306.9
2025-02-24,309
2025-02-21,311.7
2025-02-20,308.6
2025-02-19,308.95
2025-02-18,316.7
2025-02-17,317.35
2025-02-14,316.7
2025-02-13,314.9
2025-02-12,307.75
2025-02-11,306.6
2025-02-10,309.05
2025-02-07,307.7
2025-02-06,309.6
2025-02-05,300.1
2025-02-04,300.15
2025-02-03,298.9
2025-01-31,302.45
2025-01-30,303.45
2025-01-29,301
2025-01-28,301.4
2025-01-27,301.9
2025-01-24,301.65
2025-01-23,299.9
2025-01-22,300
2025-01-21,300.25
2025-01-20,301.85
2025-01-17,299
2025-01-16,294.5
2025-01-15,293.95
2025-01-14,290.15
2025-01-13,290.35
2025-01-10,289.85
2025-01-09,292.6
2025-01-08,289.85
2025-01-07,290.6
2025-01-06,291.55
2025-01-03,288.8
2025-01-02,292.75
2024-12-30,288.2
2024-12-27,289.85
2024-12-23,287.75
2024-12-20,287.85
2024-12-19,288.95
2024-12-18,294.15
2024-12-17,296.1
2024-12-16,297.4
2024-12-13,299.25
2024-12-12,303.55
2024-12-11,306.1
2024-12-10,304.1
2024-12-09,305.7
2024-12-06,301.7
2024-12-05,302.05
2024-12-04,302
2024-12-03,302.6
2024-12-02,300.55
2024-11-29,297.35
2024-11-28,294.8
2024-11-27,294.45
2024-11-26,295.45
2024-11-25,300.45
2024-11-22,299.4
2024-11-21,296.35
2024-11-20,296.35
2024-11-19,295.65
2024-11-18,295.6
2024-11-15,295.7
2024-11-14,295.3
2024-11-13,294.45
2024-11-12,294.55
2024-11-11,303.85
2024-11-08,302.2
2024-11-07,309
2024-11-06,302.9
2024-11-05,305.25
2024-11-04,304.7
2024-11-01,305.8
2024-10-31,303.1
2024-10-30,306
2024-10-29,310.4
2024-10-28,311.9
2024-10-25,308.95
2024-10-24,306.75
2024-10-23,308
2024-10-22,311.2
2024-10-21,311.25
2024-10-18,313.75
2024-10-17,311.45
2024-10-16,311.5
2024-10-15,312.8
2024-10-14,316.45
2024-10-11,316.35
2024-10-10,315.45
2024-10-09,315.5
2024-10-08,313.85
2024-10-07,320.15
2024-10-04,320.05
2024-10-03,318.75
2024-10-02,323.6
2024-10-01,322.9
2024-09-30,324.25
2024-09-27,325.65
2024-09-26,322.25
2024-09-25,315.8
2024-09-24,314.5
2024-09-23,308.05
2024-09-20,305.7
2024-09-19,311.35
2024-09-18,305.1
2024-09-17,306.55
2024-09-16,304.1
2024-09-13,304.45
2024-09-12,301.15
2024-09-11,298.45
2024-09-10,298.3
2024-09-09,298.95
2024-09-06,295.2
2024-09-05,299.45
2024-09-04,301.75
2024-09-03,303.75
2024-09-02,308.55
2024-08-30,308.9
2024-08-29,308.6
2024-08-28,306
2024-08-27,305.15
2024-08-26,304.95
2024-08-23,303.75
2024-08-22,301.2
2024-08-21,301.95
2024-08-20,299.45
2024-08-19,300
2024-08-16,296.5
2024-08-14,292.55
2024-08-13,293.2
2024-08-12,293.2
2024-08-09,293.85
2024-08-08,292.7
2024-08-07,293.1
2024-08-06,288.7
2024-08-05,289.85
2024-08-02,296.1
2024-08-01,303.8
2024-07-31,308.4
2024-07-30,304.8
2024-07-29,304.3
2024-07-26,306.85
2024-07-25,305.2
2024-07-24,305.95
2024-07-23,304.9
2024-07-22,307.55
2024-07-19,304.65
2024-07-18,308.95
2024-07-17,309.35
2024-07-16,308.85
2024-07-15,310.3
2024-07-12,315.05
2024-07-11,312.65
2024-07-10,310.55
2024-07-09,309.4
2024-07-08,311.6
2024-07-05,312.2
2024-07-04,314.05
2024-07-03,312.15
2024-07-02,307.4
2024-07-01,308.5
2024-06-28,308.65
2024-06-27,310.5
2024-06-26,311.75
2024-06-25,312.95
2024-06-24,312.8
2024-06-21,310.3
2024-06-20,314.5
2024-06-19,310.65
2024-06-18,309.55
2024-06-17,305.95
2024-06-14,306.85
2024-06-13,310.75
2024-06-12,314.45
2024-06-11,312.5
2024-06-10,315.55
2024-06-07,315.15
2024-06-06,316.2
2024-06-05,315.2
2024-06-04,314.5
2024-06-03,317.8
2024-05-31,317.5
2024-05-30,318.75
2024-05-29,316.4
2024-05-28,321.35
2024-05-27,323.2
2024-05-24,322.05
2024-05-23,322.2
2024-05-22,323.05
2024-05-21,325.75
2024-05-20,326.45
2024-05-17,324.4
2024-05-16,322.25
2024-05-15,323
2024-05-14,321.25
2024-05-13,320.1
2024-05-10,321.9
2024-05-09,319.75
2024-05-08,317.5
2024-05-07,318.45
2024-05-06,315.85
2024-05-03,313.75
