"Date","Price"
2025-03-24,200.75835
2025-03-21,197.6901
2025-03-20,196.75426
2025-03-19,197.70929
2025-03-18,193.74429
2025-03-17,197.38868
2025-03-14,196.59989
2025-03-13,191.30355
2025-03-12,194.0772
2025-03-11,190.59813
2025-03-10,193.2133
2025-03-07,201.54939
2025-03-06,199.51838
2025-03-05,205.44274
2025-03-04,207.26617
2025-03-03,208.4358
2025-02-28,216.91834
2025-02-27,213.88489
2025-02-26,220.14676
2025-02-25,217.58713
2025-02-24,221.05414
2025-02-21,224.47673
2025-02-20,230.1554
2025-02-19,232.64169
2025-02-18,231.82079
2025-02-14,228.3906
2025-02-13,229.38807
2025-02-12,226.18454
2025-02-11,228.42645
2025-02-10,229.07292
2025-02-07,225.55706
2025-02-06,226.25494
2025-02-05,224.75048
2025-02-04,222.58842
2025-02-03,221.49805
2025-01-31,221.50672
2025-01-30,222.87607
2025-01-29,222.37789
2025-01-28,224.05063
2025-01-27,216.96063
2025-01-24,227.66625
2025-01-23,231.71713
2025-01-22,231.72698
2025-01-21,226.52337
2025-01-17,227.71131
2025-01-16,223.85161
2025-01-15,225.83123
2025-01-14,221.38414
2025-01-13,222.31356
2025-01-10,223.30893
2025-01-08,226.93577
2025-01-07,225.67763
2025-01-06,229.8325
2025-01-03,228.92795
2025-01-02,225.98149
2024-12-31,224.67871
2024-12-30,225.58207
2024-12-27,227.8956
2024-12-26,231.16596
2024-12-24,231.52373
2024-12-23,228.95749
2024-12-20,226.25372
2024-12-19,224.36788
2024-12-18,221.70883
2024-12-17,228.55238
2024-12-16,229.70222
2024-12-13,227.75343
2024-12-12,226.67365
2024-12-11,228.23227
2024-12-10,224.50048
2024-12-09,226.43134
2024-12-06,228.26272
2024-12-05,227.01552
2024-12-04,228.84123
2024-12-03,224.90265
2024-12-02,224.9714
2024-11-29,221.16768
2024-11-27,218.96747
2024-11-26,224.22159
2024-11-25,222.76368
2024-11-22,224.20578
2024-11-21,222.61632
2024-11-20,219.45499
2024-11-19,218.64839
2024-11-18,216.64621
2024-11-15,216.80728
2024-11-14,222.11384
2024-11-13,222.66061
2024-11-12,222.636
2024-11-11,221.47619
2024-11-08,221.45859
2024-11-07,219.73161
2024-11-06,217.53519
2024-11-05,207.58463
2024-11-04,205.47341
2024-11-01,206.63529
2024-10-31,204.6032
2024-10-30,211.31051
2024-10-29,215.91708
2024-10-28,212.8907
2024-10-25,213.13281
2024-10-24,211.91379
2024-10-23,212.03936
2024-10-22,214.4245
2024-10-21,214.42832
2024-10-18,212.48735
2024-10-17,212.55427
2024-10-16,211.06919
2024-10-15,209.99082
2024-10-14,214.47441
2024-10-11,210.88168
2024-10-10,211.26903
2024-10-09,210.62877
2024-10-08,207.65306
2024-10-07,203.69629
2024-10-04,205.55657
2024-10-03,202.00363
2024-10-02,200.85996
2024-10-01,199.25819
2024-09-30,202.51166
2024-09-27,201.8472
2024-09-26,203.43809
2024-09-25,201.39201
2024-09-24,200.38534
2024-09-23,199.63146
2024-09-20,199.14981
2024-09-19,200.44819
2024-09-18,195.22654
2024-09-17,197.11305
2024-09-16,197.32231
2024-09-13,198.88127
2024-09-12,198.56962
2024-09-11,197.4764
2024-09-10,190.76811
2024-09-09,187.58259
