"Data","Ultimo","Apertura","Massimo","Minimo","Vol.","Var..."
2025-03-18,85.865,"84,025","86,365","83,795","444,03K","2,78%"
2025-03-17,83.54,"82,300","83,880","81,580","1,20M","1,75%"
2025-03-14,82.1,"80,000","83,640","78,660","2,16M","-0,27%"
2025-03-13,82.32,"83,200","84,180","81,760","1,67M","-2,33%"
2025-03-12,84.28,"85,000","85,300","83,000","1,09M","-0,05%"
2025-03-11,84.32,"84,640","88,260","83,760","1,94M","-1,56%"
2025-03-10,85.66,"85,280","86,480","83,320","1,41M","2,44%"
2025-03-07,83.62,"85,980","87,000","82,880","1,36M","-3,86%"
2025-03-06,86.98,"84,800","87,520","84,480","2,08M","4,34%"
2025-03-05,83.36,"82,500","85,180","82,420","2,00M","4,30%"
2025-03-04,79.92,"82,460","82,980","79,060","2,28M","-5,89%"
2025-03-03,84.92,"83,380","87,400","83,160","1,50M","1,22%"
2025-02-28,83.9,"82,480","84,320","81,940","1,88M","0,33%"
2025-02-27,83.62,"84,780","85,460","82,900","1,51M","-3,80%"
2025-02-26,86.92,"85,860","86,940","85,380","1,81M","1,45%"
2025-02-25,85.68,"83,000","85,700","82,760","1,85M","2,76%"
2025-02-24,83.38,"84,680","84,680","82,680","958,75K","0,97%"
2025-02-21,82.58,"82,660","83,200","81,980","1,14M","0,10%"
2025-02-20,82.5,"81,000","83,880","80,900","1,43M","0,12%"
2025-02-19,82.4,"84,120","84,220","81,920","1,59M","-2,28%"
2025-02-18,84.32,"84,200","84,480","82,680","741,43K","0,29%"
2025-02-17,84.08,"82,980","84,160","82,320","1,08M","1,35%"
2025-02-14,82.96,"79,900","83,360","79,900","1,90M","2,60%"
2025-02-13,80.86,"77,600","81,460","77,560","2,82M","6,06%"
2025-02-12,76.24,"76,240","77,160","75,540","910,54K","0,03%"
2025-02-11,76.22,"76,800","77,040","75,480","911,78K","-1,06%"
2025-02-10,77.04,"76,480","77,480","76,340","704,17K","0,86%"
2025-02-07,76.38,"77,840","78,580","76,120","1,03M","-1,60%"
2025-02-06,77.62,"76,280","78,200","75,780","1,21M","1,70%"
2025-02-05,76.32,"76,500","77,000","75,680","859,64K","-1,09%"
2025-02-04,77.16,"76,680","77,500","75,240","797,49K","0,57%"
2025-02-03,76.72,"74,640","76,920","73,480","1,85M","-2,39%"
2025-01-31,78.6,"79,860","80,140","78,600","1,27M","-1,60%"
2025-01-30,79.88,"79,500","80,120","78,820","784,11K","0,73%"
2025-01-29,79.3,"78,880","79,760","78,280","909,02K","0,63%"
2025-01-28,78.8,"81,200","81,780","78,640","1,87M","-2,76%"
2025-01-27,81.04,"79,220","81,080","78,520","1,36M","2,79%"
2025-01-24,78.84,"78,060","80,700","77,920","1,29M","1,89%"
2025-01-23,77.38,"78,700","78,760","77,140","827,46K","-1,07%"
2025-01-22,78.22,"78,500","79,340","77,880","808,15K","0,49%"
2025-01-21,77.84,"78,180","78,800","77,560","1,16M","-1,79%"
2025-01-20,79.26,"77,240","80,280","76,460","1,49M","2,80%"
2025-01-17,77.1,"76,700","77,860","76,420","1,15M","1,13%"
2025-01-16,76.24,"77,960","78,020","76,240","1,02M","-1,04%"
2025-01-15,77.04,"76,500","77,400","75,900","973,38K","1,40%"
2025-01-14,75.98,"77,300","77,840","75,980","976,26K","-0,31%"
2025-01-13,76.22,"76,320","77,160","75,280","721,31K","-0,21%"
2025-01-10,76.38,"75,320","77,840","74,520","1,31M","1,14%"
2025-01-09,75.52,"76,120","76,520","75,140","1,08M","-1,62%"
2025-01-08,76.76,"78,480","78,760","76,460","1,11M","-2,66%"
2025-01-07,78.86,"79,600","80,280","78,740","1,03M","-1,18%"
2025-01-06,79.8,"77,640","81,700","77,620","1,79M","4,42%"
2025-01-03,76.42,"77,720","78,020","76,100","931,95K","-2,15%"
2025-01-02,78.1,"78,540","78,960","76,240","1,14M","-1,11%"
2024-12-30,78.98,"77,920","79,040","77,840","456,16K","0,82%"
2024-12-27,78.34,"76,880","78,460","76,740","958,95K","1,82%"
2024-12-23,76.94,"77,620","77,680","76,260","642,21K","-0,82%"
2024-12-20,77.58,"76,700","77,860","76,120","2,00M","0,39%"
2024-12-19,77.28,"77,080","78,380","76,900","1,30M","-0,92%"
2024-12-18,78,"79,000","79,200","78,000","1,02M","-0,46%"
2024-12-17,78.36,"77,000","78,760","76,920","1,02M","0,95%"
2024-12-16,77.62,"79,560","80,080","77,140","1,52M","-3,17%"
2024-12-13,80.16,"79,880","81,840","79,880","1,81M","0,23%"
2024-12-12,79.98,"78,400","80,220","78,280","1,61M","1,91%"
2024-12-11,78.48,"79,900","80,040","78,240","1,07M","-1,51%"
2024-12-10,79.68,"78,640","80,240","78,640","1,22M","0,61%"
2024-12-09,79.2,"78,100","79,960","78,060","1,94M","2,54%"
2024-12-06,77.24,"76,000","77,320","75,460","1,78M","2,71%"
2024-12-05,75.2,"73,360","75,300","73,360","1,50M","2,40%"
2024-12-04,73.44,"72,040","73,600","71,940","1,34M","2,28%"
2024-12-03,71.8,"72,740","73,660","71,800","1,43M","-0,11%"
2024-12-02,71.88,"69,420","72,660","69,040","1,87M","2,66%"
2024-11-29,70.02,"68,480","70,160","68,420","1,33M","1,60%"
2024-11-28,68.92,"69,120","69,880","68,720","655,63K","0,76%"
2024-11-27,68.4,"68,000","68,400","67,480","971,59K","-0,12%"
2024-11-26,68.48,"68,220","68,960","67,520","1,03M","-1,18%"
2024-11-25,69.3,"68,600","69,540","68,140","3,42M","2,21%"
2024-11-22,67.8,"67,920","68,280","66,520","1,01M","-0,21%"
2024-11-21,67.94,"68,380","68,400","66,680","1,05M","-0,82%"
2024-11-20,68.5,"69,200","69,460","68,320","972,72K","-0,81%"
2024-11-19,69.06,"68,760","69,560","68,080","1,46M","0,49%"
2024-11-18,68.72,"68,100","69,560","68,100","1,06M","1,18%"
2024-11-15,67.92,"67,000","68,580","67,000","1,07M","0,41%"
2024-11-14,67.64,"66,100","67,920","65,760","1,58M","2,55%"
2024-11-13,65.96,"66,780","67,220","65,260","1,48M","-1,87%"
2024-11-12,67.22,"67,020","68,740","66,900","1,23M","-0,91%"
2024-11-11,67.84,"68,140","68,540","66,520","1,31M","0,38%"
2024-11-08,67.58,"69,500","69,560","66,900","1,95M","-3,21%"
2024-11-07,69.82,"68,100","70,360","68,100","1,91M","2,92%"
2024-11-06,67.84,"69,720","70,140","66,840","4,43M","-6,58%"
2024-11-05,72.62,"73,000","73,340","72,100","879,38K","-0,11%"
2024-11-04,72.7,"73,000","74,160","72,580","877,77K","-0,63%"
2024-11-01,73.16,"72,120","73,520","72,080","773,39K","1,16%"
2024-10-31,72.32,"72,960","73,460","72,220","1,09M","-1,53%"
2024-10-30,73.44,"73,580","74,180","72,580","1,55M","-1,16%"
2024-10-29,74.3,"75,460","76,080","74,040","873,13K","-1,62%"
2024-10-28,75.52,"76,700","77,000","74,480","713,27K","-0,63%"
2024-10-25,76,"75,700","76,740","75,360","729,59K","-0,63%"
2024-10-24,76.48,"75,440","78,540","75,440","1,20M","1,22%"
2024-10-23,75.56,"75,480","76,920","75,300","614,52K","0,45%"
2024-10-22,75.22,"74,640","75,420","74,560","573,43K","0,45%"
2024-10-21,74.88,"74,920","75,720","74,460","667,61K","-0,29%"
2024-10-18,75.1,"74,760","76,560","74,740","964,53K","0,45%"
2024-10-17,74.76,"74,880","75,300","74,120","687,67K","0,03%"
2024-10-16,74.74,"74,760","75,340","74,020","798,82K","-0,72%"
2024-10-15,75.28,"76,340","76,400","74,560","952,99K","-1,26%"
2024-10-14,76.24,"76,380","76,600","75,500","652,63K","0,61%"
2024-10-11,75.78,"76,360","76,640","75,540","1,16M","-1,12%"
2024-10-10,76.64,"77,220","77,980","76,640","755,12K","-0,73%"
2024-10-09,77.2,"76,600","77,440","75,980","533,58K","1,23%"
2024-10-08,76.26,"76,000","76,780","75,040","992,37K","-2,03%"
2024-10-07,77.84,"78,280","78,340","77,080","562,64K","0,10%"
2024-10-04,77.76,"76,420","78,440","76,340","764,68K","1,75%"
2024-10-03,76.42,"77,360","77,560","75,840","946,01K","-1,55%"
2024-10-02,77.62,"77,640","78,700","77,340","780,52K","-0,15%"
2024-10-01,77.74,"79,180","79,680","77,560","925,30K","-1,82%"
2024-09-30,79.18,"80,500","80,640","78,860","1,45M","-2,42%"
2024-09-27,81.14,"78,660","81,280","78,660","1,76M","3,31%"
2024-09-26,78.54,"77,180","79,080","77,020","1,74M","3,81%"
2024-09-25,75.66,"78,000","78,340","75,660","1,67M","-3,15%"
2024-09-24,78.12,"77,700","78,720","77,640","2,12M","3,55%"
2024-09-23,75.44,"73,820","75,600","73,160","1,11M","2,44%"
2024-09-20,73.64,"73,300","73,960","72,780","2,88M","-3,28%"
2024-09-19,76.14,"76,300","77,460","75,920","1,70M","2,17%"
2024-09-18,74.52,"73,240","75,000","73,020","1,62M","2,19%"
2024-09-17,72.92,"72,580","73,720","72,460","981,22K","0,55%"
2024-09-16,72.52,"73,100","73,260","72,480","957,47K","-1,09%"
2024-09-13,73.32,"71,560","73,580","71,520","1,29M","2,75%"
2024-09-12,71.36,"71,880","72,560","70,780","1,66M","0,39%"
2024-09-11,71.08,"68,880","71,340","68,840","3,30M","3,04%"
2024-09-10,68.98,"77,220","77,280","68,580","6,26M","-11,15%"
2024-09-09,77.64,"78,300","78,640","77,100","1,10M","-0,72%"
2024-09-06,78.2,"80,140","80,160","77,960","1,40M","-2,62%"
2024-09-05,80.3,"80,180","81,920","79,960","714,92K","-0,30%"
2024-09-04,80.54,"80,180","81,100","80,100","779,37K","-1,25%"
2024-09-03,81.56,"82,800","83,020","81,220","930,98K","-1,90%"
2024-09-02,83.14,"84,040","84,040","82,640","564,85K","-0,81%"
2024-08-30,83.82,"84,020","84,260","83,640","1,26M","-0,05%"
2024-08-29,83.86,"83,480","84,360","83,340","622,75K","0,38%"
2024-08-28,83.54,"84,940","85,160","83,540","906,92K","-1,46%"
2024-08-27,84.78,"85,100","86,060","84,780","730,03K","-0,02%"
2024-08-26,84.8,"84,240","85,220","84,000","571,78K","0,40%"
2024-08-23,84.46,"83,540","84,520","83,500","727,98K","1,49%"
2024-08-22,83.22,"83,640","83,640","82,840","547,69K","-0,41%"
2024-08-21,83.56,"82,360","83,920","82,360","593,29K","1,09%"
2024-08-20,82.66,"82,800","83,080","82,420","530,63K","-0,07%"
2024-08-19,82.72,"81,920","83,180","81,840","815,90K","1,20%"
2024-08-16,81.74,"82,000","82,220","81,240","665,46K","0,32%"
2024-08-15,81.48,"80,360","81,940","79,960","770,90K","1,80%"
2024-08-14,80.04,"79,780","80,720","79,580","646,70K","0,91%"
2024-08-13,79.32,"79,300","79,540","78,740","797,28K","0,43%"
2024-08-12,78.98,"80,000","80,200","78,740","852,61K","-0,90%"
2024-08-09,79.7,"79,800","80,800","79,560","567,12K","-0,15%"
2024-08-08,79.82,"80,020","80,060","79,320","809,07K","-0,72%"
2024-08-07,80.4,"79,820","81,480","79,700","842,76K","1,08%"
2024-08-06,79.54,"80,240","81,020","79,100","1,07M","-0,35%"
2024-08-05,79.82,"79,820","80,800","77,980","1,84M","-2,73%"
2024-08-02,82.06,"82,860","83,240","81,840","1,33M","-1,37%"
2024-08-01,83.2,"82,400","84,500","81,360","1,93M","-3,05%"
2024-07-31,85.82,"86,460","86,840","85,500","1,16M","-1,08%"
2024-07-30,86.76,"86,700","87,280","86,160","613,01K","0,21%"
2024-07-29,86.58,"87,920","88,160","86,240","830,76K","-1,12%"
2024-07-26,87.56,"87,100","88,500","86,780","843,50K","-0,73%"
2024-07-25,88.2,"88,000","88,260","86,900","1,13M","-1,01%"
2024-07-24,89.1,"89,000","89,860","88,460","820,65K","-1,02%"
2024-07-23,90.02,"90,440","91,460","89,520","726,25K","-0,99%"
2024-07-22,90.92,"90,220","91,560","89,980","838,30K","1,61%"
2024-07-19,89.48,"90,600","91,060","89,120","1,22M","-2,01%"
2024-07-18,91.32,"90,180","91,780","90,000","945,31K","1,81%"
2024-07-17,89.7,"88,940","89,840","88,180","649,82K","0,92%"
