"Data","Ultimo","Apertura","Massimo","Minimo","Vol.","Var..."
2015-01-02,68.75,"69,600","70,000","68,160","2,78M","-0,32%"
2015-01-05,66.17,"68,260","68,850","65,980","4,53M","-3,75%"
2015-01-06,66.61,"66,400","68,040","65,570","4,33M","0,66%"
2015-01-07,67.13,"67,250","68,150","66,760","3,39M","0,78%"
2015-01-08,70.07,"68,220","70,160","67,810","5,01M","4,38%"
2015-01-09,69.42,"69,580","71,050","69,010","5,37M","-0,93%"
2015-01-12,71,"69,800","71,260","69,390","4,41M","2,28%"
2015-01-13,72.27,"70,810","72,850","70,760","4,82M","1,79%"
2015-01-14,71.3,"71,100","72,700","70,890","4,86M","-1,34%"
2015-01-15,72.93,"72,200","73,330","70,030","6,18M","2,29%"
2015-01-16,74.38,"72,640","74,700","72,400","6,32M","1,99%"
2015-01-19,74.73,"74,950","75,470","74,440","3,75M","0,47%"
2015-01-20,74.93,"74,990","75,450","74,160","4,59M","0,27%"
2015-01-21,74.92,"74,930","75,370","73,900","5,89M","-0,01%"
2015-01-22,77.27,"75,000","77,710","74,430","7,09M","3,14%"
2015-01-23,79.66,"77,750","80,330","77,720","9,14M","3,09%"
2015-01-26,81.05,"79,170","81,300","79,150","4,79M","1,74%"
2015-01-27,78.63,"80,350","81,000","78,270","6,14M","-2,99%"
2015-01-28,79.91,"79,500","79,960","78,650","4,47M","1,63%"
2015-01-29,80.29,"79,380","80,540","78,720","4,00M","0,48%"
2015-01-30,80.48,"80,990","80,990","79,740","4,83M","0,24%"
2015-02-02,81.21,"80,660","81,330","80,010","4,08M","0,91%"
2015-02-03,82.15,"81,700","83,850","81,410","6,08M","1,16%"
2015-02-04,82.63,"82,500","82,870","81,230","4,47M","0,58%"
2015-02-05,82.78,"81,700","84,690","81,300","6,02M","0,18%"
2015-02-06,82.35,"82,950","83,000","81,850","3,39M","-0,52%"
2015-02-09,80.64,"81,810","81,810","79,780","5,01M","-2,08%"
2015-02-10,82.16,"80,690","82,410","80,260","4,17M","1,88%"
2015-02-11,82.44,"82,500","82,650","81,770","2,44M","0,34%"
2015-02-12,83.14,"82,700","83,860","82,410","4,45M","0,85%"
2015-02-13,83.19,"83,500","83,980","82,780","3,97M","0,06%"
2015-02-16,82.83,"82,750","83,220","82,550","1,74M","-0,43%"
2015-02-17,82.44,"82,100","82,980","81,320","2,95M","-0,47%"
2015-02-18,83.63,"83,210","83,690","82,740","2,52M","1,44%"
2015-02-19,84.08,"83,210","84,220","82,680","3,25M","0,54%"
2015-02-20,84.78,"83,810","85,290","83,680","6,49M","0,83%"
2015-02-23,84.97,"85,620","85,740","84,550","2,63M","0,22%"
2015-02-24,85.22,"85,000","85,410","84,060","2,95M","0,29%"
2015-02-25,85.02,"85,510","85,650","84,350","3,36M","-0,23%"
2015-02-26,85.55,"85,040","85,590","84,450","2,99M","0,62%"
2015-02-27,86.51,"85,450","86,510","85,270","4,45M","1,12%"
2015-03-02,86.67,"86,790","87,060","86,130","3,30M","0,18%"
2015-03-03,85.6,"86,700","87,370","85,550","3,10M","-1,23%"
2015-03-04,87.99,"86,120","87,990","85,640","3,85M","2,79%"
2015-03-05,89.15,"88,380","89,510","88,260","3,99M","1,32%"
2015-03-06,89.92,"89,500","90,510","88,940","3,33M","0,86%"
2015-03-09,90.14,"89,670","90,240","89,080","2,74M","0,24%"
2015-03-10,88.7,"90,060","90,290","88,110","4,20M","-1,60%"
2015-03-11,92.07,"89,670","92,120","89,370","4,66M","3,80%"
2015-03-12,92.65,"92,290","93,130","91,770","4,12M","0,63%"
2015-03-13,93.1,"93,360","93,440","91,590","3,66M","0,49%"
2015-03-16,95.79,"93,400","96,070","93,270","4,81M","2,89%"
2015-03-17,91.71,"94,920","95,500","91,310","6,97M","-4,26%"
2015-03-18,89.91,"92,120","92,510","88,740","6,83M","-1,96%"
2015-03-19,90.25,"89,960","90,810","89,020","5,12M","0,38%"
2015-03-20,91.51,"90,660","91,940","90,290","8,55M","1,40%"
2015-03-23,88.7,"91,400","91,410","88,490","4,89M","-3,07%"
2015-03-24,88.43,"88,300","89,210","86,700","7,46M","-0,30%"
2015-03-25,87.6,"88,550","89,800","87,420","4,49M","-0,94%"
2015-03-26,88.72,"86,250","88,720","84,650","6,81M","1,28%"
2015-03-27,88.47,"89,760","90,540","87,720","4,76M","-0,28%"
2015-03-30,90.86,"89,280","90,880","89,080","3,90M","2,70%"
2015-03-31,89.73,"90,850","90,860","88,870","4,95M","-1,24%"
2015-04-01,90.15,"89,700","90,570","88,680","7,24M","0,47%"
2015-04-02,87.7,"87,970","88,340","87,320","4,29M","-2,72%"
2015-04-07,87.09,"88,370","88,540","86,550","4,34M","-0,70%"
2015-04-08,85.93,"86,170","86,380","85,390","4,20M","-1,33%"
2015-04-09,87.29,"86,260","87,290","85,940","3,64M","1,58%"
2015-04-10,88.65,"87,890","89,040","87,300","3,81M","1,56%"
2015-04-13,88.17,"88,490","89,180","88,010","2,57M","-0,54%"
2015-04-14,86.93,"87,760","88,160","86,440","3,51M","-1,41%"
2015-04-15,87.35,"87,170","88,140","86,980","3,13M","0,48%"
2015-04-16,86.85,"88,000","88,200","86,770","3,86M","-0,57%"
2015-04-17,84.81,"86,560","87,600","84,650","5,69M","-2,35%"
2015-04-20,86.62,"85,330","86,810","85,010","3,40M","2,13%"
2015-04-21,87.28,"87,520","88,600","87,230","4,43M","0,76%"
2015-04-22,87.49,"88,240","89,090","86,530","4,21M","0,24%"
2015-04-23,86.19,"87,930","88,500","85,780","4,34M","-1,49%"
2015-04-24,87.16,"87,110","88,140","85,950","3,31M","1,13%"
2015-04-27,89.55,"88,150","89,900","87,310","5,49M","2,74%"
2015-04-28,88.93,"92,100","92,700","88,180","6,52M","-0,69%"
2015-04-29,86.14,"90,200","90,500","85,980","5,76M","-3,14%"
2015-04-30,86.33,"86,270","87,310","84,740","5,24M","0,22%"
2015-05-04,87.55,"87,070","88,090","86,150","3,02M","1,41%"
2015-05-05,85.25,"87,180","88,970","85,120","4,70M","-2,63%"
2015-05-06,84.67,"85,700","86,380","83,000","5,16M","-0,68%"
2015-05-07,85.25,"84,250","85,570","83,320","4,25M","0,69%"
