"Data","Ultimo","Apertura","Massimo","Minimo","Vol.","Var..."
2025-03-18,5.98,"5,97","5,98","5,97","15,27K","0,17%"
2025-03-17,5.97,"5,97","5,97","5,96","110,31K","0,13%"
2025-03-14,5.96,"5,94","5,96","5,94","68,27K","0,21%"
2025-03-13,5.95,"5,97","5,97","5,95","176,49K","-0,28%"
2025-03-12,5.97,"5,96","5,97","5,96","77,68K","0,15%"
2025-03-11,5.96,"5,98","5,98","5,96","449,00K","-0,35%"
2025-03-10,5.98,"6,01","6,01","5,97","68,60K","-0,18%"
2025-03-07,5.99,"6,00","6,00","5,98","26,30K","0,11%"
2025-03-06,5.98,"6,03","6,03","5,98","359,85K","-0,43%"
2025-03-05,6.01,"6,01","6,02","6,01","157,36K","0,00%"
2025-03-04,6.01,"6,02","6,04","6,00","491,84K","-0,32%"
2025-03-03,6.03,"6,03","6,03","6,02","266,90K","0,19%"
2025-02-28,6.02,"6,02","6,02","6,01","43,45K","0,00%"
2025-02-27,6.02,"6,03","6,03","6,01","121,83K","0,10%"
2025-02-26,6.01,"6,04","6,04","6,01","118,78K","0,00%"
2025-02-25,6.01,"6,03","6,03","6,01","172,46K","0,00%"
2025-02-24,6.01,"6,03","6,04","6,01","98,90K","0,00%"
2025-02-21,6.01,"6,01","6,03","5,99","224,40K","0,10%"
2025-02-20,6,"6,02","6,02","6,00","118,66K","0,00%"
2025-02-19,6,"6,03","6,03","6,00","221,08K","-0,24%"
2025-02-18,6.01,"6,02","6,02","6,00","279,23K","0,00%"
2025-02-17,6.01,"6,02","6,02","6,00","366,74K","0,22%"
2025-02-14,6,"6,00","6,02","5,99","34,26K","0,00%"
2025-02-13,6,"6,00","6,00","5,99","152,96K","0,33%"
2025-02-12,5.98,"5,99","6,00","5,98","68,63K","-0,08%"
2025-02-11,5.98,"6,00","6,00","5,98","287,79K","0,00%"
2025-02-10,5.99,"5,99","6,00","5,98","23,64K","0,17%"
2025-02-07,5.98,"5,99","5,99","5,98","141,68K","-0,18%"
2025-02-06,5.99,"5,98","5,99","5,98","334,10K","0,09%"
2025-02-05,5.98,"5,99","5,99","5,97","304,39K","0,00%"
2025-02-04,5.99,"5,99","5,99","5,97","152,22K","0,23%"
