"Date","Close"
2025-03-21,5.02
2025-03-20,5.08
2025-03-19,5.14
2025-03-18,5.08
2025-03-17,5.11
2025-03-14,5.15
2025-03-13,5.12
2025-03-12,5.07
2025-03-11,5.08
2025-03-10,5.31
2025-03-07,5.28
2025-03-06,5.34
2025-03-05,5.21
2025-03-04,5.18
2025-03-03,5.23
2025-02-28,5.4
2025-02-27,5.37
2025-02-26,5.37
2025-02-25,5.15
2025-02-24,5.25
2025-02-21,5.62
2025-02-20,5.47
2025-02-19,5.5
2025-02-18,5.48
2025-02-14,5.36
2025-02-13,5.41
2025-02-12,5.3
2025-02-11,5.38
2025-02-10,5.4
2025-02-07,5.4832
2025-02-06,5.46
2025-02-05,5.4
2025-02-04,5.35
2025-02-03,5.3
2025-01-31,5.35
2025-01-30,5.33
2025-01-29,5.31
2025-01-28,5.29
2025-01-27,5.38
2025-01-24,5.42
2025-01-23,5.4
2025-01-22,5.4
2025-01-21,5.52
2025-01-17,5.5
2025-01-16,5.6
2025-01-15,5.6048
2025-01-14,5.63
2025-01-13,5.63
2025-01-10,5.77
2025-01-08,5.67
2025-01-07,5.79
2025-01-06,5.92
2025-01-03,5.66
2025-01-02,5.38
2024-12-31,5.29
2024-12-30,5.36
2024-12-27,5.25
2024-12-26,5.1
2024-12-24,5.28
2024-12-23,5.27
2024-12-20,5.37
2024-12-19,5.21
2024-12-18,5.02
2024-12-17,5.14
2024-12-16,5.24
2024-12-13,5.25
2024-12-12,5.28
2024-12-11,5.27
2024-12-10,5.38
2024-12-09,5.37
2024-12-06,5.38
2024-12-05,5
2024-12-04,5.11
2024-12-03,5.22
2024-12-02,4.77
2024-11-29,5.3
2024-11-27,5.34
2024-11-26,5.43
2024-11-25,5.44
2024-11-22,5.41
2024-11-21,5.38
2024-11-20,5.24
2024-11-19,5.35
2024-11-18,5.26
2024-11-15,5.23
2024-11-14,5.29
2024-11-13,5.26
2024-11-12,5.25
2024-11-11,5.34
2024-11-08,5.62
2024-11-07,5.65
2024-11-06,5.77
2024-11-05,5.61
2024-11-04,5.67
2024-11-01,5.51
2024-10-31,5.59
2024-10-30,5.57
2024-10-29,5.67
2024-10-28,5.73
2024-10-25,5.93
2024-10-24,6
2024-10-23,6.01
2024-10-22,5.97
2024-10-21,5.88
2024-10-18,5.94
2024-10-17,5.9
2024-10-16,5.96
2024-10-15,5.95
2024-10-14,5.78
2024-10-11,5.75
2024-10-10,5.83
2024-10-09,5.75
2024-10-08,5.78
2024-10-07,5.78
2024-10-04,5.65
2024-10-03,5.72
2024-10-02,5.75
2024-10-01,5.61
2024-09-30,5.7
2024-09-27,5.69
2024-09-26,5.65
2024-09-25,5.6
2024-09-24,5.64
2024-09-23,5.73
2024-09-20,5.95
2024-09-19,5.81
2024-09-18,5.58
2024-09-17,5.64
2024-09-16,5.43
2024-09-13,5.67
2024-09-12,5.7
2024-09-11,5.48
2024-09-10,5.64
2024-09-09,5.59
2024-09-06,5.75
2024-09-05,5.82
2024-09-04,5.89
2024-09-03,5.78
2024-08-30,5.96
2024-08-29,5.92
2024-08-28,6.08
2024-08-27,6.22
2024-08-26,6.26
2024-08-23,6.36
2024-08-22,6.09
2024-08-21,6.1
2024-08-20,6.35
2024-08-19,6.3
2024-08-16,5.97
2024-08-15,5.86
2024-08-14,5.66
2024-08-13,5.45
2024-08-12,5.44
2024-08-09,5.41
2024-08-08,5.44
2024-08-07,5.33
2024-08-06,5.12
2024-08-05,5.23
2024-08-02,5.44
2024-08-01,5.83
2024-07-31,5.84
2024-07-30,5.95
2024-07-29,6
2024-07-26,6.06
2024-07-25,5.89
2024-07-24,5.835
2024-07-23,6.135
2024-07-22,6
2024-07-19,5.95
2024-07-18,5.85
2024-07-17,5.93
2024-07-16,5.83
2024-07-15,5.84
2024-07-12,5.8
2024-07-11,5.85
2024-07-10,5.55
2024-07-09,5.49
2024-07-08,5.57
2024-07-05,5.72
2024-07-03,5.66
2024-07-02,5.69
2024-07-01,5.96
2024-06-28,5.5
2024-06-27,5.5
2024-06-26,5.38
2024-06-25,5.38
2024-06-24,5.46
2024-06-21,5.65
2024-06-20,5.38
2024-06-18,5.19
2024-06-17,5.34
2024-06-14,4.9
2024-06-13,5.05
2024-06-12,5.11
2024-06-11,4.99
2024-06-10,4.91
2024-06-07,4.87
2024-06-06,4.94
2024-06-05,5.01
2024-06-04,4.71
2024-06-03,4.86
2024-05-31,5
2024-05-30,5.31
2024-05-29,5.12
2024-05-28,5.1
2024-05-24,5.08
2024-05-23,5.07
2024-05-22,5.08
2024-05-21,4.92
2024-05-20,4.85
2024-05-17,4.81
2024-05-16,4.94
2024-05-15,5.02
2024-05-14,4.96
2024-05-13,4.81
2024-05-10,5.13
2024-05-09,5.23
2024-05-08,5.75
2024-05-07,6.12
2024-05-06,6.16
2024-05-03,6.09
2024-05-02,6.06
2024-05-01,5.91
2024-04-30,5.97
2024-04-29,6.08
2024-04-26,6.15
2024-04-25,6.14
2024-04-24,5.98
2024-04-23,6.02
2024-04-22,5.95
2024-04-19,6.16
2024-04-18,6
2024-04-17,6.12
2024-04-16,6.17
2024-04-15,5.83
2024-04-12,5.96
2024-04-11,6.25
2024-04-10,6.29
2024-04-09,6.53
2024-04-08,6.74
2024-04-05,6.48
2024-04-04,6.53
2024-04-03,6.82
2024-04-02,6.38
2024-04-01,6.31
2024-03-28,6.24
2024-03-27,6.41
2024-03-26,6.54
2024-03-25,6.19
2024-03-22,6.67
2024-03-21,6.4
2024-03-20,5.96
2024-03-19,5.9
2024-03-18,5.65
2024-03-15,5.74
2024-03-14,5.82
2024-03-13,6.12
2024-03-12,6.18
2024-03-11,6.09
2024-03-08,5.93
2024-03-07,5.93
2024-03-06,5.61
2024-03-05,5.74
2024-03-04,5.75
2024-03-01,5.75
2024-02-29,5.7
2024-02-28,5.65
2024-02-27,5.64
2024-02-26,5.66
2024-02-23,5.45
2024-02-22,5.37
2024-02-21,5.36
2024-02-20,5.32
2024-02-16,5.37
2024-02-15,5.07
2024-02-14,5.18
2024-02-13,5.13
2024-02-12,5.16
2024-02-09,5.07
2024-02-08,5
2024-02-07,5.01
2024-02-06,4.99
2024-02-05,5.05
2024-02-02,5.1
2024-02-01,5.17
2024-01-31,5.06
2024-01-30,5.15
2024-01-29,4.99
2024-01-26,4.98
2024-01-25,4.91
2024-01-24,4.98
2024-01-23,5.02
2024-01-22,5.04
2024-01-19,5.01
2024-01-18,5.08
2024-01-17,4.86
2024-01-16,5.18
2024-01-12,5.25
2024-01-11,5.21
2024-01-10,5.36
2024-01-09,5.27
2024-01-08,5.32
2024-01-05,5.21
2024-01-04,5.29
2024-01-03,5.26
2024-01-02,5.3
2023-12-29,5.29
2023-12-28,5.23
2023-12-27,5.29
2023-12-26,5.2
2023-12-22,5.18
2023-12-21,5.28
2023-12-20,5.21
2023-12-19,5.24
2023-12-18,5.39
2023-12-15,5.29
2023-12-14,5.39
2023-12-13,5.18
2023-12-12,5.01
2023-12-11,4.96
2023-12-08,5.02
2023-12-07,5.3
2023-12-06,5.34
2023-12-05,5.25
2023-12-04,5.4
2023-12-01,5.22
2023-11-30,4.9
2023-11-29,4.84
2023-11-28,4.83
2023-11-27,4.92
2023-11-24,4.93
2023-11-22,4.69
2023-11-21,4.72
2023-11-20,4.78
2023-11-17,4.62
2023-11-16,4.49
2023-11-15,4.6
2023-11-14,4.48
2023-11-13,4.62
2023-11-10,4.3
2023-11-09,4.39
2023-11-08,4.26
2023-11-07,4.2
2023-11-06,4
2023-11-03,3.98
2023-11-02,3.99
2023-11-01,4.03
2023-10-31,4
2023-10-30,4.05
2023-10-27,4.01
2023-10-26,4.04
2023-10-25,4.16
2023-10-24,4.16
2023-10-23,4.1
2023-10-20,4.13
2023-10-19,4.06
2023-10-18,4.07
2023-10-17,4.05
2023-10-16,4.05
2023-10-13,4.02
2023-10-12,4.04
2023-10-11,4.05
2023-10-10,4.07
2023-10-09,4.11
2023-10-06,4.15
2023-10-05,4.12
2023-10-04,4.14
2023-10-03,4.1
2023-10-02,4.16
2023-09-29,4.34
2023-09-28,4.23
2023-09-27,4.24
2023-09-26,4.2
2023-09-25,4.14
2023-09-22,4.1601
2023-09-21,4.14
2023-09-20,4.22
2023-09-19,4.28
2023-09-18,4.28
2023-09-15,4.24
2023-09-14,4.28
2023-09-13,4.31
2023-09-12,4.25
2023-09-11,4.3
2023-09-08,4.23
2023-09-07,4.5
2023-09-06,4.5891
2023-09-05,4.5489
2023-09-01,4.51
2023-08-31,4.43
2023-08-30,4.59
2023-08-29,4.788
2023-08-28,4.82
2023-08-25,4.55
2023-08-24,4.57
2023-08-23,5.18
2023-08-22,4.46
2023-08-21,4.49
2023-08-18,4.14
2023-08-17,4.04
2023-08-16,4.08
2023-08-15,3.95
2023-08-14,4.1099
2023-08-11,4.0038
2023-08-10,3.98
2023-08-09,3.95
2023-08-08,3.9515
2023-08-07,3.91
2023-08-04,3.85
2023-08-03,3.89
2023-08-02,3.92
2023-08-01,3.935
2023-07-31,3.93
2023-07-28,3.94
2023-07-27,3.93
2023-07-26,3.94
2023-07-25,3.9
2023-07-24,3.92
2023-07-21,3.91
2023-07-20,3.9
2023-07-19,3.92
2023-07-18,3.92
2023-07-17,3.91
2023-07-14,3.82
2023-07-13,3.82
2023-07-12,3.9
2023-07-11,3.93
2023-07-10,3.93
2023-07-07,3.91
2023-07-06,3.94
2023-07-05,3.94
2023-07-03,3.95
2023-06-30,3.98
2023-06-29,3.97
2023-06-28,3.95
2023-06-27,3.94
2023-06-26,3.94
2023-06-23,4
2023-06-22,3.91
2023-06-21,3.91
2023-06-20,3.86
2023-06-16,3.82
2023-06-15,3.81
2023-06-14,3.82
2023-06-13,3.83
2023-06-12,3.83
2023-06-09,3.8
2023-06-08,3.91
2023-06-07,4.05
2023-06-06,3.7799
2023-06-05,3.71
2023-06-02,3.69
2023-06-01,3.705
2023-05-31,3.72
2023-05-30,3.75
2023-05-26,3.775
2023-05-25,3.76
2023-05-24,3.82
2023-05-23,3.84
2023-05-22,3.82
2023-05-19,3.81
2023-05-18,3.89
2023-05-17,3.86
2023-05-16,3.9
2023-05-15,3.87
2023-05-12,3.86
2023-05-11,3.91
2023-05-10,3.96
2023-05-09,3.97
2023-05-08,4.02
2023-05-05,3.96
2023-05-04,4
2023-05-03,4
2023-05-02,4.03
2023-05-01,4.03
2023-04-28,4.03
2023-04-27,4.05
2023-04-26,3.99
2023-04-25,3.995
2023-04-24,4.02
2023-04-21,3.9945
2023-04-20,4.02
2023-04-19,4.03
2023-04-18,4.0899
2023-04-17,4.11
2023-04-14,4.02
2023-04-13,4.14
2023-04-12,4.15
2023-04-11,4.1
2023-04-10,4.08
2023-04-06,4.13
2023-04-05,4.12
2023-04-04,4.08
2023-04-03,4.09
2023-03-31,4.16
2023-03-30,4.09
2023-03-29,4.17
2023-03-28,4.08
2023-03-27,4.12
2023-03-24,4.12
2023-03-23,4.06
2023-03-22,4.1
2023-03-21,4.11
2023-03-20,4.03
2023-03-17,4.01
2023-03-16,4.04
2023-03-15,3.94
2023-03-14,3.97
2023-03-13,3.91
2023-03-10,3.91
2023-03-09,4.07
2023-03-08,4.15
2023-03-07,4.12
2023-03-06,4.13
2023-03-03,4.17
2023-03-02,4.13
2023-03-01,4.19
2023-02-28,4.21
2023-02-27,4.25
2023-02-24,4.24
2023-02-23,4.25
2023-02-22,4.22
2023-02-21,4.24
2023-02-17,4.34
2023-02-16,4.35
2023-02-15,4.32
2023-02-14,4.31
2023-02-13,4.31
2023-02-10,4.26
2023-02-09,4.31
2023-02-08,4.36
2023-02-07,4.39
2023-02-06,4.28
2023-02-03,4.21
2023-02-02,4.17
2023-02-01,4.17
