"Date","Close"
2025-03-21,22325
2025-03-20,22100
2025-03-19,22125
2025-03-18,21625
2025-03-17,22125
2025-03-14,20900
2025-03-13,20575
2025-03-12,20425
2025-03-11,20425
2025-03-10,19900
2025-03-07,20225
2025-03-06,21250
2025-03-05,21525
2025-02-28,21350
2025-02-27,21675
2025-02-26,22250
2025-02-25,21950
2025-02-24,22625
2025-02-21,22900
2025-02-20,21300
2025-02-19,20900
2025-02-18,21025
2025-02-17,20625
2025-02-14,21125
2025-02-13,20225
2025-02-12,20075
2025-02-11,20300
2025-02-10,20175
2025-02-07,20000
2025-02-06,20100
2025-02-05,19625
2025-02-04,19525
2025-02-03,18850
2025-01-31,19125
2025-01-30,19375
2025-01-29,18525
2025-01-28,18575
2025-01-27,17875
2025-01-24,18000
2025-01-23,18075
2025-01-22,18100
2025-01-21,18225
2025-01-20,18225
2025-01-17,18275
2025-01-16,18275
2025-01-15,18200
2025-01-14,17525
2025-01-13,17300
2025-01-10,17500
2025-01-09,17550
2025-01-08,17350
2025-01-07,17650
2025-01-06,17800
2025-01-03,18075
2025-01-02,17375
2024-12-31,16975
2024-12-30,16975
2024-12-27,17075
2024-12-26,17175
2024-12-24,17075
2024-12-23,16875
2024-12-20,16700
2024-12-19,16100
2024-12-18,16975
2024-12-17,17425
2024-12-16,16750
2024-12-13,16725
2024-12-12,16950
2024-12-11,16950
2024-12-10,16775
2024-12-09,16675
2024-12-06,17500
2024-12-05,17925
2024-12-04,18175
2024-12-03,17825
2024-12-02,17825
2024-11-29,18450
2024-11-28,19000
2024-11-27,18875
2024-11-26,19400
2024-11-25,19300
2024-11-22,18400
2024-11-21,18075
2024-11-20,17775
2024-11-19,17675
2024-11-15,17725
2024-11-14,18025
2024-11-13,18625
2024-11-12,19100
2024-11-11,18900
2024-11-08,17900
2024-11-07,17325
2024-11-06,20375
2024-11-05,20550
2024-11-04,20325
2024-11-01,20075
2024-10-31,19650
2024-10-30,19525
2024-10-29,19525
2024-10-28,19850
2024-10-25,19925
2024-10-24,20250
2024-10-23,20150
2024-10-22,20575
2024-10-21,20875
2024-10-18,20750
2024-10-17,20575
2024-10-16,20250
2024-10-15,19975
2024-10-14,20550
2024-10-10,20025
2024-10-09,20325
2024-10-08,20350
2024-10-07,19975
2024-10-04,20000
2024-10-03,20125
2024-10-02,20325
2024-10-01,21375
2024-09-30,21200
2024-09-27,21125
2024-09-26,21500
2024-09-25,21800
2024-09-24,21500
2024-09-23,21500
2024-09-20,21400
2024-09-19,21450
2024-09-18,21625
2024-09-17,21500
2024-09-16,21875
2024-09-13,22150
2024-09-12,22375
2024-09-11,21275
2024-09-10,21000
2024-09-09,20950
2024-09-06,20800
2024-09-05,21550
2024-09-04,21550
2024-09-03,21625
2024-09-02,22825
2024-08-30,22225
2024-08-29,21650
2024-08-28,21500
2024-08-27,21900
2024-08-26,21475
2024-08-23,21425
2024-08-22,21325
2024-08-21,21550
2024-08-20,21575
2024-08-19,21675
2024-08-16,21275
2024-08-15,21175
2024-08-14,19975
2024-08-13,20175
2024-08-12,20300
2024-08-09,20375
2024-08-08,20325
2024-08-07,20525
2024-08-06,20150
2024-08-05,19850
2024-08-02,19525
2024-08-01,17450
2024-07-31,17925
2024-07-30,17075
2024-07-29,17425
2024-07-26,18150
2024-07-25,18025
2024-07-24,18275
2024-07-23,18850
2024-07-22,18750
2024-07-19,18325
2024-07-18,17900
2024-07-17,18250
2024-07-16,18475
2024-07-15,18925
2024-07-12,20950
2024-07-11,20150
2024-07-10,19750
2024-07-08,19456
2024-07-05,19359
2024-07-04,18819.5
2024-07-03,18800
2024-07-02,19070.5
2024-07-01,18744.5
2024-06-28,18578
2024-06-27,18610
2024-06-26,18789.5
2024-06-25,18030.5
2024-06-24,17379
2024-06-19,17057
2024-06-18,16633.5
2024-06-14,16717
2024-06-13,16840
2024-06-12,17389.5
2024-06-11,17268
2024-06-10,17477
2024-06-07,17527.5
2024-06-06,17597
2024-06-05,17552
2024-06-04,17865.5
2024-06-03,18271
2024-05-31,17936
2024-05-30,17255
2024-05-29,17272.5
2024-05-28,17577
2024-05-27,17529.5
2024-05-24,17306
2024-05-23,17517
2024-05-22,17983.5
2024-05-21,17319
2024-05-20,17000
2024-05-17,16090.5
2024-05-16,15600
2024-05-15,15600
2024-05-14,15304.5
2024-05-13,14601
2024-05-10,15127.5
2024-05-09,15349
2024-05-08,15159.5
2024-05-07,15539
2024-05-06,14900
2024-05-03,14960
2024-05-02,13764.5
2024-04-30,13479.5
2024-04-29,13286
2024-04-26,12773
2024-04-25,12074.5
2024-04-24,11915
2024-04-23,12495
2024-04-22,12271
2024-04-19,12175
2024-04-18,12360
2024-04-17,12586.5
2024-04-16,12699
2024-04-15,12786
2024-04-12,12852
2024-04-11,13389
2024-04-10,12767
2024-04-09,13081.5
2024-04-08,12625
2024-04-05,13267.5
2024-04-04,12222.5
2024-04-03,13108
2024-03-27,13749
2024-03-26,14392
2024-03-25,13828
2024-03-22,14499
2024-03-21,14197.5
2024-03-20,14257
2024-03-19,13737
2024-03-18,13202
2024-03-15,13599
2024-03-14,13601
2024-03-13,13590
2024-03-12,13900
2024-03-11,12900
2024-03-08,NA
2024-03-07,12801
2024-03-06,12822
2024-03-05,13394
2024-03-04,13539
2024-03-01,14467
2024-02-29,14349
2024-02-28,14190
2024-02-27,14867
2024-02-26,15084.5
2024-02-23,15259
2024-02-22,16055
2024-02-21,16299
2024-02-20,16300
2024-02-19,16694
2024-02-16,15421
2024-02-15,16979.5
2024-02-14,17349
2024-02-09,17971.5
2024-02-08,18251
2024-02-07,18484
2024-02-06,18744.5
2024-02-05,19249
2024-02-02,19700
2024-02-01,18443.5
2024-01-31,18079
2024-01-30,18189
2024-01-29,18984
2024-01-26,17905
2024-01-25,19107
2024-01-24,38300
2024-01-23,18658.75
2024-01-22,19794.5
2024-01-19,18000.5
2024-01-18,18000
2024-01-17,16626
2024-01-16,16002.5
2024-01-15,15804.5
2024-01-12,15837
2024-01-11,16113.5
2024-01-10,15450.25
2024-01-09,15674.25
2024-01-08,14010.25
2024-01-05,13343.25
2024-01-04,12919
2024-01-03,12304
2024-01-02,12381.5
2023-12-29,12689.25
2023-12-28,11392.5
2023-12-27,11356
2023-12-26,11776
2023-12-22,12275
2023-12-21,13224.5
2023-12-20,12603.75
2023-12-19,12859.5
2023-12-18,12999
2023-12-15,13444
2023-12-14,12950
2023-12-13,13890
2023-12-12,13500.5
2023-12-11,12910
2023-12-07,13249.5
2023-12-06,12299.5
2023-12-05,11870
2023-12-04,11781.25
2023-12-01,12326.25
2023-11-30,10352
2023-11-29,10605
2023-11-28,11340
2023-11-27,11084.25
2023-11-24,11512.75
2023-11-23,12025
2023-11-22,11456.5
2023-11-21,10790
2023-11-17,10599.75
2023-11-16,10400.5
2023-11-15,10451.5
2023-11-14,NA
2023-11-13,10040.5
2023-11-10,9751.25
2023-11-09,9546
2023-11-08,9997.5
2023-11-07,9702.5
2023-11-03,10025
2023-11-02,9650
2023-11-01,9250
2023-10-31,8584.75
2023-10-30,8759.5
2023-10-27,8447.5
2023-10-26,8400
2023-10-25,8368.5
2023-10-24,8645
2023-10-23,9100
2023-10-20,9999.75
2023-10-19,9848.25
2023-10-18,9128.75
2023-10-17,10335.25
2023-10-12,10049.5
2023-10-11,10099
2023-10-10,10102
2023-10-09,9300
2023-10-06,8889
2023-10-05,8727.5
2023-10-04,9198.5
2023-10-03,8490.5
2023-10-02,9173.5
2023-09-29,8998.5
2023-09-28,8724.5
2023-09-27,8273.25
2023-09-26,7877.75
2023-09-25,8224
2023-09-22,8437.5
2023-09-21,8437.5
2023-09-20,8275
2023-09-19,8308.25
2023-09-18,8549
2023-09-15,8550
2023-09-14,8364.5
2023-09-13,8263.75
2023-09-12,8503
2023-09-11,8769.75
2023-09-08,8850.5
2023-09-07,8662.5
2023-09-06,9179
2023-09-05,9240.25
2023-09-04,9030.25
2023-09-01,9170.5
2023-08-31,9044.5
2023-08-30,8943.25
2023-08-29,8781.75
2023-08-28,8242.25
2023-08-25,7948
2023-08-24,7943
2023-08-23,7756
2023-08-22,7723.75
2023-08-18,7316
2023-08-17,7342.25
2023-08-16,7487.25
2023-08-15,7580.5
2023-08-14,7196.5
2023-08-11,6944.25
2023-08-10,6937
2023-08-09,6511.75
2023-08-08,6556
2023-08-07,6750
2023-08-04,6387
2023-08-03,6368.75
2023-08-02,5611.5
2023-08-01,5745.5
2023-07-31,5759.75
2023-07-28,5458.5
2023-07-27,5400
2023-07-26,5252
2023-07-25,5250.5
2023-07-24,5465
2023-07-21,5488.75
2023-07-20,5355
2023-07-19,5385
2023-07-18,5345
2023-07-17,5227
2023-07-14,5171
2023-07-13,5097
2023-07-12,4710.5
2023-07-11,4660.5
2023-07-10,4663.5
2023-07-07,5070
2023-07-06,4980
2023-07-05,5198.75
2023-07-04,5187.25
2023-07-03,5006.5
2023-06-30,NA
2023-06-29,5049
2023-06-28,5198.5
2023-06-27,4856.5
2023-06-26,4816.5
2023-06-23,5445
2023-06-22,5204.5
2023-06-21,NA
2023-06-16,5089
2023-06-15,5250
2023-06-14,5075
2023-06-13,5150
2023-06-12,5007.5
2023-06-09,5025.5
2023-06-08,NA
2023-06-07,5050
2023-06-06,5100
2023-06-05,5437.5
2023-06-02,NA
2023-06-01,5400
2023-05-31,5020
2023-05-30,5171
2023-05-29,NA
2023-05-24,5333.25
2023-05-23,5301
2023-05-22,5700
2023-05-19,5499
2023-05-18,5266.5
2023-05-17,5499
2023-05-16,5150
2023-05-15,4965.25
2023-05-12,4900
2023-05-11,4974.5
2023-05-10,4998.75
2023-05-09,4997
2023-05-08,4849.75
2023-05-05,4794.75
2023-05-04,4645
2023-05-03,4949.75
2023-05-02,4938.75
2023-04-28,4962.25
2023-04-27,4863.25
2023-04-26,4725
2023-04-25,4750
2023-04-24,4750
2023-04-21,4927
2023-04-20,4698
2023-04-19,4847.5
2023-04-18,4670
2023-04-17,4572.5
2023-04-14,NA
2023-04-13,4437
2023-04-12,4218
2023-04-11,4265
2023-04-10,4142
2023-04-05,4299
2023-04-04,4425
2023-04-03,4423
2023-03-31,4359
2023-03-30,NA
2023-03-29,NA
2023-03-28,3997
2023-03-27,NA
2023-03-23,NA
2023-03-22,3953.5
2023-03-21,4187.5
2023-03-20,3947
2023-03-16,3967
2023-03-10,3976
2023-03-09,3798
2023-03-08,NA
2023-03-07,4065
2023-03-06,4071.5
2023-03-03,NA
2023-03-02,3835
2023-03-01,NA
2023-02-28,3658.75
2023-02-27,NA
2023-02-24,3485
2023-02-23,3350.5
2023-02-22,NA
2023-02-17,NA
2023-02-16,3607.5
2023-02-15,NA
2023-02-14,3607.5
2023-02-13,NA
2023-02-10,NA
2023-02-09,NA
2023-02-08,NA
2023-02-07,NA
2023-02-06,3569.5
2023-02-03,3610
2023-02-02,NA
2023-02-01,3609.5
2023-01-31,NA
2023-01-30,NA
2023-01-27,3675
2023-01-26,3466.5
2023-01-25,3420
2023-01-24,NA
2023-01-23,NA
2023-01-20,NA
2023-01-19,3075
2023-01-18,3347.5
2023-01-17,3140.75
2023-01-16,3105.25
2023-01-13,2803
2023-01-12,NA
2023-01-11,NA
2023-01-10,NA
2023-01-09,NA
2023-01-06,NA
2023-01-05,2460
2023-01-04,NA
2023-01-03,NA
2023-01-02,NA
2022-12-30,NA
2022-12-29,2460
2022-12-28,NA
2022-12-27,2460
2022-12-26,NA
2022-12-23,NA
2022-12-22,NA
2022-12-21,2494
2022-12-19,NA
2022-12-16,2300
2022-12-15,NA
2022-12-14,NA
2022-12-13,NA
2022-12-12,2442.75
2022-12-07,NA
2022-12-06,2457
2022-12-02,NA
2022-12-01,2535
2022-11-30,NA
2022-11-29,NA
2022-11-28,NA
2022-11-24,NA
2022-11-23,NA
2022-11-22,NA
2022-11-18,NA
2022-11-17,NA
2022-11-16,NA
2022-11-15,2714.75
2022-11-14,NA
2022-11-11,NA
2022-11-10,2502.5
2022-11-09,NA
2022-11-08,NA
2022-11-07,2462.5
2022-11-04,2440
2022-11-03,NA
2022-11-02,NA
2022-10-31,2301.25
2022-10-28,NA
2022-10-27,NA
2022-10-26,NA
2022-10-25,NA
2022-10-24,2068.25
2022-10-21,NA
2022-10-20,NA
2022-10-19,NA
2022-10-18,NA
2022-10-17,2150
2022-10-14,NA
2022-10-13,NA
2022-10-12,NA
2022-10-11,NA
2022-10-06,2370.25
2022-10-05,2424.75
2022-10-04,2435
2022-10-03,2260
2022-09-30,2114.5
2022-09-29,2093.25
2022-09-28,2130
2022-09-27,2115
2022-09-26,2057.5
2022-09-23,2176.5
2022-09-22,2248.5
2022-09-21,NA
2022-09-20,NA
2022-09-19,NA
2022-09-16,2307.5
2022-09-15,2325.25
2022-09-14,NA
2022-09-13,2225
2022-09-12,2312.5
2022-09-09,NA
2022-09-08,NA
2022-09-07,2032.5
2022-09-06,2050
2022-09-05,2124.5
2022-09-01,2020
2022-08-31,NA
2022-08-30,NA
2022-08-29,NA
2022-08-26,NA
2022-08-25,NA
2022-08-24,2342
2022-08-23,2232.25
2022-08-22,2200
2022-08-19,NA
2022-08-18,2385
2022-08-17,2450
2022-08-16,2500
2022-08-12,2500
2022-08-11,2490
2022-08-10,2545
2022-08-09,NA
2022-08-08,2480
2022-08-05,2480
2022-08-04,2600
2022-08-03,2200
2022-08-02,2010
2022-08-01,NA
2022-07-29,1960
2022-07-28,NA
2022-07-27,2150
2022-07-26,2040
2022-07-22,2070
2022-07-21,2174.75
2022-07-20,NA
2022-07-19,NA
2022-07-18,1775
2022-07-15,1683.5
2022-07-14,1620
2022-07-13,NA
2022-07-11,NA
2022-07-08,1823.25
2022-07-07,NA
2022-07-06,1662.25
2022-07-05,NA
2022-07-04,NA
2022-07-01,NA
2022-06-30,NA
2022-06-29,1375
2022-06-28,NA
2022-06-27,NA
2022-06-24,1442.5
2022-06-23,1340
2022-06-22,NA
2022-06-21,1350
2022-06-16,1255
2022-06-15,1299.25
2022-06-14,1231.75
2022-06-13,1252
2022-06-10,NA
2022-06-09,NA
2022-06-08,NA
2022-06-07,NA
2022-06-06,NA
2022-06-03,1417.5
2022-06-02,NA
2022-06-01,1354.5
2022-05-31,NA
2022-05-30,1440
2022-05-27,1432.5
2022-05-26,1322.25
2022-05-24,NA
2022-05-23,1350
2022-05-20,1360.25
2022-05-19,1415
2022-05-17,1440
2022-05-16,1410
2022-05-13,1397.5
2022-05-12,NA
2022-05-11,NA
2022-05-10,1394.5
2022-05-09,1350
2022-05-06,1665
2022-05-05,NA
2022-05-04,1737
2022-05-03,1737
2022-05-02,NA
2022-04-29,NA
2022-04-28,NA
2022-04-27,1812.5
2022-04-26,1773.5
2022-04-25,1800
2022-04-22,NA
2022-04-21,1735.5
2022-04-20,NA
2022-04-19,1740
2022-04-18,NA
2022-04-13,NA
2022-04-12,1800
2022-04-11,NA
2022-04-08,NA
2022-04-07,NA
2022-04-06,NA
2022-04-05,NA
2022-04-04,NA
2022-04-01,NA
2022-03-31,NA
2022-03-30,1937
2022-03-29,NA
2022-03-28,NA
2022-03-25,1984.5
2022-03-23,2051
2022-03-22,2025
2022-03-21,NA
2022-03-18,1888.25
2022-03-17,1855.25
2022-03-16,1705
2022-03-15,NA
2022-03-14,1410
2022-03-11,NA
2022-03-10,1500
2022-03-09,1580
2022-03-08,1634
2022-03-07,1635.5
2022-03-04,1795
2022-03-03,1845
2022-03-02,1866
2022-02-25,1850
2022-02-24,1688.5
2022-02-23,1605
2022-02-22,1624.75
2022-02-21,1604.75
2022-02-18,1655
2022-02-17,1840
2022-02-16,NA
2022-02-15,2045
2022-02-14,1994
2022-02-11,NA
2022-02-10,2037.25
2022-02-09,1975.5
2022-02-08,1865.25
2022-02-07,NA
2022-02-04,1925
2022-02-03,1848.25
2022-02-02,NA
2022-02-01,2053.75
2022-01-31,2111
2022-01-28,1907.5
2022-01-27,1941
2022-01-26,1950
2022-01-25,NA
2022-01-24,1912.5
2022-01-21,2013.75
2022-01-20,1950
2022-01-19,1950
2022-01-18,1950
2022-01-17,1980.5
