"Date","Price"
2025-03-24,22.085
2025-03-21,22.355
2025-03-20,22.34
2025-03-19,22.18
2025-03-18,22.24
2025-03-17,22.4
2025-03-14,22.25
2025-03-13,21.97
2025-03-12,22.07
2025-03-11,21.93
2025-03-10,22.065
2025-03-07,22.095
2025-03-06,21.755
2025-03-05,22.325
2025-03-04,23.11
2025-03-03,23.15
2025-02-28,23.4
2025-02-27,23.46
2025-02-26,23.41
2025-02-25,23.43
2025-02-24,23.36
2025-02-21,23.28
2025-02-20,23.195
2025-02-19,23.085
2025-02-18,23.385
2025-02-14,23.425
2025-02-13,23.565
2025-02-12,23.595
2025-02-11,23.3
2025-02-10,23.515
2025-02-07,23.695
2025-02-06,23.42
2025-02-05,23.63
2025-02-04,23.615
2025-02-03,23.115
2025-01-31,23.23
2025-01-30,23.42
2025-01-29,23.335
2025-01-28,22.91
2025-01-27,23.005
2025-01-24,22.775
2025-01-23,22.435
2025-01-22,22.63
2025-01-21,22.385
2025-01-17,22.59
2025-01-16,22.54
2025-01-15,22.73
2025-01-14,22.525
2025-01-13,22.49
2025-01-10,21.755
2025-01-08,21.59
2025-01-07,21.795
2025-01-06,22.115
2025-01-03,22.045
2025-01-02,22.43
2024-12-31,22.705
2024-12-30,22.715
2024-12-27,22.91
2024-12-26,22.64
2024-12-24,22.715
2024-12-23,22.505
2024-12-20,22.595
2024-12-19,22.275
2024-12-18,22.755
2024-12-17,22.7
2024-12-16,22.725
2024-12-13,23.045
2024-12-12,23.32
2024-12-11,23.325
2024-12-10,23.31
2024-12-09,23.31
2024-12-06,23.72
2024-12-05,23.56
2024-12-04,23.89
2024-12-03,23.615
2024-12-02,23.66
2024-11-29,23.91
2024-11-27,23.885
2024-11-26,23.875
2024-11-25,23.445
2024-11-22,23.595
2024-11-21,23.545
2024-11-20,22.89
2024-11-19,22.98
2024-11-18,23.125
2024-11-15,23.015
2024-11-14,23.365
2024-11-13,23.38
2024-11-12,23.09
2024-11-11,23.36
2024-11-08,23.8
2024-11-07,23.755
2024-11-06,23.43
2024-11-05,23.135
2024-11-04,23.55
2024-11-01,23.58
2024-10-31,23.78
2024-10-30,23.695
2024-10-29,24.16
2024-10-28,24.365
2024-10-25,24.635
2024-10-24,24.475
2024-10-23,24.54
2024-10-22,24.48
2024-10-21,24.465
2024-10-18,24.745
2024-10-17,25.19
2024-10-16,25.42
2024-10-15,25.54
2024-10-14,25.395
2024-10-11,25.23
2024-10-10,25.315
2024-10-09,24.985
2024-10-08,25.205
2024-10-07,25.075
2024-10-04,25.155
2024-10-03,25.495
2024-10-02,25.55
2024-10-01,25.85
2024-09-30,26.075
2024-09-27,25.805
2024-09-26,26
2024-09-25,25.81
2024-09-24,25.505
2024-09-23,25.585
2024-09-20,25.78
2024-09-19,25.475
2024-09-18,25.67
2024-09-17,25.445
2024-09-16,25.57
2024-09-13,25.84
2024-09-12,25.965
2024-09-11,25.62
2024-09-10,25.485
2024-09-09,25.69
2024-09-06,25.245
2024-09-05,25.295
2024-09-04,25.16
2024-09-03,24.81
2024-08-30,24.595
2024-08-29,24.875
