"Data","Ultimo"
2025-03-24,425.49
2025-03-21,419.62
2025-03-20,420.12
2025-03-19,420.42
2025-03-18,416.53
2025-03-17,419.21
2025-03-14,415.36
2025-03-13,408.78
2025-03-12,413.95
2025-03-11,414.74
2025-03-10,419.49
2025-03-07,428.26
2025-03-06,425.9
2025-03-05,430.47
2025-03-04,425.57
2025-03-03,432.09
2025-02-28,438.37
2025-02-27,432.35
2025-02-26,434.34
2025-02-25,436.13
2025-02-24,434.53
2025-02-21,434.15
2025-02-20,442.39
2025-02-19,446.67
2025-02-18,445.92
2025-02-14,445.79
2025-02-13,447.26
2025-02-12,443.63
2025-02-11,446.11
2025-02-10,444.78
2025-02-07,443.12
2025-02-06,447.36
2025-02-05,448.67
2025-02-04,445.53
2025-02-03,444.27
2025-01-31,445.39
2025-01-30,448.82
2025-01-29,447.18
2025-01-28,448.41
2025-01-27,447.12
2025-01-24,444.12
2025-01-23,445.38
2025-01-22,441.28
2025-01-21,440.1
2025-01-17,434.72
2025-01-16,431.56
2025-01-15,432.24
2025-01-14,425.15
2025-01-13,422.96
2025-01-10,419.33
2025-01-08,426.13
2025-01-07,425.33
2025-01-06,427.13
2025-01-03,427.16
2025-01-02,423.8
2024-12-31,425.5
2024-12-30,425.77
2024-12-27,430
2024-12-26,433.21
2024-12-24,432.5
2024-12-23,428.89
2024-12-20,428.54
2024-12-19,424.53
2024-12-18,424.22
2024-12-17,435.57
2024-12-16,438.37
2024-12-13,439.37
2024-12-12,440.27
2024-12-11,442.51
2024-12-10,443.69
2024-12-09,445.08
2024-12-06,447.15
2024-12-05,448.67
2024-12-04,450.94
2024-12-03,447.89
2024-12-02,448.74
2024-11-29,450.09
2024-11-27,447.74
2024-11-26,448.88
2024-11-25,447.56
2024-11-22,443.16
2024-11-21,438.97
2024-11-20,434.29
2024-11-19,432.84
2024-11-18,434.19
2024-11-15,434.51
2024-11-14,437.7
2024-11-13,439.81
2024-11-12,439.39
2024-11-11,443.01
2024-11-08,440.11
2024-11-07,437.39
2024-11-06,437.23
2024-11-05,422.3
2024-11-04,418.05
2024-11-01,420.42
2024-10-31,417.67
2024-10-30,421.75
2024-10-29,422.5
2024-10-28,424.07
2024-10-25,421.14
2024-10-24,423.78
2024-10-23,425.16
2024-10-22,429.31
2024-10-21,429.37
2024-10-18,432.64
2024-10-17,432.45
2024-10-16,430.72
2024-10-15,427.54
2024-10-14,430.89
2024-10-11,428.73
2024-10-10,424.66
2024-10-09,425.05
2024-10-08,420.8
2024-10-07,419.61
2024-10-04,423.41
2024-10-03,419.98
2024-10-02,421.91
2024-10-01,421.5
2024-09-30,423.12
2024-09-27,422.95
2024-09-26,421.62
2024-09-25,419.12
2024-09-24,422.13
2024-09-23,421.11
2024-09-20,420.57
2024-09-19,421.41
2024-09-18,416.19
2024-09-17,417.26
2024-09-16,417.38
2024-09-13,414.94
2024-09-12,411.97
2024-09-11,409.27
2024-09-10,408.26
2024-09-09,409.05
2024-09-06,404.47
2024-09-05,408.46
2024-09-04,410.42
2024-09-03,410.25
2024-08-30,416.21
2024-08-29,413.91
2024-08-28,411.34
2024-08-27,412.89
2024-08-26,412.72
2024-08-23,411.83
2024-08-22,407.48
2024-08-21,408.99
2024-08-20,408.56
2024-08-19,409.11
2024-08-16,406.74
2024-08-15,405.88
2024-08-14,400.09
2024-08-13,397.79
2024-08-12,393.77
2024-08-09,395.15
2024-08-08,394.52
2024-08-07,387.77
2024-08-06,389.96
2024-08-05,386.81
2024-08-02,397.13
2024-08-01,403.23
2024-07-31,408.49
2024-07-30,407.41
2024-07-29,405.51
2024-07-26,405.97
2024-07-25,399.49
2024-07-24,398.67
2024-07-23,403.49
2024-07-22,404.15
2024-07-19,402.95
2024-07-18,406.72
2024-07-17,411.93
2024-07-16,409.66
2024-07-15,402.36
2024-07-12,400.32
2024-07-11,397.63
2024-07-10,397.26
2024-07-09,392.94
2024-07-08,393.46
2024-07-05,393.7
2024-07-03,392.83
2024-07-02,393.29
2024-07-01,391.46
2024-06-28,391.13
2024-06-27,391.56
2024-06-26,391.24
2024-06-25,391.02
2024-06-24,393.98
2024-06-21,391.34
2024-06-20,392.07
2024-06-18,389.14
2024-06-17,388.58
2024-06-14,386.46
2024-06-13,386.88
2024-06-12,387.69
2024-06-11,387.97
2024-06-10,389.29
2024-06-07,388.49
2024-06-06,389.33
2024-06-05,388.53
2024-06-04,387.51
2024-06-03,386.24
2024-05-31,387.53
2024-05-30,381.48
2024-05-29,384.58
2024-05-28,388.6
2024-05-24,390.64
2024-05-23,390.66
2024-05-22,396.66
2024-05-21,398.78
2024-05-20,398.1
2024-05-17,399.95
2024-05-16,399.21
2024-05-15,399.28
2024-05-14,395.58
2024-05-13,394.46
2024-05-10,395.18
2024-05-09,394
2024-05-08,390.48
2024-05-07,388.74
2024-05-06,388.45
2024-05-03,386.77
2024-05-02,382.23
2024-05-01,378.89
2024-04-30,378.13
2024-04-29,383.8
2024-04-26,382.31
2024-04-25,380.92
2024-04-24,384.44
2024-04-23,385.02
2024-04-22,382.37
2024-04-19,379.8
2024-04-18,377.84
2024-04-17,377.45
2024-04-16,377.98
2024-04-15,377.31
2024-04-12,379.87
2024-04-11,384.54
2024-04-10,384.51
2024-04-09,388.84
2024-04-08,389.1
2024-04-05,388.86
2024-04-04,386.02
2024-04-03,391.26
2024-04-02,391.63
2024-04-01,395.33
2024-03-28,397.76
2024-03-27,397.56
2024-03-26,392.85
2024-03-25,392.95
2024-03-22,394.53
2024-03-21,397.75
2024-03-20,394.99
2024-03-19,390.9
2024-03-18,387.73
2024-03-15,387
2024-03-14,390.07
2024-03-13,391.22
2024-03-12,390.79
2024-03-11,388.42
2024-03-08,387.99
2024-03-07,388.45
2024-03-06,387.18
2024-03-05,386.19
2024-03-04,390.23
2024-03-01,391.31
2024-02-29,389.95
2024-02-28,389.6
2024-02-27,389.66
2024-02-26,390.71
2024-02-23,391.28
2024-02-22,390.54
2024-02-21,386.05
2024-02-20,385.69
2024-02-16,386.19
2024-02-15,388.25
2024-02-14,384.29
2024-02-13,382.82
2024-02-12,388.11
2024-02-09,386.72
2024-02-08,387.35
2024-02-07,386.67
2024-02-06,385.08
2024-02-05,383.58
2024-02-02,386.42
2024-02-01,385.1
2024-01-31,381.37
2024-01-30,384.49
2024-01-29,383.31
2024-01-26,381.09
2024-01-25,380.48
2024-01-24,378.09
2024-01-23,379.04
2024-01-22,380.07
2024-01-19,378.6
2024-01-18,374.81
2024-01-17,372.72
2024-01-16,373.66
2024-01-12,375.91
2024-01-11,377.17
2024-01-10,376.95
2024-01-09,375.18
2024-01-08,376.84
2024-01-05,374.64
2024-01-04,374.54
2024-01-03,374.21
2024-01-02,377.09
2023-12-29,376.87
2023-12-28,377.03
2023-12-27,376.56
2023-12-26,375.35
2023-12-22,373.8
2023-12-21,373.88
2023-12-20,370.8
2023-12-19,375.5
2023-12-18,372.98
2023-12-15,372.63
2023-12-14,373.33
2023-12-13,371.74
2023-12-12,366.41
2023-12-11,364.69
2023-12-08,363.12
2023-12-07,361.83
2023-12-06,361.22
2023-12-05,361.91
2023-12-04,362.64
2023-12-01,363.05
2023-11-30,360
2023-11-29,354.65
2023-11-28,354.11
2023-11-27,353.32
2023-11-24,353.8
2023-11-22,352.56
2023-11-21,350.82
2023-11-20,351.52
2023-11-17,349.43
2023-11-16,350.02
2023-11-15,350.27
2023-11-14,348.42
2023-11-13,343.57
2023-11-10,343.01
2023-11-09,339.11
2023-11-08,341.12
2023-11-07,341.54
2023-11-06,341.04
2023-11-03,340.61
2023-11-02,338.39
2023-11-01,332.68
2023-10-31,330.48
2023-10-30,329.23
2023-10-27,324.19
2023-10-26,327.82
2023-10-25,330.35
2023-10-24,331.44
2023-10-23,329.32
2023-10-20,331.19
2023-10-19,334.12
2023-10-18,336.63
2023-10-17,339.99
2023-10-16,339.89
2023-10-13,336.68
2023-10-12,336.27
2023-10-11,338.03
2023-10-10,337.45
2023-10-09,336.09
2023-10-06,334.1
2023-10-05,331.17
2023-10-04,330.99
2023-10-03,329.98
2023-10-02,334.09
2023-09-29,334.95
2023-09-28,336.62
2023-09-27,335.43
2023-09-26,336.04
2023-09-25,339.98
2023-09-22,339.58
2023-09-21,340.58
2023-09-20,344.32
2023-09-19,345.07
2023-09-18,346.15
2023-09-15,346.14
