"Data","Ultimo"
2025-03-24,14.52
2025-03-21,14.4
2025-03-20,14.51
2025-03-19,14.53
2025-03-18,14.36
2025-03-17,14.41
2025-03-14,14.26
2025-03-13,14.15
2025-03-12,14.25
2025-03-11,14.12
2025-03-10,14.47
2025-03-07,14.49
2025-03-06,14.67
2025-03-05,14.53
2025-03-04,14.43
2025-03-03,15.03
2025-02-28,14.98
2025-02-27,15.09
2025-02-26,15.06
2025-02-25,14.84
2025-02-24,15.02
2025-02-21,15.25
2025-02-20,15.3
2025-02-19,15.36
2025-02-18,15.42
2025-02-17,15.34
2025-02-14,15.22
2025-02-13,15.25
2025-02-12,15.11
2025-02-11,15.29
2025-02-10,15.21
2025-02-07,15.11
2025-02-06,15.13
2025-02-05,14.91
2025-02-04,14.95
2025-02-03,15.04
2025-01-31,15.16
2025-01-30,15.09
2025-01-29,15.02
2025-01-28,14.85
2025-01-27,14.89
2025-01-24,15.19
2025-01-23,15.32
2025-01-22,15.13
2025-01-21,15.03
2025-01-20,14.93
2025-01-17,14.97
2025-01-16,14.8
2025-01-15,14.75
2025-01-14,14.55
2025-01-13,14.52
2025-01-10,14.51
2025-01-09,14.71
2025-01-08,14.59
2025-01-07,14.66
2025-01-06,14.65
2025-01-03,14.54
2025-01-02,14.6
2024-12-30,14.41
2024-12-27,14.46
2024-12-23,14.39
2024-12-20,14.44
2024-12-19,14.45
2024-12-18,14.7
2024-12-17,14.68
2024-12-16,14.78
2024-12-13,14.77
2024-12-12,14.94
2024-12-11,15.03
2024-12-10,14.93
2024-12-09,14.99
2024-12-06,15.03
2024-12-05,15.11
2024-12-04,15.21
2024-12-03,15.14
2024-12-02,15.21
2024-11-29,15.06
2024-11-28,15.02
2024-11-27,14.96
2024-11-26,15.09
2024-11-25,15.1
2024-11-22,15.04
2024-11-21,14.82
2024-11-20,14.56
2024-11-19,14.59
2024-11-18,14.68
2024-11-15,14.62
2024-11-14,14.86
2024-11-13,14.86
2024-11-12,14.81
2024-11-11,14.95
2024-11-08,14.77
2024-11-07,14.69
2024-11-06,14.65
2024-11-05,14.19
2024-11-04,14.1
2024-11-01,14.17
2024-10-31,14.04
2024-10-30,14.27
2024-10-29,14.36
2024-10-28,14.35
2024-10-25,14.29
2024-10-24,14.27
2024-10-23,14.29
2024-10-22,14.38
2024-10-21,14.54
2024-10-18,14.64
2024-10-17,14.63
2024-10-16,14.58
2024-10-15,14.59
2024-10-14,14.6
2024-10-11,14.47
2024-10-10,14.37
2024-10-09,14.4
2024-10-08,14.33
2024-10-07,14.33
2024-10-04,14.29
2024-10-03,14.21
2024-10-02,14.32
2024-10-01,14.27
2024-09-30,14.18
2024-09-27,14.27
2024-09-26,14.26
2024-09-25,14.19
2024-09-24,14.06
2024-09-23,14.04
2024-09-20,13.93
2024-09-19,14.05
2024-09-18,13.76
2024-09-17,13.87
2024-09-16,13.71
2024-09-13,13.72
2024-09-12,13.59
2024-09-11,13.34
2024-09-10,13.46
2024-09-09,13.42
2024-09-06,13.18
2024-09-05,13.38
2024-09-04,13.51
2024-09-03,13.68
2024-09-02,13.83
2024-08-30,13.78
2024-08-29,13.77
2024-08-28,13.63
2024-08-27,13.54
2024-08-26,13.56
2024-08-23,13.56
2024-08-22,13.49
2024-08-21,13.46
2024-08-20,13.38
2024-08-19,13.46
2024-08-16,13.42
2024-08-14,13.17
2024-08-13,13.13
2024-08-12,13.04
2024-08-09,13.02
2024-08-08,13.08
2024-08-07,13.07
2024-08-06,12.77
2024-08-05,12.66
2024-08-02,12.84
2024-08-01,13.5
2024-07-31,13.82
2024-07-30,13.6
2024-07-29,13.6
2024-07-26,13.58
2024-07-25,13.43
2024-07-24,13.56
2024-07-23,13.8
2024-07-22,13.67
2024-07-19,13.62
2024-07-18,13.76
2024-07-17,13.87
2024-07-16,13.88
2024-07-15,13.76
2024-07-12,13.81
2024-07-11,13.65
2024-07-10,13.48
2024-07-09,13.42
2024-07-08,13.47
2024-07-05,13.45
2024-07-04,13.54
2024-07-03,13.52
2024-07-02,13.4
2024-07-01,13.4
2024-06-28,13.52
2024-06-27,13.48
2024-06-26,13.46
2024-06-25,13.41
2024-06-24,13.57
2024-06-21,13.47
2024-06-20,13.53
2024-06-19,13.46
2024-06-18,13.46
2024-06-17,13.39
2024-06-14,13.34
2024-06-13,13.45
2024-06-12,13.6
2024-06-11,13.42
2024-06-10,13.51
2024-06-07,13.45
2024-06-06,13.42
2024-06-05,13.43
2024-06-04,13.27
2024-06-03,13.42
2024-05-31,13.39
2024-05-30,13.37
2024-05-29,13.35
2024-05-28,13.52
2024-05-27,13.66
2024-05-24,13.65
2024-05-23,13.69
2024-05-22,13.63
2024-05-21,13.59
2024-05-20,13.69
2024-05-17,13.57
2024-05-16,13.65
2024-05-15,13.78
2024-05-14,13.65
2024-05-13,13.7
2024-05-10,13.77
2024-05-09,13.71
2024-05-08,13.62
2024-05-07,13.62
2024-05-06,13.53
2024-05-03,13.39
2024-05-02,13.33
2024-04-30,13.34
2024-04-29,13.48
2024-04-26,13.41
2024-04-25,13.21
2024-04-24,13.35
2024-04-23,13.35
2024-04-22,13.28
2024-04-19,13.25
2024-04-18,13.34
2024-04-17,13.31
2024-04-16,13.43
2024-04-15,13.65
2024-04-12,13.58
2024-04-11,13.55
2024-04-10,13.58
2024-04-09,13.52
2024-04-08,13.61
2024-04-05,13.6
2024-04-04,13.62
2024-04-03,13.59
2024-04-02,13.58
2024-03-28,13.7
2024-03-27,13.68
2024-03-26,13.65
2024-03-25,13.65
2024-03-22,13.75
2024-03-21,13.74
2024-03-20,13.52
2024-03-19,13.46
2024-03-18,13.43
2024-03-15,13.37
2024-03-14,13.35
2024-03-13,13.35
2024-03-12,13.33
2024-03-11,13.23
2024-03-08,13.4
2024-03-07,13.36
2024-03-06,13.34
2024-03-05,13.28
2024-03-04,13.33
2024-03-01,13.35
2024-02-29,13.3
2024-02-28,13.25
2024-02-27,13.15
2024-02-26,13.2
2024-02-23,13.22
2024-02-22,13.16
2024-02-21,13.01
2024-02-20,12.98
2024-02-19,13.05
2024-02-16,13.09
2024-02-15,13
2024-02-14,12.87
2024-02-13,12.81
2024-02-12,12.91
2024-02-09,12.83
2024-02-08,12.83
2024-02-07,12.86
2024-02-06,12.8
2024-02-05,12.73
2024-02-02,12.72
2024-02-01,12.59
2024-01-31,12.57
2024-01-30,12.58
2024-01-29,12.54
2024-01-26,12.53
2024-01-25,12.5
2024-01-24,12.45
2024-01-23,12.39
2024-01-22,12.4
2024-01-19,12.24
2024-01-18,12.22
2024-01-17,12.16
2024-01-16,12.3
2024-01-15,12.34
2024-01-12,12.31
2024-01-11,12.19
2024-01-10,12.21
2024-01-09,12.19
2024-01-08,12.13
2024-01-05,12.13
2024-01-04,12.18
2024-01-03,12.15
2024-01-02,12.31
2023-12-29,12.3
2023-12-28,12.28
2023-12-27,12.25
2023-12-22,12.26
2023-12-21,12.19
2023-12-20,12.26
2023-12-19,12.21
2023-12-18,12.18
2023-12-15,12.26
2023-12-14,12.12
2023-12-13,11.99
2023-12-12,11.98
2023-12-11,12.01
2023-12-08,11.91
2023-12-07,11.82
2023-12-06,11.85
2023-12-05,11.75
2023-12-04,11.71
2023-12-01,11.69
2023-11-30,11.52
2023-11-29,11.4
2023-11-28,11.39
2023-11-27,11.42
2023-11-24,11.46
2023-11-23,11.46
2023-11-22,11.46
2023-11-21,11.37
2023-11-20,11.36
2023-11-17,11.4
2023-11-16,11.3
2023-11-15,11.35
2023-11-14,11.24
2023-11-13,11.12
2023-11-10,11.09
2023-11-09,11.13
2023-11-08,10.98
2023-11-07,11
2023-11-06,11.01
2023-11-03,11.07
2023-11-02,10.99
2023-11-01,10.79
2023-10-31,10.72
2023-10-30,10.59
2023-10-27,10.59
2023-10-26,10.67
2023-10-25,10.72
2023-10-24,10.75
2023-10-23,10.79
2023-10-20,10.78
2023-10-19,11.01
2023-10-18,11.14
2023-10-17,11.34
2023-10-16,11.38
2023-10-13,11.35
2023-10-12,11.49
2023-10-11,11.41
2023-10-10,11.45
2023-10-09,11.25
2023-10-06,11.22
2023-10-05,11.17
2023-10-04,11.16
2023-10-03,11.22
2023-10-02,11.37
2023-09-29,11.43
2023-09-28,11.44
2023-09-27,11.4
2023-09-26,11.33
2023-09-25,11.44
2023-09-22,11.41
2023-09-21,11.42
2023-09-20,11.66
2023-09-19,11.57
2023-09-18,11.65
2023-09-15,11.67
2023-09-14,11.67
2023-09-13,11.51
2023-09-12,11.59
2023-09-11,11.58
2023-09-08,11.6
2023-09-07,11.61
2023-09-06,11.65
2023-09-05,11.7
2023-09-04,11.72
2023-09-01,11.72
2023-08-31,11.66
2023-08-30,11.56
2023-08-29,11.57
2023-08-28,11.54
2023-08-25,11.39
2023-08-24,11.37
2023-08-23,11.39
2023-08-22,11.32
2023-08-21,11.22
2023-08-18,11.3
2023-08-17,11.37
2023-08-16,11.49
2023-08-14,11.6
2023-08-11,11.57
2023-08-10,11.63
