"Date","Price"
2025-03-24,192.50068
2025-03-21,188.29345
2025-03-20,189.08253
2025-03-19,189.85281
2025-03-18,185.57991
2025-03-17,188.24446
2025-03-14,186.44551
2025-03-13,182.49655
2025-03-12,184.37701
2025-03-11,183.60161
2025-03-10,185.38319
2025-03-07,189.93821
2025-03-06,190.12689
2025-03-05,193.29624
2025-03-04,195.80725
2025-03-03,199.00867
2025-02-28,206.45378
2025-02-27,204.08379
2025-02-26,205.54655
2025-02-25,205.11331
2025-02-24,206.46424
2025-02-21,208.1621
2025-02-20,213.80494
2025-02-19,217.51201
2025-02-18,217.50909
2025-02-14,215.06615
2025-02-13,216.90006
2025-02-12,214.48302
2025-02-11,218.15194
2025-02-10,220.15128
2025-02-07,218.94982
2025-02-06,220.30061
2025-02-05,220.15355
2025-02-04,218.68555
2025-02-03,217.73346
2025-01-31,217.35125
2025-01-30,219.38178
2025-01-29,217.09049
2025-01-28,217.44342
2025-01-27,215.94051
2025-01-24,217.57207
2025-01-23,219.74895
2025-01-22,219.15139
2025-01-21,220.50667
2025-01-17,219.29773
2025-01-16,218.01496
2025-01-15,217.81062
2025-01-14,213.56921
2025-01-13,212.61499
2025-01-10,211.6447
2025-01-08,215.12711
2025-01-07,214.83554
2025-01-06,216.134
2025-01-03,217.93552
2025-01-02,215.43108
2024-12-31,213.50855
2024-12-30,212.3148
2024-12-27,213.40562
2024-12-26,216.7499
2024-12-24,215.02551
2024-12-23,212.93518
2024-12-20,212.79126
2024-12-19,212.17912
2024-12-18,210.82578
2024-12-17,220.06667
2024-12-16,223.04253
2024-12-13,222.05602
2024-12-12,223.48348
2024-12-11,226.70671
2024-12-10,225.21408
2024-12-09,224.97398
2024-12-06,226.45247
2024-12-05,225.28388
2024-12-04,228.61346
2024-12-03,227.97037
2024-12-02,230.50153
2024-11-29,228.87017
2024-11-27,227.82716
2024-11-26,229.81853
2024-11-25,231.16536
2024-11-22,229.16787
2024-11-21,223.53166
2024-11-20,219.2651
2024-11-19,217.98677
2024-11-18,216.15523
2024-11-15,216.58925
2024-11-14,219.66095
2024-11-13,222.45246
2024-11-12,223.87103
2024-11-11,226.96967
2024-11-08,222.35503
2024-11-07,218.76909
2024-11-06,221.14291
2024-11-05,205.15096
2024-11-04,202.12141
2024-11-01,202.08564
2024-10-31,200.47873
2024-10-30,203.79164
2024-10-29,205.20081
2024-10-28,205.71481
2024-10-25,202.58214
2024-10-24,203.23744
2024-10-23,203.50877
2024-10-22,204.71873
2024-10-21,205.287
2024-10-18,207.647
2024-10-17,208.88684
2024-10-16,208.63084
2024-10-15,204.8393
2024-10-14,204.44873
2024-10-11,202.15624
2024-10-10,198.8355
2024-10-09,199.28715
2024-10-08,198.23251
2024-10-07,197.95157
2024-10-04,199.95438
2024-10-03,195.94742
2024-10-02,196.9675
2024-10-01,197.11417
2024-09-30,198.14316
2024-09-27,197.56994
2024-09-26,195.94413
2024-09-25,195.50067
2024-09-24,198.16292
2024-09-23,198.43596
2024-09-20,198.29067
2024-09-19,200.76192
2024-09-18,197.27616
2024-09-17,197.3289
2024-09-16,195.53419
2024-09-13,195.62432
2024-09-12,191.57161
2024-09-11,189.65142
2024-09-10,188.90904
2024-09-09,188.68676
2024-09-06,187.6862
2024-09-05,190.91073
2024-09-04,192.14253
2024-09-03,193.26932
2024-08-30,199.16742
2024-08-29,197.44631
2024-08-28,195.46559
2024-08-27,195.89826
2024-08-26,197.34133
2024-08-23,197.2257
2024-08-22,192.22322
2024-08-21,193.30702
2024-08-20,191.35403
2024-08-19,194.32906
2024-08-16,193.20247
2024-08-15,193.14994
2024-08-14,187.58395
2024-08-13,189.54612
2024-08-12,187.31118
2024-08-09,189.08325
2024-08-08,189.65075
2024-08-07,184.9295
2024-08-06,187.04246
2024-08-05,184.48905
2024-08-02,191.45894
2024-08-01,200.79733
2024-07-31,207.10519
2024-07-30,205.81653
2024-07-29,204.88819
2024-07-26,206.36908
2024-07-25,203.06573
2024-07-24,200.76491
2024-07-23,205.13222
2024-07-22,202.36083
2024-07-19,199.20992
2024-07-18,199.66105
2024-07-17,203.33943
2024-07-16,206.2632
2024-07-15,199.14726
2024-07-12,195.45163
2024-07-11,193.87135
2024-07-10,187.83597
2024-07-09,186.30897
2024-07-08,186.74298
2024-07-05,185.54406
2024-07-03,186.94887
2024-07-02,188.11032
2024-07-01,187.48486
2024-06-28,189.33371
2024-06-27,188.71766
2024-06-26,187.25894
2024-06-25,187.3517
2024-06-24,187.56525
2024-06-21,187.38309
2024-06-20,186.70029
2024-06-18,186.93547
2024-06-17,186.85315
2024-06-14,185.71162
2024-06-13,188.11365
2024-06-12,187.86426
2024-06-11,186.86784
2024-06-10,187.7348
2024-06-07,186.21009
2024-06-06,187.08877
2024-06-05,188.75184
2024-06-04,185.63419
2024-06-03,187.97428
2024-05-31,189.70222
2024-05-30,188.23801
2024-05-29,186.88055
2024-05-28,188.65287
2024-05-24,189.39799
2024-05-23,187.82585
2024-05-22,190.51923
2024-05-21,191.94767
2024-05-20,191.91975
2024-05-17,191.44356
2024-05-16,191.23517
2024-05-15,192.64165
2024-05-14,191.23602
2024-05-13,189.67945
2024-05-10,189.59725
2024-05-09,191.03563
2024-05-08,189.63335
2024-05-07,190.31569
2024-05-06,189.81808
2024-05-03,187.56968
2024-05-02,186.54474
2024-05-01,183.94865
2024-04-30,183.44414
2024-04-29,186.42551
2024-04-26,185.46985
2024-04-25,183.0957
2024-04-24,184.90319
2024-04-23,185.57944
2024-04-22,183.3975
2024-04-19,181.28402
2024-04-18,181.01943
2024-04-17,181.22066
2024-04-16,183.58588
2024-04-15,184.07296
2024-04-12,186.70363
2024-04-11,188.73857
2024-04-10,187.15537
2024-04-09,190.12437
2024-04-08,189.46544
2024-04-05,188.67663
2024-04-04,187.6508
2024-04-03,190.03785
2024-04-02,189.90527
2024-04-01,194.02068
2024-03-28,194.79437
2024-03-27,193.77022
2024-03-26,189.42849
2024-03-25,189.66504
2024-03-22,189.7742
2024-03-21,191.50857
2024-03-20,189.70913
2024-03-19,186.02725
2024-03-18,185.15963
2024-03-15,185.97023
2024-03-14,185.56995
2024-03-13,187.743
2024-03-12,187.66371
2024-03-11,187.81693
2024-03-08,189.07578
2024-03-07,189.22922
2024-03-06,188.26821
2024-03-05,187.59669
2024-03-04,189.44557
2024-03-01,189.97047
2024-02-29,188.63889
2024-02-28,186.67651
2024-02-27,188.00111
2024-02-26,185.47718
2024-02-23,184.65589
2024-02-22,184.32532
2024-02-21,183.14212
2024-02-20,183.94377
2024-02-16,187.10336
2024-02-15,189.96469
2024-02-14,185.56518
2024-02-13,181.62389
2024-02-12,188.23966
2024-02-09,184.81365
2024-02-08,182.07556
2024-02-07,179.48908
2024-02-06,180.14138
2024-02-05,178.73173
2024-02-02,180.27634
2024-02-01,179.748
2024-01-31,177.76959
2024-01-30,182.40613
2024-01-29,184.43396
2024-01-26,180.39396
2024-01-25,180.81749
2024-01-24,178.23017
2024-01-23,180.91765
2024-01-22,180.37812
2024-01-19,176.7034
2024-01-18,175.50645
2024-01-17,174.36275
