"Date","Price","Open","High","Low","Vol.","Change.."
2025-03-24,93.44,91.45,93.69,90.82,"792.34K","2.19%"
2025-03-23,91.45,91.33,92.99,90.67,"458.95K","0.12%"
2025-03-22,91.33,90.83,92.2,90.43,"444.40K","0.55%"
2025-03-21,90.83,93.28,93.88,90.83,"804.19K","-2.62%"
2025-03-20,93.28,94.08,94.47,90.15,"935.58K","-0.85%"
2025-03-19,94.07,90.04,94.23,89.34,"1.21M","4.46%"
2025-03-18,90.06,92.31,92.31,87.19,"1.12M","-2.44%"
2025-03-17,92.31,90.24,94.38,90.24,"1.32M","2.29%"
2025-03-16,90.24,92.46,92.68,88.44,"821.07K","-2.40%"
2025-03-15,92.46,91.28,94.19,91.02,"796.58K","1.29%"
2025-03-14,91.28,88.05,92.77,87.82,"948.91K","3.66%"
2025-03-13,88.05,91.51,91.75,86.29,"1.08M","-3.78%"
2025-03-12,91.51,90.41,92.68,87.42,"1.24M","1.25%"
2025-03-11,90.39,87.41,93.06,83.55,"2.31M","3.45%"
2025-03-10,87.37,94.56,98.91,86.48,"2.19M","-7.59%"
2025-03-09,94.54,102.34,102.7,93.68,"1.62M","-7.62%"
2025-03-08,102.34,103.69,108.56,101.84,"1.18M","-1.31%"
2025-03-07,103.7,103.33,106.58,97.52,"2.05M","0.31%"
2025-03-06,103.38,104.73,112.98,102.16,"2.17M","-1.29%"
2025-03-05,104.74,103.64,106.71,100.66,"1.64M","1.07%"
2025-03-04,103.63,109.89,110.86,94.27,"4.28M","-5.64%"
2025-03-03,109.82,127.86,130.07,106.8,"3.96M","-14.06%"
2025-03-02,127.79,124.17,129.81,118.31,"3.38M","2.84%"
2025-03-01,124.26,127.78,130.63,123.08,"1.49M","-2.96%"
2025-02-28,128.04,126.7,129.52,114.19,"4.26M","0.95%"
2025-02-27,126.84,125.4,131.92,121.88,"3.55M","1.64%"
2025-02-26,124.8,114.51,128.4,114.02,"4.35M","8.98%"
2025-02-25,114.51,114.61,116.93,106.48,"3.37M","-0.08%"
2025-02-24,114.6,129.75,130.38,112.47,"2.51M","-11.67%"
2025-02-23,129.74,125.65,130.37,125.28,"945.92K","3.04%"
2025-02-22,125.91,128.19,131.09,125.79,"1.57M","-1.79%"
2025-02-21,128.21,130.76,139.88,123.85,"4.18M","-1.95%"
2025-02-20,130.76,134.89,135,126.17,"2.61M","-3.06%"
2025-02-19,134.88,129.76,139.79,129.74,"3.38M","3.99%"
2025-02-18,129.71,122.31,129.77,120.02,"2.03M","6.05%"
2025-02-17,122.31,125.6,128.71,120.19,"1.77M","-2.62%"
2025-02-16,125.6,133.86,137.3,125.18,"1.89M","-6.20%"
2025-02-15,133.91,124.92,134.9,124.34,"1.96M","7.19%"
2025-02-14,124.92,126.51,133.73,124.56,"2.34M","-1.25%"
2025-02-13,126.5,121.98,129.23,118.99,"1.97M","3.72%"
2025-02-12,121.96,119.24,124.83,111.68,"2.27M","2.23%"
2025-02-11,119.31,120.17,131.95,117.95,"3.54M","-0.71%"
2025-02-10,120.16,107.17,121.78,107.17,"2.62M","12.13%"
2025-02-09,107.16,104.72,109.08,102.37,"1.00M","2.34%"
2025-02-08,104.72,103.15,105.13,101.84,"697.02K","1.52%"
2025-02-07,103.15,103.95,107.89,100.68,"1.23M","3.34%"
2025-02-06,99.82,103.32,109.58,99.6,"1.48M","-3.39%"
2025-02-05,103.32,101.12,109.05,100.47,"1.35M","2.17%"
2025-02-04,101.12,106.96,108.6,98.61,"1.73M","-5.46%"
2025-02-03,106.97,109.02,109.03,82.39,"5.10M","-1.89%"
2025-02-02,109.03,118.03,121.4,104.64,"2.34M","-7.94%"
2025-02-01,118.43,128.06,131.18,117.85,"1.55M","-7.53%"
2025-01-31,128.08,130.11,134.78,125.39,"1.54M","-1.57%"
2025-01-30,130.11,115.8,133.82,114.27,"2.67M","12.36%"
2025-01-29,115.8,109.97,119.27,109.93,"1.05M","5.29%"
2025-01-28,109.98,115.06,116.92,109.26,"905.74K","-4.36%"
2025-01-27,114.99,117.13,117.85,106.29,"1.63M","-1.83%"
2025-01-26,117.13,123.94,125.08,117.02,"825.98K","-5.49%"
2025-01-25,123.93,118.76,129.24,118.18,"1.83M","4.36%"
2025-01-24,118.75,116.47,122.84,112.89,"1.34M","1.96%"
2025-01-23,116.47,115.33,117.16,111.31,"887.72K","0.99%"
2025-01-22,115.33,119.09,120.23,114.22,"853.05K","-3.17%"
2025-01-21,119.11,118.56,124.84,113.71,"1.48M","0.47%"
2025-01-20,118.55,115.68,127.25,113,"2.58M","2.48%"
2025-01-19,115.68,125.39,128.58,111.99,"3.02M","-7.73%"
2025-01-18,125.38,136.99,139.37,123.28,"2.42M","-8.48%"
2025-01-17,136.99,124.21,140.79,124.21,"3.48M","10.30%"
2025-01-16,124.2,117.19,130.08,114.25,"4.25M","5.96%"
2025-01-15,117.21,102.44,118.53,100.78,"1.51M","14.42%"
2025-01-14,102.44,98.4,102.53,97.63,"607.64K","4.11%"
2025-01-13,98.39,102.35,104.33,93.29,"1.06M","-3.89%"
2025-01-12,102.37,104.39,105.24,101.38,"381.39K","-1.90%"
2025-01-11,104.36,103.93,104.95,102.18,"402.69K","0.42%"
2025-01-10,103.93,102.23,106.25,102.11,"718.72K","1.67%"
2025-01-09,102.22,101.41,105.74,100.01,"861.69K","0.81%"
2025-01-08,101.4,102.69,104.97,97.38,"1.04M","-1.25%"
2025-01-07,102.69,114.02,114.84,102.14,"1.41M","-9.93%"
2025-01-06,114.02,115.73,117.07,111.72,"948.27K","-1.30%"
2025-01-05,115.52,111.21,116.09,110.66,"570.51K","3.87%"
2025-01-04,111.21,112.73,112.82,110.11,"498.60K","-1.35%"
2025-01-03,112.73,105.13,114.8,104.12,"892.76K","7.22%"
2025-01-02,105.13,105.14,108.29,104.62,"874.06K","0.00%"
2025-01-01,105.14,103.29,108.05,102.09,"696.58K","1.82%"
2024-12-31,103.26,99.4,104.75,97.83,"714.58K","3.88%"
2024-12-30,99.4,98.36,103.01,97.47,"884.53K","1.02%"
2024-12-29,98.39,100.75,101.56,96.94,"512.63K","-2.34%"
2024-12-28,100.75,100.57,101.73,98.68,"433.59K","0.16%"
2024-12-27,100.59,102.23,106.46,99.75,"706.96K","-1.61%"
2024-12-26,102.23,109.8,110.31,101.09,"810.15K","-6.89%"
2024-12-25,109.8,108.3,110.65,106.92,"605.54K","1.34%"
2024-12-24,108.35,106.76,110.78,104.01,"894.91K","1.48%"
2024-12-23,106.76,99.78,107.62,98,"1.29M","6.99%"
2024-12-22,99.79,101.5,103.87,96.92,"1.06M","-1.68%"
2024-12-21,101.49,101.41,105.95,97.95,"1.46M","0.08%"
2024-12-20,101.41,99.38,103.29,86.95,"2.61M","2.06%"
2024-12-19,99.37,108.43,111.65,94.88,"3.00M","-8.36%"
2024-12-18,108.43,125.39,128.87,107.61,"3.10M","-13.50%"
2024-12-17,125.35,118,131.33,114.59,"2.55M","6.23%"
2024-12-16,118,121.12,123.88,115.52,"1.47M","-2.57%"
2024-12-15,121.12,118.22,122.13,114.72,"922.70K","2.45%"
2024-12-14,118.22,124.54,125.04,115.46,"973.74K","-5.08%"
2024-12-13,124.54,119.18,125.06,117.2,"1.44M","4.50%"
2024-12-12,119.18,117.33,124.98,116.52,"1.87M","1.58%"
2024-12-11,117.32,109.8,118.65,106.16,"1.62M","6.85%"
2024-12-10,109.8,110.45,114.73,101.48,"3.41M","-0.88%"
2024-12-09,110.78,134.85,134.95,101.38,"3.09M","-17.85%"
2024-12-08,134.84,133.8,135.74,130.2,"913.72K","0.78%"
2024-12-07,133.8,135.92,138.54,131.78,"1.17M","-1.56%"
2024-12-06,135.91,135.75,139.17,130.18,"1.61M","0.06%"
2024-12-05,135.84,133.75,146.49,125.03,"3.74M","1.56%"
2024-12-04,133.75,130.8,135.14,122.07,"2.41M","2.27%"
2024-12-03,130.78,132.9,134.94,122.12,"3.35M","-1.58%"
2024-12-02,132.88,119.56,139.18,115.23,"6.06M","11.13%"
2024-12-01,119.58,102.68,121.26,99.37,"2.70M","16.48%"
2024-11-30,102.66,104.67,104.82,100.44,"1.14M","-1.92%"
2024-11-29,104.67,95.52,104.69,94.75,"1.16M","9.58%"
2024-11-28,95.52,97.24,98.26,93.72,"748.68K","-1.75%"
2024-11-27,97.22,92.92,98.9,91.52,"1.16M","4.63%"
2024-11-26,92.92,92.22,95.23,88.08,"1.27M","0.75%"
2024-11-25,92.22,96.93,99.16,91.13,"1.51M","-4.84%"
2024-11-24,96.92,99.48,103.01,91.74,"2.12M","-2.57%"
2024-11-23,99.47,92.2,106.13,92.11,"4.37M","7.96%"
2024-11-22,92.14,89.51,92.63,87.79,"1.78M","2.95%"
2024-11-21,89.49,83.39,91.76,81.69,"2.15M","7.31%"
2024-11-20,83.4,86.64,87.77,82.41,"1.27M","-3.74%"
2024-11-19,86.64,89.19,90.1,85.11,"1.39M","-2.86%"
2024-11-18,89.19,87.18,94.66,86.49,"2.35M","2.31%"
2024-11-17,87.17,95.39,97.26,85.06,"2.44M","-8.62%"
