"Date","Price"
2025-03-24,51.74139
2025-03-21,51.41828
2025-03-20,52.27294
2025-03-19,53.64305
2025-03-18,53.2968
2025-03-17,53.73832
2025-03-14,52.72009
2025-03-13,51.37725
2025-03-12,51.00394
2025-03-11,51.06091
2025-03-10,50.59095
2025-03-07,52.10735
2025-03-06,52.35714
2025-03-05,52.12796
2025-03-04,50.84424
2025-03-03,50.33839
2025-02-28,51.5341
2025-02-27,52.76256
2025-02-26,52.7971
2025-02-25,51.47591
2025-02-24,51.16967
2025-02-21,53.30211
2025-02-20,52.17847
2025-02-19,51.61383
2025-02-18,51.68486
2025-02-14,50.88037
2025-02-13,49.73144
2025-02-12,49.75062
2025-02-11,48.8498
2025-02-10,49.46664
2025-02-07,48.17865
2025-02-06,47.32633
2025-02-05,46.50672
2025-02-04,47.49928
2025-02-03,46.77043
2025-01-31,46.45873
2025-01-30,47.45128
2025-01-29,46.30074
2025-01-28,46.4135
2025-01-27,45.51435
2025-01-24,45.0861
2025-01-23,44.31775
2025-01-22,44.45618
2025-01-21,44.63103
2025-01-17,44.94699
2025-01-16,43.97397
2025-01-15,44.05017
2025-01-14,43.57504
2025-01-13,42.93404
2025-01-10,42.66471
2025-01-08,43.59596
2025-01-07,43.63847
2025-01-06,43.91606
2025-01-03,45.04758
2025-01-02,44.83195
2024-12-31,45.27974
2024-12-30,45.17029
2024-12-27,45.55225
2024-12-26,45.93738
2024-12-24,45.92357
2024-12-23,45.4799
2024-12-20,45.16253
2024-12-19,45.08782
2024-12-18,44.2864
2024-12-17,44.97143
2024-12-16,45.18124
2024-12-13,45.94131
2024-12-12,46.51938
2024-12-11,46.56751
2024-12-10,46.80304
2024-12-09,48.75556
2024-12-06,45.31324
2024-12-05,44.84292
2024-12-04,44.69014
2024-12-03,45.17048
2024-12-02,45.17544
2024-11-29,44.77668
2024-11-27,44.66717
2024-11-26,44.03056
2024-11-25,44.2304
2024-11-22,44.61081
2024-11-21,45.37567
2024-11-20,45.5564
2024-11-19,45.07561
2024-11-18,45.35927
2024-11-15,44.91421
2024-11-14,44.84326
2024-11-13,45.18876
2024-11-12,45.12115
2024-11-11,46.45507
2024-11-08,46.18545
2024-11-07,48.43128
2024-11-06,46.28508
2024-11-05,46.68801
2024-11-04,45.78015
2024-11-01,45.66261
2024-10-31,45.34156
2024-10-30,45.51813
2024-10-29,46.33537
2024-10-28,46.75421
2024-10-25,46.13605
2024-10-24,45.9902
2024-10-23,46.49587
2024-10-22,46.61362
2024-10-21,46.12256
2024-10-18,46.46176
2024-10-17,44.67436
2024-10-16,45.73059
2024-10-15,45.03214
2024-10-14,47.31242
2024-10-11,48.09502
2024-10-10,48.0011
2024-10-09,47.49132
2024-10-08,48.48761
2024-10-07,54.32447
2024-10-04,52.0073
2024-10-03,49.85494
2024-10-02,51.127
2024-10-01,47.92835
2024-09-30,45.66738
2024-09-27,45.72274
2024-09-26,44.8563
2024-09-25,41.38303
2024-09-24,42.26185
2024-09-23,38.90337
2024-09-20,38.17791
2024-09-19,38.23055
2024-09-18,37.09996
2024-09-17,37.29652
2024-09-16,36.93054
2024-09-13,36.90004
2024-09-12,36.90929
2024-09-11,37.01888
2024-09-10,36.66455
2024-09-09,36.76351
2024-09-06,36.75183
2024-09-05,37.06873
2024-09-04,37.15832
2024-09-03,37.43999
2024-08-30,37.8552
2024-08-29,37.47518
2024-08-28,36.95007
2024-08-27,37.48881
2024-08-26,37.3288
2024-08-23,38.05262
2024-08-22,37.83978
2024-08-21,38.03158
2024-08-20,37.7058
2024-08-19,38.74842
2024-08-16,38.7132
2024-08-15,38.18546
2024-08-14,37.49319
2024-08-13,38.4342
2024-08-12,38.39605
2024-08-09,38.0163
2024-08-08,38.20699
2024-08-07,37.32833
2024-08-06,37.11567
2024-08-05,37.06204
2024-08-02,37.40836
2024-08-01,37.97515
2024-07-31,38.41243
2024-07-30,37.66414
2024-07-29,38.00591
2024-07-26,37.96595
2024-07-25,37.70024
2024-07-24,38.21768
2024-07-23,38.64369
2024-07-22,39.289
2024-07-19,38.60358
2024-07-18,38.63137
2024-07-17,38.86551
2024-07-16,39.54449
2024-07-15,39.50119
2024-07-12,40.35763
2024-07-11,40.09386
2024-07-10,39.43844
2024-07-09,39.65772
2024-07-08,39.06942
