"Date","Close"
2025-03-24,3764
2025-03-21,3782
2025-03-19,3682
2025-03-18,3651
2025-03-17,3589
2025-03-14,3518
2025-03-13,3489
2025-03-12,3511
2025-03-11,3389
2025-03-10,3458
2025-03-07,3569
2025-03-06,3727
2025-03-05,3583
2025-03-04,3628
2025-03-03,3713
2025-02-28,3739
2025-02-27,3818
2025-02-26,3805
2025-02-25,3797
2025-02-21,3813
2025-02-20,3732
2025-02-19,3773
2025-02-18,3782
2025-02-17,3857
2025-02-14,3705
2025-02-13,3410
2025-02-12,3372
2025-02-10,3429
2025-02-07,3483
2025-02-06,3517
2025-02-05,3513
2025-02-04,3475
2025-02-03,3380
2025-01-31,3440
2025-01-30,3452
2025-01-29,3484
2025-01-28,3357
2025-01-27,3261
2025-01-24,3251
2025-01-23,3336
2025-01-22,3275
2025-01-21,3235
2025-01-20,3239
2025-01-17,3214
2025-01-16,3198
2025-01-15,3206
2025-01-14,3155
2025-01-10,3235
2025-01-09,3245
2025-01-08,3290
2025-01-07,3341
2025-01-06,3301
2024-12-30,3369
2024-12-27,3417
2024-12-26,3350
2024-12-25,3305
2024-12-24,3298
2024-12-23,3301
2024-12-20,3284
2024-12-19,3260
2024-12-18,3291
2024-12-17,3380
2024-12-16,3324
2024-12-13,3358
2024-12-12,3462
2024-12-11,3362
2024-12-10,3338
2024-12-09,3206
2024-12-06,3144
2024-12-05,3167
2024-12-04,3170
2024-12-03,3070
2024-12-02,3014
2024-11-29,3007
2024-11-28,3058
2024-11-27,3018
2024-11-26,2983
2024-11-25,2977.5
2024-11-22,2948
2024-11-21,2951.5
2024-11-20,3018
2024-11-19,2936
2024-11-18,2917.5
2024-11-15,2889.5
2024-11-14,2878
2024-11-13,2890.5
2024-11-12,2921
2024-11-11,2975
2024-11-08,2805.5
2024-11-07,2772
2024-11-06,2774.5
2024-11-05,2728.5
2024-11-01,2674.5
2024-10-31,2723.5
2024-10-30,2750
2024-10-29,2714.5
2024-10-28,2698
2024-10-25,2645
2024-10-24,2684.5
2024-10-23,2673.5
2024-10-22,2691
2024-10-21,2710
2024-10-18,2711.5
2024-10-17,2765.5
2024-10-16,2772.5
2024-10-15,2814
2024-10-11,2815
2024-10-10,2826
2024-10-09,2820
2024-10-08,2810.5
2024-10-07,2880.5
2024-10-04,2767
2024-10-03,2780
2024-10-02,2750.5
2024-10-01,2834
2024-09-30,2777.5
2024-09-27,2861
2024-09-26,2848
2024-09-25,2755
2024-09-24,2751
2024-09-20,2673
2024-09-19,2635
2024-09-18,2562
2024-09-17,2561
2024-09-13,2621
2024-09-12,2652
2024-09-11,2632
2024-09-10,2639
2024-09-09,2600
2024-09-06,2639
2024-09-05,2708
2024-09-04,2750
2024-09-03,2835
2024-09-02,2817
2024-08-30,2840
2024-08-29,2800
2024-08-28,2819
2024-08-27,2756
2024-08-26,2680
2024-08-23,2682
2024-08-22,2674
2024-08-21,2677
2024-08-20,2654
2024-08-19,2646
2024-08-16,2677
2024-08-15,2576
2024-08-14,2616
2024-08-13,2589
2024-08-09,2465
2024-08-08,2458
2024-08-07,2461
2024-08-06,2463
2024-08-05,2257
2024-08-02,2443
2024-08-01,2617
2024-07-31,2706
2024-07-30,2728
2024-07-29,2669
2024-07-26,2644
2024-07-25,2683
2024-07-24,2837
2024-07-23,2870
2024-07-22,2892
2024-07-19,2934
2024-07-18,2936
2024-07-17,3037
2024-07-16,3020
2024-07-12,3027
2024-07-11,3076
2024-07-10,2969
2024-07-09,2921
2024-07-08,2782
2024-07-05,2797
2024-07-04,2783
2024-07-03,2782
2024-07-02,2792
2024-07-01,2750
2024-06-28,2728
2024-06-27,2706
2024-06-26,2662
2024-06-25,2634
2024-06-24,2585
2024-06-21,2562
2024-06-20,2559
2024-06-19,2554
2024-06-18,2529
2024-06-17,2539
2024-06-14,2607
2024-06-13,2653
2024-06-12,2621
2024-06-11,2668
2024-06-10,2672
2024-06-07,2685
2024-06-06,2715
2024-06-05,2687
2024-06-04,2668
2024-06-03,2617
2024-05-31,2579
2024-05-30,2530
2024-05-29,2499
2024-05-28,2516
2024-05-27,2511
2024-05-24,2530
2024-05-23,2577
2024-05-22,2562
2024-05-21,2576
2024-05-20,2613
2024-05-17,2620
2024-05-16,2603
2024-05-15,2590
2024-05-14,2393
2024-05-13,2384
2024-05-10,2342
2024-05-09,2374
2024-05-08,2410
2024-05-07,2536
2024-05-02,2612
2024-05-01,2620
2024-04-30,2617
2024-04-26,2554
2024-04-25,2552
2024-04-24,2568
2024-04-23,2499
2024-04-22,2506
2024-04-19,2506
2024-04-18,2552
2024-04-17,2533
2024-04-16,2587
2024-04-15,2572
2024-04-12,2608
2024-04-11,2571
2024-04-10,2592
2024-04-09,2576
2024-04-08,2560
2024-04-05,2556
2024-04-04,2605
2024-04-03,2601
2024-04-02,2606
2024-04-01,2613
2024-03-29,2597
2024-03-28,2586
2024-03-27,2641
2024-03-26,2622
2024-03-25,2610
2024-03-22,2690
2024-03-21,2685
2024-03-19,2692
2024-03-18,2666
2024-03-15,2613
2024-03-14,2611
2024-03-13,2600
2024-03-12,2586
2024-03-11,2549
2024-03-08,2594
2024-03-07,2587
2024-03-06,2591
2024-03-05,2590
2024-03-04,2605
2024-03-01,2643
2024-02-29,2589
2024-02-28,2584
2024-02-27,2586
2024-02-26,2607
2024-02-22,2662
2024-02-21,2637
2024-02-20,2663
2024-02-19,2695
2024-02-16,2695
2024-02-15,2742
2024-02-14,2932
2024-02-13,2947
2024-02-09,2847
2024-02-08,2865
2024-02-07,2860
2024-02-06,2851
2024-02-05,2895
2024-02-02,2895
2024-02-01,2878
2024-01-31,2939
2024-01-30,2896
2024-01-29,2871
2024-01-26,2801
2024-01-25,2871
2024-01-24,2907
2024-01-23,2939
2024-01-22,2960
2024-01-19,2905
2024-01-18,2848
2024-01-17,2883
2024-01-16,2876
2024-01-15,2904
2024-01-12,2915
2024-01-11,2868
2024-01-10,2770
2024-01-09,2668
2024-01-05,2634
2024-01-04,2619
2023-12-29,2682
2023-12-28,2675
2023-12-27,2668
2023-12-26,2630
2023-12-25,2624
2023-12-22,2597
2023-12-21,2615
2023-12-20,2631
2023-12-19,2626
2023-12-18,2615
2023-12-15,2673
2023-12-14,2592
2023-12-13,2620
2023-12-12,2608
2023-12-11,2603
2023-12-08,2554
2023-12-07,2583
2023-12-06,2626
2023-12-05,2526
2023-12-04,2510
2023-12-01,2544
2023-11-30,2564
2023-11-29,2547
2023-11-28,2565
2023-11-27,2562
2023-11-24,2570
2023-11-22,2603
2023-11-21,2579
2023-11-20,2586
2023-11-17,2617
2023-11-16,2641
2023-11-15,2644
2023-11-14,2518
2023-11-13,2531
2023-11-10,2594
2023-11-09,2648
2023-11-08,2669
2023-11-07,2631
2023-11-06,2617
2023-11-02,2570
2023-11-01,2559
2023-10-31,2485
2023-10-30,2444
2023-10-27,2424
2023-10-26,2449
2023-10-25,2520
2023-10-24,2512
2023-10-23,2488
2023-10-20,2511
2023-10-19,2528
2023-10-18,2554
2023-10-17,2561
2023-10-16,2522
2023-10-13,2570
2023-10-12,2621
2023-10-11,2541
2023-10-10,2521
2023-10-06,2452
2023-10-05,2464
2023-10-04,2422
2023-10-03,2452
2023-10-02,2441
