"Date","AQ232683.Corp"
2025-03-25,81.454
2025-03-24,82.149
2025-03-21,82.543
2025-03-20,82.849
2025-03-19,82.704
2025-03-18,82.176
2025-03-17,82.05
2025-03-14,81.42
2025-03-13,82.13
2025-03-12,81.61
2025-03-11,82.451
2025-03-10,83.251
2025-03-07,82.353
2025-03-06,82.49
2025-03-05,82.768
2025-03-04,83.175
2025-03-03,84.724
2025-02-28,83.925
2025-02-27,83.827
2025-02-26,83.516
2025-02-25,83.361
2025-02-24,82.495
2025-02-21,82.051
2025-02-20,82.161
2025-02-19,81.856
2025-02-18,81.247
2025-02-14,81.688
2025-02-13,80.5
2025-02-12,79.851
2025-02-11,80.386
2025-02-10,80.439
2025-02-07,81.209
2025-02-06,81.262
2025-02-05,80.953
2025-02-04,80.031
2025-02-03,79.824
2025-01-31,79.409
2025-01-30,79.766
2025-01-29,79.72
2025-01-28,78.972
2025-01-27,79.362
2025-01-24,78.688
2025-01-23,78.429
2025-01-22,79.069
2025-01-21,79.152
2025-01-17,78.978
2025-01-16,79.003
2025-01-15,78.691
2025-01-14,76.751
2025-01-13,76.987
2025-01-10,77.089
2025-01-09,77.502
2025-01-08,78.031
2025-01-07,77.54
2025-01-06,78.829
2025-01-03,79.308
2025-01-02,78.889
2024-12-31,79.889
2024-12-30,80.147
2024-12-27,78.974
2024-12-26,79.583
2024-12-24,78.559
2024-12-23,78.435
2024-12-20,80.137
2024-12-19,80.233
2024-12-18,79.761
2024-12-17,81.543
2024-12-16,81.891
2024-12-13,81.679
2024-12-12,82.288
2024-12-11,83.049
2024-12-10,84.001
2024-12-09,82.96
2024-12-06,84.894
2024-12-05,84.769
2024-12-04,83.806
2024-12-03,82.771
2024-12-02,84.365
2024-11-29,84.715
2024-11-27,84.047
2024-11-26,83.4
2024-11-25,83.456
2024-11-22,82.8
2024-11-21,81.735
2024-11-20,81.364
2024-11-19,82.71
2024-11-18,82.433
2024-11-15,82.682
2024-11-14,83.552
2024-11-13,82.886
2024-11-12,84.378
2024-11-08,85.437
2024-11-07,84.71
2024-11-06,83.437
2024-11-05,85.347
2024-11-04,85.067
2024-11-01,83.447
2024-10-31,85.152
2024-10-30,84.509
2024-10-29,84.631
2024-10-28,84.79
2024-10-25,85.181
2024-10-24,85.073
2024-10-23,84.122
2024-10-22,84.532
2024-10-21,85.584
2024-10-18,85.877
2024-10-17,86.09
2024-10-16,87.894
2024-10-15,86.974
2024-10-11,85.285
2024-10-10,86.421
2024-10-09,86.462
2024-10-08,86.444
2024-10-07,86.221
2024-10-04,86.589
2024-10-03,88.122
2024-10-02,88.806
2024-10-01,89.646
2024-09-30,88.578
2024-09-27,88.226
2024-09-26,87.387
2024-09-25,87.654
2024-09-24,88.343
2024-09-23,87.774
2024-09-20,87.857
2024-09-19,88.298
2024-09-18,87.771
2024-09-17,88.109
2024-09-16,88.238
2024-09-13,87.591
2024-09-12,88.037
2024-09-11,88.045
2024-09-10,87.887
2024-09-09,87.275
2024-09-06,87.406
2024-09-05,86.863
2024-09-04,86.378
2024-09-03,85.603
2024-08-30,84.674
2024-08-29,85.064
2024-08-28,85.209
2024-08-27,85.363
2024-08-26,85.899
2024-08-23,85.172
2024-08-22,84.736
2024-08-21,85.317
2024-08-20,85.262
2024-08-19,85.356
2024-08-16,84.687
2024-08-15,84.342
2024-08-14,83.933
2024-08-13,83.128
2024-08-12,82.653
2024-08-09,82.425
2024-08-08,81.73
2024-08-07,81.967
2024-08-06,82.256
2024-08-05,83.106
2024-08-02,84.155
2024-08-01,82.959
2024-07-31,82.534
2024-07-30,81.514
2024-07-29,80.293
2024-07-26,80.03
2024-07-25,80.27
2024-07-24,79.47
2024-07-23,80.645
2024-07-22,79.928
2024-07-19,80.305
2024-07-18,80.955
2024-07-17,82.082
2024-07-16,82.165
2024-07-15,81.19
2024-07-12,81.829
2024-07-11,81.921
2024-07-10,81.099
2024-07-09,81.007
2024-07-08,80.967
2024-07-05,80.183
2024-07-03,80.442
2024-07-02,79
2024-07-01,77.931
2024-06-28,78.607
2024-06-27,80.425
2024-06-26,79.908
2024-06-25,80.127
2024-06-24,80.923
2024-06-21,81.382
2024-06-20,80.879
2024-06-18,82.254
2024-06-17,82.16
2024-06-14,82.14
2024-06-13,82.858
2024-06-12,80.885
2024-06-11,80.797
2024-06-10,79.568
2024-06-07,80.353
2024-06-06,81.828
2024-06-05,81.92
2024-06-04,81.627
2024-06-03,81.43
2024-05-31,80.05
2024-05-30,79.609
2024-05-29,78.872
2024-05-28,79.505
2024-05-24,80.751
2024-05-23,80.546
2024-05-22,80.63
2024-05-21,80.559
2024-05-20,80.159
2024-05-17,80.646
2024-05-16,81.704
2024-05-15,81.841
2024-05-14,79.5
2024-05-13,79.666
2024-05-10,79.57
2024-05-09,79.706
2024-05-08,78.858
2024-05-07,79.901
2024-05-06,78.852
2024-05-03,78.868
2024-05-02,78.148
2024-05-01,77.343
2024-04-30,77.418
2024-04-29,78.967
2024-04-26,77.523
2024-04-25,77.357
2024-04-24,78.121
2024-04-23,77.835
2024-04-22,78.455
2024-04-19,78.368
2024-04-18,78.504
2024-04-17,78.793
2024-04-16,77.583
2024-04-15,78.191
2024-04-12,79.664
2024-04-11,78.521
2024-04-10,78.469
2024-04-09,80.462
2024-04-08,79.801
2024-04-05,79.828
2024-04-04,80.625
2024-04-03,81.398
2024-04-02,81.16
2024-04-01,81.562
2024-03-28,82.422
2024-03-27,82.973
2024-03-26,81.245
2024-03-25,81.46
2024-03-22,82.616
2024-03-21,80.878
2024-03-20,81.476
2024-03-19,81.072
2024-03-18,81.669
2024-03-15,81.021
2024-03-14,80.732
2024-03-13,81.507
2024-03-12,81.478
2024-03-11,82.265
2024-03-08,82.418
2024-03-07,82.329
2024-03-06,82.405
2024-03-05,82.351
2024-03-04,82.007
2024-03-01,82.935
2024-02-29,81.342
2024-02-28,81.203
2024-02-27,80.824
2024-02-26,81.719
2024-02-23,82.044
2024-02-22,79.947
2024-02-21,80.744
2024-02-20,80.859
2024-02-16,80.478
2024-02-15,80.934
2024-02-14,80.184
2024-02-13,79.774
2024-02-12,80.921
2024-02-09,81.21
2024-02-08,80.994
2024-02-07,82.163
2024-02-06,81.185
2024-02-05,80.225
2024-02-02,81.589
2024-02-01,82.384
2024-01-31,82.142
2024-01-30,80.719
2024-01-29,79.92
2024-01-26,78.707
2024-01-25,78.376
2024-01-24,78.361
2024-01-23,77.958
2024-01-22,77.513
2024-01-19,78.109
2024-01-18,77.177
2024-01-17,77.604
2024-01-16,78.225
2024-01-12,79.653
2024-01-11,79.517
2024-01-10,79.551
2024-01-09,78.689
2024-01-08,77.979
2024-01-05,78.667
2024-01-04,79.912
2024-01-03,80.649
2024-01-02,80.512
2023-12-29,81.71
2023-12-28,83.84
2023-12-27,82.329
2023-12-26,81.141
2023-12-22,81.541
2023-12-21,81.714
2023-12-20,82.454
2023-12-19,81.851
2023-12-18,82.015
2023-12-15,81.552
2023-12-14,81.739
2023-12-13,78.967
2023-12-12,76.694
2023-12-11,77.226
2023-12-08,77.337
2023-12-07,77.47
2023-12-06,77.859
2023-12-05,76.85
2023-12-04,77.177
2023-12-01,75.945
2023-11-30,74.952
2023-11-29,75.321
2023-11-28,75.064
2023-11-27,74.11
2023-11-24,73.672
2023-11-22,73.953
2023-11-21,74.207
2023-11-20,73.081
2023-11-17,73.656
2023-11-16,71.613
2023-11-15,70.814
2023-11-14,71.502
2023-11-13,69.737
2023-11-10,69.766
2023-11-09,69.729
2023-11-08,71.785
2023-11-07,69.077
2023-11-06,68.985
2023-11-03,68.627
2023-11-02,68.75
2023-11-01,67.562
2023-10-31,66.063
2023-10-30,66.701
2023-10-27,66.914
2023-10-26,66.47
2023-10-25,66.435
2023-10-24,67.029
2023-10-23,66.58
2023-10-20,66.197
2023-10-19,65.917
2023-10-18,66.787
2023-10-17,66.794
2023-10-16,67.785
2023-10-13,68.335
2023-10-12,67.351
2023-10-11,70.274
2023-10-10,67.513
2023-10-06,66.764
2023-10-05,67.181
2023-10-04,67.115
2023-10-03,66.103
2023-10-02,68.091
2023-09-29,69.422
2023-09-28,68.05
2023-09-27,68.348
2023-09-26,69.27
2023-09-25,69.024
2023-09-22,71.182
2023-09-21,69.401
2023-09-20,71.07
2023-09-19,71.927
2023-09-18,71.817
2023-09-15,71.548
2023-09-14,72.4
2023-09-13,71.929
2023-09-12,72.553
2023-09-11,72.679
2023-09-08,72.75
2023-09-07,72.787
2023-09-06,72.562
2023-09-05,72.99
2023-09-01,73.299
2023-08-31,74.526
2023-08-30,73.906
2023-08-29,73.854
2023-08-28,73.621
2023-08-25,73.891
2023-08-24,72.099
2023-08-23,73.429
2023-08-22,71.981
2023-08-21,71.296
2023-08-18,72.95
2023-08-17,72.92
2023-08-16,73.114
2023-08-15,73.482
2023-08-14,74.284
2023-08-11,74.626
2023-08-10,73.888
2023-08-09,74.942
2023-08-08,75.523
2023-08-07,74.883
2023-08-04,75.479
2023-08-03,74.274
2023-08-02,75.008
2023-08-01,76.822
2023-07-31,78.356
2023-07-28,77.643
2023-07-27,77.412
2023-07-26,79.342
2023-07-25,78.26
2023-07-24,78.931
2023-07-21,78.593
2023-07-20,79.029
2023-07-19,79.38
2023-07-18,78.892
2023-07-17,78.488
2023-07-14,78.366
2023-07-13,78.341
2023-07-12,77.53
2023-07-11,77.284
2023-07-10,76.27
2023-07-07,76.084
2023-07-06,75.786
2023-07-05,78.299
2023-07-03,78.451
2023-06-30,79.245
2023-06-29,78.203
2023-06-28,79.208
2023-06-27,78.9
2023-06-26,79.171
2023-06-23,79.672
2023-06-22,78.943
2023-06-21,78.235
2023-06-20,79.515
2023-06-16,79.498
2023-06-15,79.335
2023-06-14,79.017
2023-06-13,77.675
2023-06-12,78.304
2023-06-09,78.295
2023-06-08,78.311
2023-06-07,78.117
2023-06-06,79.201
2023-06-05,78.575
2023-06-02,78.41
2023-06-01,79.247
2023-05-31,78.787
2023-05-30,78.186
2023-05-26,76.98
2023-05-25,76.647
2023-05-24,76.829
2023-05-23,77.316
2023-05-22,76.786
2023-05-19,77.279
2023-05-18,76.995
2023-05-17,77.717
2023-05-16,77.804
2023-05-15,77.677
2023-05-12,78.156
2023-05-11,78.955
2023-05-10,77.934
2023-05-09,78.314
2023-05-08,77.3
2023-05-05,78.541
2023-05-04,78.962
2023-05-03,80.17
2023-05-02,79.378
2023-05-01,78.432
2023-04-28,80.385
2023-04-27,79.358
2023-04-26,79.81
2023-04-25,80.725
2023-04-24,80.07
2023-04-21,79.328
2023-04-20,79.761
2023-04-19,78.81
2023-04-18,79.369
2023-04-17,79.364
2023-04-14,79.419
2023-04-13,80.048
2023-04-12,81.624
2023-04-11,80.502
2023-04-10,80.294
2023-04-07,80.275
2023-04-06,81.243
2023-04-05,80.853
2023-04-04,80.757
2023-04-03,80.342
2023-03-31,80.329
2023-03-30,78.555
2023-03-29,76.157
2023-03-28,75.546
2023-03-27,74.668
2023-03-24,75.953
2023-03-23,75.257
2023-03-22,75.869
2023-03-21,75.386
2023-03-20,75.795
2023-03-17,76.84
2023-03-16,76.649
2023-03-15,77.209
2023-03-14,75.971
2023-03-13,77.014
2023-03-10,78.49
2023-03-09,78.605
2023-03-08,78.207
2023-03-07,78.317
2023-03-06,79.06
2023-03-03,77.79
2023-03-02,77.009
2023-03-01,77.738
2023-02-28,78.171
2023-02-27,78.225
2023-02-24,77.747
2023-02-23,78.76
2023-02-22,78.375
2023-02-21,78.159
2023-02-17,80.102
2023-02-16,79.497
2023-02-15,80.355
2023-02-14,81.797
2023-02-13,81.98
2023-02-10,80.387
2023-02-09,82.25
2023-02-08,83.595
2023-02-07,82.085
2023-02-06,82.586
2023-02-03,84.191
2023-02-02,84.322
2023-02-01,84.609
2023-01-31,84.045
2023-01-30,84.5
2023-01-27,84.17
2023-01-26,83.76
2023-01-25,83.903
2023-01-24,84.403
2023-01-23,82.819
2023-01-20,83.766
2023-01-19,84.845
2023-01-18,84.223
2023-01-17,82.57
2023-01-13,82.936
2023-01-12,83.182
2023-01-11,82.879
2023-01-10,81.86
2023-01-09,82.495
2023-01-06,81.838
2023-01-05,80.925
2023-01-04,78.281
2023-01-03,79.995
2022-12-30,77.261
2022-12-29,76.495
2022-12-28,76.574
2022-12-27,78.129
2022-12-23,79.242
2022-12-22,80.076
2022-12-21,79.656
2022-12-20,79.744
2022-12-19,80.793
2022-12-16,82.215
2022-12-15,82.65
2022-12-14,82.872
2022-12-13,82.258
2022-12-12,81.607
2022-12-09,81.021
2022-12-08,83.79
2022-12-07,82.357
2022-12-06,81.964
2022-12-05,83.019
2022-12-02,81.631
2022-12-01,80.445
2022-11-30,77.431
2022-11-29,75.625
2022-11-28,76.288
2022-11-25,75.444
2022-11-23,74.831
2022-11-22,72.787
2022-11-21,71.466
2022-11-18,71.671
2022-11-17,71.849
2022-11-16,72.077
2022-11-15,70.746
2022-11-14,68.194
2022-11-10,63.181
2022-11-09,61.589
2022-11-08,61.6
2022-11-07,60.351
2022-11-04,60.253
2022-11-03,60.103
2022-11-02,60.706
2022-11-01,59.501
2022-10-31,58.846
2022-10-28,59.471
2022-10-27,60.556
2022-10-26,61.231
2022-10-25,60.569
2022-10-24,60.225
2022-10-21,62.129
2022-10-20,63.197
2022-10-19,63.79
2022-10-18,65.169
2022-10-17,65.167
2022-10-14,65.801
2022-10-13,67.67
2022-10-12,68.339
2022-10-11,68.087
2022-10-07,69.971
2022-10-06,70.788
2022-10-05,71.649
2022-10-04,72.295
2022-10-03,72.476
2022-09-30,71.264
2022-09-29,72.211
2022-09-28,73.614
2022-09-27,72.284
2022-09-26,73.796
2022-09-23,75.769
2022-09-22,75.392
2022-09-21,76.901
2022-09-20,75.893
2022-09-19,77.12
2022-09-16,77.136
2022-09-15,77.549
2022-09-14,77.322
2022-09-13,78.695
2022-09-12,77.705
2022-09-09,78.196
2022-09-08,77.87
2022-09-07,78.395
2022-09-06,77.683
2022-09-02,79.616
2022-09-01,79.182
