"Date","Price"
2025-03-24,91.89276
2025-03-21,89.8457
2025-03-20,90.28124
2025-03-19,90.51518
2025-03-18,88.58447
2025-03-17,89.60968
2025-03-14,88.8991
2025-03-13,86.89083
2025-03-12,88.01687
2025-03-11,88.16536
2025-03-10,89.46445
2025-03-07,91.57982
2025-03-06,91.45133
2025-03-05,92.74919
2025-03-04,93.85316
2025-03-03,95.83452
2025-02-28,98.84582
2025-02-27,97.98213
2025-02-26,98.55142
2025-02-25,98.70501
2025-02-24,99.06426
2025-02-21,99.41699
2025-02-20,101.79235
2025-02-19,103.82325
2025-02-18,103.75263
2025-02-14,102.60779
2025-02-13,103.57759
2025-02-12,101.97583
2025-02-11,104.27218
2025-02-10,104.63538
2025-02-07,104.56307
2025-02-06,105.34734
2025-02-05,105.23992
2025-02-04,104.9629
2025-02-03,104.50389
2025-01-31,104.62572
2025-01-30,105.71182
2025-01-29,104.51972
2025-01-28,104.82355
2025-01-27,104.28067
2025-01-24,104.3954
2025-01-23,105.18398
2025-01-22,105.16463
2025-01-21,105.99751
2025-01-17,105.58311
2025-01-16,104.97232
2025-01-15,104.76376
2025-01-14,103.1007
2025-01-13,102.35858
2025-01-10,101.50317
2025-01-08,103.1341
2025-01-07,102.4115
2025-01-06,102.93608
2025-01-03,103.91338
2025-01-02,103.11739
2024-12-31,102.46401
2024-12-30,101.90495
2024-12-27,102.29345
2024-12-26,103.87053
2024-12-24,103.43633
2024-12-23,102.50048
2024-12-20,103.81628
2024-12-19,103.90851
2024-12-18,103.13126
2024-12-17,107.20952
2024-12-16,108.591
2024-12-13,108.36509
2024-12-12,109.13246
2024-12-11,110.03051
2024-12-10,109.17222
2024-12-09,108.97133
2024-12-06,109.28822
2024-12-05,108.99886
2024-12-04,110.88545
2024-12-03,110.70377
2024-12-02,112.01373
2024-11-29,110.65481
2024-11-27,110.52383
2024-11-26,111.61414
2024-11-25,112.52146
2024-11-22,111.01833
2024-11-21,108.56217
2024-11-20,106.39954
2024-11-19,105.82231
2024-11-18,105.42914
2024-11-15,105.83942
2024-11-14,106.63889
2024-11-13,107.88154
2024-11-12,108.5321
2024-11-11,109.75678
2024-11-08,107.3583
2024-11-07,105.74734
2024-11-06,107.38324
2024-11-05,99.41446
2024-11-04,97.71329
2024-11-01,97.60059
2024-10-31,97.08157
2024-10-30,98.66556
2024-10-29,99.16713
2024-10-28,99.42667
2024-10-25,97.96391
2024-10-24,98.52003
2024-10-23,98.47768
2024-10-22,98.90822
2024-10-21,99.38072
2024-10-18,100.57974
2024-10-17,101.39492
2024-10-16,101.06735
2024-10-15,99.59596
2024-10-14,99.23867
2024-10-11,98.18182
2024-10-10,96.77242
2024-10-09,97.24913
2024-10-08,96.57434
2024-10-07,96.7043
2024-10-04,97.81934
2024-10-03,95.84769
2024-10-02,96.26143
2024-10-01,96.59852
2024-09-30,97.03983
2024-09-27,96.69118
2024-09-26,95.90832
2024-09-25,95.61742
2024-09-24,96.50506
2024-09-23,96.93483
2024-09-20,96.47396
2024-09-19,97.51703
2024-09-18,95.99065
2024-09-17,95.9169
2024-09-16,94.99506
2024-09-13,95.07398
2024-09-12,93.04726
2024-09-11,92.07516
2024-09-10,91.74753
2024-09-09,91.98117
2024-09-06,91.99242
2024-09-05,93.25286
2024-09-04,93.91971
2024-09-03,94.37449
2024-08-30,97.19457
2024-08-29,96.47176
2024-08-28,95.62753
2024-08-27,95.4057
2024-08-26,95.95381
2024-08-23,95.99964
2024-08-22,93.73537
2024-08-21,94.29392
2024-08-20,93.4413
2024-08-19,94.78057
2024-08-16,94.70193
2024-08-15,94.53452
2024-08-14,91.98584
2024-08-13,92.96391
2024-08-12,91.81544
2024-08-09,92.96639
2024-08-08,93.12494
2024-08-07,91.03644
2024-08-06,91.88324
2024-08-05,90.47445
2024-08-02,93.92412
2024-08-01,98.30336
2024-07-31,100.92515
2024-07-30,100.13871
2024-07-29,99.69507
2024-07-26,99.83433
2024-07-25,98.17713
2024-07-24,96.839
2024-07-23,98.71003
2024-07-22,97.74022
2024-07-19,96.21497
2024-07-18,96.55551
2024-07-17,97.92315
2024-07-16,98.86124
2024-07-15,95.38786
2024-07-12,93.89271
2024-07-11,93.48486
2024-07-10,90.653
2024-07-09,89.90749
2024-07-08,90.25111
2024-07-05,89.88546
2024-07-03,90.6169
2024-07-02,91.25047
2024-07-01,90.73712
2024-06-28,91.648
2024-06-27,90.95919
2024-06-26,90.77888
2024-06-25,90.60252
2024-06-24,91.10738
2024-06-21,90.89974
2024-06-20,90.55758
2024-06-18,90.68815
2024-06-17,90.71329
2024-06-14,90.01028
2024-06-13,91.20633
2024-06-12,91.25784
2024-06-11,90.63984
2024-06-10,90.86851
2024-06-07,90.8746
2024-06-06,91.18728
2024-06-05,91.96429
2024-06-04,90.78125
2024-06-03,92.13597
2024-05-31,92.74454
2024-05-30,91.72509
2024-05-29,90.88388
2024-05-28,91.48506
2024-05-24,92.04388
2024-05-23,91.57885
2024-05-22,92.69575
2024-05-21,93.10853
2024-05-20,93.08853
2024-05-17,93.16404
2024-05-16,93.3505
2024-05-15,93.62583
