"Date","Close"
2025-03-21,76.88
2025-03-20,76.7
2025-03-19,76.02
2025-03-18,76.08
2025-03-17,76.34
2025-03-14,75.7
2025-03-13,76.46
2025-03-12,76.34
2025-03-11,74.86
2025-03-10,74.54
2025-03-07,75.2
2025-03-06,75.9
2025-03-05,79.34
2025-03-04,81.5
2025-03-03,81.24
2025-02-28,81.52
2025-02-27,82.3
2025-02-26,82.56
2025-02-25,83.1
2025-02-24,82.3
2025-02-21,82.02
2025-02-20,81.4
2025-02-19,79.9
2025-02-18,80.2
2025-02-17,80
2025-02-14,80.5
2025-02-13,78.94
2025-02-12,82.3
2025-02-11,81.96
2025-02-10,81.82
2025-02-07,81.1
2025-02-06,81.52
2025-02-05,80.1
2025-02-04,79.08
2025-02-03,79.8
2025-01-31,80.86
2025-01-30,80.1
2025-01-29,79.52
2025-01-28,79.36
2025-01-27,78.26
2025-01-24,76.8
2025-01-23,75.72
2025-01-22,74.4
2025-01-21,75.04
2025-01-20,74.58
2025-01-17,74.64
2025-01-16,73.5
2025-01-15,73.34
2025-01-14,71.16
2025-01-13,71.32
2025-01-10,73.78
2025-01-09,74.2
2025-01-08,74.7
2025-01-07,75.3
2025-01-06,74.3
2025-01-03,73.74
2025-01-02,73.52
2024-12-31,72.72
2024-12-30,72.32
2024-12-27,72.28
2024-12-24,72.54
2024-12-23,71.28
2024-12-20,71.66
2024-12-19,70.96
2024-12-18,72.96
2024-12-17,72.78
2024-12-16,72.9
2024-12-13,73.94
2024-12-12,74.08
2024-12-11,73.96
2024-12-10,74.26
2024-12-09,76.6
2024-12-06,77.88
2024-12-05,77.38
2024-12-04,76.94
2024-12-03,75.84
2024-12-02,75.3
2024-11-29,77.56
2024-11-28,77.66
2024-11-27,76.9
2024-11-26,76.76
2024-11-25,77.62
2024-11-22,77.56
2024-11-21,75.2
2024-11-20,74.9
2024-11-19,74.34
2024-11-18,73.58
2024-11-15,74.42
2024-11-14,73.9
2024-11-13,72.18
2024-11-12,72.74
2024-11-11,74.1
2024-11-08,73.94
2024-11-07,72.72
2024-11-06,73
2024-11-05,74.32
2024-11-04,74.98
2024-11-01,75.24
2024-10-31,74.88
2024-10-30,75.76
2024-10-29,76.7
2024-10-28,77.9
2024-10-25,77.14
2024-10-24,77.28
2024-10-23,76.82
2024-10-22,76.44
2024-10-21,77.56
2024-10-18,78.56
2024-10-17,78.3
2024-10-16,78.54
2024-10-15,77.74
2024-10-14,76.84
2024-10-11,76.28
2024-10-10,74.72
2024-10-09,76.02
2024-10-08,74.6
2024-10-07,74.64
2024-10-04,76.24
2024-10-03,75.56
2024-10-02,76.68
2024-10-01,78.32
2024-09-30,78.6
2024-09-27,79
2024-09-26,79.1
2024-09-25,77.22
2024-09-24,76.74
2024-09-23,76.78
2024-09-20,76.4
2024-09-19,76.12
2024-09-18,77.64
2024-09-17,77.62
2024-09-16,77.5
2024-09-13,76.52
2024-09-12,75.72
2024-09-11,75.58
2024-09-10,76.52
2024-09-09,75.24
2024-09-06,75.68
2024-09-05,74.58
2024-09-04,72.58
2024-09-03,73.1
2024-09-02,74.04
2024-08-30,72.46
2024-08-29,71.44
2024-08-28,72.4
2024-08-27,72.52
2024-08-26,72.7
2024-08-23,71.8
2024-08-22,71
2024-08-21,70.56
2024-08-20,69.26
2024-08-19,68.72
2024-08-16,67.78
2024-08-15,67.86
2024-08-14,67.48
2024-08-13,67
2024-08-12,66.6
2024-08-09,67
2024-08-08,66.06
2024-08-07,66.72
2024-08-06,66.26
2024-08-05,65.72
2024-08-02,67.32
2024-08-01,68.92
2024-07-31,69.3
2024-07-30,69.28
2024-07-29,68.84
2024-07-26,67.64
2024-07-25,69.46
2024-07-24,71.86
2024-07-23,71.66
2024-07-22,72.84
2024-07-19,73.4
2024-07-18,76.78
2024-07-17,76.14
2024-07-16,76.62
2024-07-15,76.64
2024-07-12,76.32
2024-07-11,76.44
2024-07-10,75.62
2024-07-09,74.96
2024-07-08,75.88
2024-07-05,76.08
2024-07-04,76.18
2024-07-03,76.42
2024-07-02,75.18
2024-07-01,74.28
2024-06-28,73.52
2024-06-27,73.54
2024-06-26,72.7
2024-06-25,74.4
2024-06-24,74.6
2024-06-21,73.48
2024-06-20,74.04
2024-06-19,72.58
2024-06-18,72.36
2024-06-17,70.56
2024-06-14,72.5
2024-06-13,75.62
2024-06-12,76.46
2024-06-11,75.3
2024-06-10,78.52
2024-06-07,79.38
2024-06-06,80.16
2024-06-05,80.82
2024-06-04,80.94
2024-06-03,81.16
2024-05-31,80.66
2024-05-30,79.76
2024-05-29,78.8
2024-05-28,79.22
2024-05-27,79.2
2024-05-24,79.48
2024-05-23,79.24
2024-05-22,79.64
2024-05-21,79.2
2024-05-20,78.84
2024-05-17,79.58
2024-05-16,79.78
2024-05-15,80
2024-05-14,78.46
2024-05-13,79.52
2024-05-10,79.42
2024-05-09,79.42
2024-05-08,79.06
