"Date","Price"
2025-03-24,85.81406
2025-03-21,85.48462
2025-03-20,85.91056
2025-03-19,85.40018
2025-03-18,83.41553
2025-03-17,83.55323
2025-03-14,82.48484
2025-03-13,80.31322
2025-03-12,80.48043
2025-03-11,79.91586
2025-03-10,81.32964
2025-03-07,80.63267
2025-03-06,79.61471
2025-03-05,79.46222
2025-03-04,82.49858
2025-03-03,83.70985
2025-02-28,87.52525
2025-02-27,86.10551
2025-02-26,84.94234
2025-02-25,85.35517
2025-02-24,86.84236
2025-02-21,86.90624
2025-02-20,88.53084
2025-02-19,88.39577
2025-02-18,87.40188
2025-02-14,85.7238
2025-02-13,86.0445
2025-02-12,85.40188
2025-02-11,88.18867
2025-02-10,87.77153
2025-02-07,85.79733
2025-02-06,85.33577
2025-02-05,86.59309
2025-02-04,86.76882
2025-02-03,85.78794
2025-01-31,84.10749
2025-01-30,86.55083
2025-01-29,86.07619
2025-01-28,85.82662
2025-01-27,86.14739
2025-01-24,86.8709
2025-01-23,88.34803
2025-01-22,88.10598
2025-01-21,89.70348
2025-01-17,91.39189
2025-01-16,90.55065
2025-01-15,89.99611
2025-01-14,88.66641
2025-01-13,88.32453
2025-01-10,86.27623
2025-01-08,85.41626
2025-01-07,84.82685
2025-01-06,83.81787
2025-01-03,84.93882
2025-01-02,84.4228
2024-12-31,82.77128
2024-12-30,81.34501
2024-12-27,81.14384
2024-12-26,81.22359
2024-12-24,81.47079
2024-12-23,80.71745
2024-12-20,80.67888
2024-12-19,80.40919
2024-12-18,80.23866
2024-12-17,82.48571
2024-12-16,83.01779
2024-12-13,85.00381
2024-12-12,85.39187
2024-12-11,86.19375
2024-12-10,85.8706
2024-12-09,85.99413
2024-12-06,86.2667
2024-12-05,87.61355
2024-12-04,87.52966
2024-12-03,89.76161
2024-12-02,90.12204
2024-11-29,90.39553
2024-11-27,89.93949
2024-11-26,90.94556
2024-11-25,90.93076
2024-11-22,93.35829
2024-11-21,92.60107
2024-11-20,91.4736
2024-11-19,90.15123
2024-11-18,90.63356
2024-11-15,89.79998
2024-11-14,89.84752
2024-11-13,89.42189
2024-11-12,88.41331
2024-11-11,88.53413
2024-11-08,87.54319
2024-11-07,86.19158
2024-11-06,87.21917
2024-11-05,82.49771
2024-11-04,82.25732
2024-11-01,81.23846
2024-10-31,81.55957
2024-10-30,81.02338
2024-10-29,81.28817
2024-10-28,82.48567
2024-10-25,83.08191
2024-10-24,83.06355
2024-10-23,83.36582
2024-10-22,83.53072
2024-10-21,83.25169
2024-10-18,83.13242
2024-10-17,83.7321
2024-10-16,83.00515
2024-10-15,82.44261
2024-10-14,85.09448
2024-10-11,84.79671
2024-10-10,84.5773
2024-10-09,83.73241
2024-10-08,82.97194
2024-10-07,85.13292
2024-10-04,85.01825
2024-10-03,83.699
2024-10-02,82.12184
2024-10-01,81.23756
2024-09-30,78.75852
2024-09-27,78.18329
2024-09-26,76.5064
2024-09-25,78.27571
2024-09-24,79.66664
2024-09-23,80.10787
2024-09-20,79.4344
2024-09-19,79.74184
2024-09-18,79.02733
2024-09-17,78.90997
2024-09-16,77.78776
2024-09-13,77.21942
