"Date","AN167404.Corp"
2025-03-26,83.087
2025-03-25,83.041
2025-03-24,83.34
2025-03-21,83.611
2025-03-20,83.907
2025-03-19,83.56
2025-03-18,83.896
2025-03-17,84.307
2025-03-14,83.58
2025-03-13,84.113
2025-03-12,84.362
2025-03-11,83.787
2025-03-10,84.832
2025-03-07,85.039
2025-03-06,84.26
2025-03-05,86.122
2025-03-04,88.173
2025-03-03,88.092
2025-02-28,89.142
2025-02-27,88.906
2025-02-26,88.686
2025-02-25,88.097
2025-02-24,87.998
2025-02-21,87.513
2025-02-20,87.441
2025-02-19,87.336
2025-02-18,87.86
2025-02-17,87.677
2025-02-14,88.087
2025-02-13,88.471
2025-02-12,88.449
2025-02-11,88.524
2025-02-10,89.218
2025-02-07,89.794
2025-02-06,89.869
2025-02-05,90.398
2025-02-04,90.051
2025-02-03,91.107
2025-01-31,90.013
2025-01-30,89.798
2025-01-29,88.675
2025-01-28,88.347
2025-01-27,88.651
2025-01-24,88.188
2025-01-23,88.438
2025-01-22,89.155
2025-01-21,89.043
2025-01-20,88.869
2025-01-17,89.056
2025-01-16,87.887
2025-01-15,87.827
2025-01-14,86.558
2025-01-13,86.783
2025-01-10,87.393
2025-01-09,87.949
2025-01-08,87.363
2025-01-07,87.589
2025-01-03,88.654
2025-01-02,89.324
2024-12-30,87.46
2024-12-27,87.589
2024-12-23,89.189
2024-12-20,89.342
2024-12-19,89.112
2024-12-18,90.812
2024-12-17,90.99
2024-12-16,91.172
2024-12-13,91.884
2024-12-12,92.484
2024-12-11,93.762
2024-12-10,93.623
2024-12-09,93.851
2024-12-06,93.713
2024-12-05,93.926
2024-12-04,94.455
2024-12-03,95.296
2024-12-02,94.985
2024-11-29,94.632
2024-11-28,93.908
2024-11-27,94.053
2024-11-26,93.375
2024-11-25,93.054
2024-11-22,92.186
2024-11-21,91.496
2024-11-20,91.363
2024-11-19,91.793
2024-11-18,92.13
2024-11-15,92.333
2024-11-14,91.942
2024-11-13,91.668
2024-11-12,91.908
2024-11-11,91.573
2024-11-08,90.932
2024-11-07,90.383
2024-11-06,90.807
2024-11-05,90.957
2024-11-04,91.619
2024-11-01,91.786
2024-10-31,91.642
2024-10-30,91.717
2024-10-29,91.739
2024-10-28,91.757
2024-10-25,91.35
2024-10-24,91.553
2024-10-23,91.198
2024-10-22,90.925
2024-10-21,92.001
2024-10-18,92.775
2024-10-17,93.124
2024-10-16,92.884
2024-10-15,92.239
2024-10-14,91.44
2024-10-11,91.046
2024-10-10,90.365
2024-10-09,90.398
2024-10-08,90.659
2024-10-07,92.168
2024-10-04,92.428
2024-10-03,93.946
2024-10-02,94.788
2024-10-01,94.778
2024-09-30,93.683
2024-09-27,94.013
2024-09-26,93.965
2024-09-25,93.654
2024-09-24,94.402
2024-09-23,94.588
2024-09-20,94.145
2024-09-19,94.435
2024-09-18,94.422
2024-09-17,95.404
2024-09-16,95.294
2024-09-13,95.677
2024-09-12,95.889
2024-09-11,96.308
2024-09-10,95.478
2024-09-09,95.076
2024-09-06,95.058
2024-09-05,94.857
2024-09-04,94.425
2024-09-03,93.957
2024-09-02,93.056
2024-08-30,94.086
2024-08-29,94.032
2024-08-28,94.588
2024-08-27,94.404
2024-08-26,95.203
2024-08-23,95.409
2024-08-22,95.687
2024-08-21,96.155
2024-08-20,95.751
2024-08-19,95.903
2024-08-16,95.228
2024-08-15,95.113
2024-08-14,95.968
2024-08-13,96.179
2024-08-12,94.64
2024-08-09,94.916
2024-08-08,94.241
2024-08-07,94.327
2024-08-06,95.628
2024-08-05,95.656
2024-08-02,95.435
2024-08-01,94.966
2024-07-31,94
2024-07-30,93.777
2024-07-29,94.005
2024-07-26,92.803
2024-07-25,92.977
2024-07-24,93.199
2024-07-23,93.577
2024-07-22,93.252
2024-07-19,92.994
2024-07-18,93.89
2024-07-17,93.292
2024-07-16,93.259
2024-07-15,92.792
2024-07-12,92.419
2024-07-11,91.936
2024-07-10,90.955
2024-07-09,90.273
2024-07-08,90.206
2024-07-05,90.113
2024-07-04,89.732
2024-07-03,89.675
2024-07-02,89.583
