Date;Price
24.03.2025;65,81941
21.03.2025;65,90594
20.03.2025;65,76302
19.03.2025;65,96136
18.03.2025;64,73973
17.03.2025;65,13652
14.03.2025;64,64804
13.03.2025;63,8047
12.03.2025;63,73888
11.03.2025;62,42912
10.03.2025;63,41644
07.03.2025;64,71456
06.03.2025;64,47161
05.03.2025;65,04404
04.03.2025;65,11098
03.03.2025;65,97083
28.02.2025;65,85554
27.02.2025;66,30153
26.02.2025;66,24416
25.02.2025;66,1493
24.02.2025;65,67364
21.02.2025;66,03269
20.02.2025;66,4601
19.02.2025;66,878
18.02.2025;67,10703
14.02.2025;66,02265
13.02.2025;66,43008
12.02.2025;65,24074
11.02.2025;66,44114
10.02.2025;66,6699
07.02.2025;66,34373
06.02.2025;66,86579
05.02.2025;66,33397
04.02.2025;65,78973
03.02.2025;65,81712
31.01.2025;65,55662
30.01.2025;66,35308
29.01.2025;65,34881
28.01.2025;65,50633
27.01.2025;64,58194
24.01.2025;65,15079
23.01.2025;64,98658
22.01.2025;64,55793
21.01.2025;64,60992
17.01.2025;64,37117
16.01.2025;63,95067
15.01.2025;64,42738
14.01.2025;63,46229
13.01.2025;64,02427
10.01.2025;63,67984
08.01.2025;65,1077
07.01.2025;64,88859
06.01.2025;64,91144
03.01.2025;65,33307
02.01.2025;65,28008
31.12.2024;64,83718
30.12.2024;64,6142
27.12.2024;64,99376
26.12.2024;64,56012
24.12.2024;63,96188
23.12.2024;63,94499
20.12.2024;63,48643
19.12.2024;64,07064
18.12.2024;63,179
17.12.2024;64,64762
16.12.2024;65,81676
13.12.2024;66,25381
12.12.2024;67,01267
11.12.2024;67,76316
10.12.2024;66,67935
09.12.2024;66,67928
06.12.2024;67,36802
05.12.2024;67,20288
04.12.2024;67,52396
03.12.2024;67,95517
02.12.2024;67,25782
29.11.2024;65,94436
27.11.2024;64,18306
26.11.2024;65,01433
25.11.2024;65,2489
22.11.2024;65,21739
21.11.2024;64,33066
20.11.2024;63,8815
19.11.2024;64,06427
18.11.2024;64,09215
15.11.2024;63,97763
14.11.2024;64,22957
13.11.2024;64,0931
12.11.2024;64,57999
11.11.2024;65,35825
08.11.2024;64,83332
07.11.2024;64,76631
06.11.2024;64,67792
05.11.2024;63,19305
04.11.2024;62,48508
01.11.2024;62,73533
31.10.2024;62,66802
30.10.2024;62,96705
29.10.2024;63,26115
28.10.2024;62,60403
25.10.2024;62,23045
24.10.2024;62,17741
23.10.2024;61,8862
22.10.2024;62,97187
21.10.2024;63,74896
18.10.2024;64,53483
17.10.2024;64,44342
16.10.2024;64,52889
15.10.2024;64,01286
14.10.2024;65,2816
11.10.2024;64,91549
10.10.2024;65,01009
09.10.2024;64,78706
08.10.2024;64,92347
07.10.2024;64,67589
04.10.2024;65,58394
03.10.2024;64,32457
02.10.2024;64,47904
01.10.2024;64,80912
30.09.2024;64,17295
27.09.2024;63,73745
26.09.2024;65,35052
25.09.2024;63,71801
24.09.2024;63,69746
23.09.2024;64,44944
20.09.2024;63,78199
19.09.2024;63,84905
18.09.2024;62,37864
17.09.2024;62,69449
16.09.2024;63,38395
13.09.2024;63,03681
12.09.2024;63,59768
11.09.2024;63,14452
10.09.2024;62,70064
09.09.2024;62,74776
06.09.2024;61,46971
05.09.2024;63,57986
04.09.2024;63,29274
03.09.2024;64,21777
30.08.2024;65,13122
29.08.2024;64,55513
28.08.2024;64,25551
27.08.2024;64,23966
26.08.2024;63,58428
23.08.2024;64,37265
22.08.2024;63,28533
21.08.2024;63,54746
20.08.2024;62,99595
19.08.2024;63,53621
16.08.2024;63,04071
15.08.2024;62,86209
14.08.2024;61,45398
13.08.2024;61,62049
12.08.2024;60,17578
09.08.2024;59,86812
08.08.2024;60,06967
07.08.2024;58,75298
06.08.2024;57,75988
05.08.2024;57,87409
02.08.2024;59,2467
01.08.2024;62,62748
31.07.2024;65,65825
30.07.2024;63,75069
29.07.2024;63,6204
26.07.2024;63,22135
25.07.2024;62,40103
24.07.2024;63,45959
23.07.2024;64,71943
22.07.2024;64,57836
19.07.2024;64,27193
18.07.2024;64,49249
17.07.2024;65,39799
16.07.2024;66,02994
15.07.2024;65,15679
12.07.2024;65,47455
11.07.2024;65,34462
10.07.2024;65,83541
09.07.2024;64,75486
08.07.2024;64,27253
05.07.2024;64,62221
03.07.2024;64,36643
02.07.2024;64,16325
01.07.2024;63,17212
28.06.2024;63,68048
27.06.2024;63,18296
26.06.2024;63,01254
25.06.2024;63,1107
24.06.2024;61,99664
21.06.2024;61,73775
20.06.2024;62,09022
18.06.2024;62,07282
17.06.2024;62,10723
14.06.2024;62,73245
13.06.2024;62,5524
12.06.2024;63,06713
11.06.2024;63,38828
10.06.2024;64,47833
07.06.2024;63,60944
06.06.2024;63,62801
05.06.2024;63,77025
04.06.2024;63,86029
03.06.2024;63,75746
31.05.2024;63,5844
30.05.2024;62,78598
29.05.2024;62,37981
28.05.2024;63,31034
24.05.2024;63,11423
23.05.2024;62,59937
22.05.2024;62,73172
21.05.2024;63,4052
20.05.2024;63,70329
17.05.2024;63,23489
16.05.2024;62,78856
15.05.2024;63,43819
14.05.2024;63,05815
13.05.2024;62,7015
10.05.2024;63,05679
09.05.2024;63,41871
08.05.2024;63,31658
07.05.2024;63,98329
06.05.2024;64,66493
03.05.2024;64,34411
02.05.2024;63,88915
01.05.2024;62,88418
30.04.2024;62,99279
29.04.2024;63,15495
26.04.2024;62,76765
25.04.2024;62,02591
24.04.2024;63,24011
23.04.2024;62,91589
22.04.2024;63,07635
19.04.2024;62,40849
18.04.2024;62,78982
17.04.2024;62,99531
16.04.2024;63,82118
15.04.2024;64,65777
12.04.2024;64,89382
11.04.2024;65,30136
10.04.2024;64,6237
09.04.2024;64,9286
08.04.2024;64,71889
05.04.2024;64,47951
04.04.2024;64,15876
03.04.2024;64,99862
02.04.2024;64,93314
01.04.2024;65,4559
28.03.2024;66,08929
27.03.2024;66,18911
26.03.2024;65,82956
25.03.2024;65,50706
22.03.2024;66,46308
21.03.2024;66,15399
20.03.2024;65,78608
19.03.2024;65,27982
18.03.2024;65,00138
15.03.2024;63,91951
14.03.2024;63,43345
13.03.2024;63,31113
12.03.2024;64,09012
11.03.2024;63,70709
08.03.2024;65,06993
07.03.2024;65,22812
06.03.2024;65,46505
05.03.2024;64,73297
04.03.2024;64,39492
01.03.2024;64,89205
29.02.2024;64
28.02.2024;63,3604
27.02.2024;63,75449
26.02.2024;63,62379
23.02.2024;63,75058
22.02.2024;63,67837
21.02.2024;62,72206
20.02.2024;62,82834
16.02.2024;62,74819
15.02.2024;62,85077
14.02.2024;62,43593
13.02.2024;62,28651
12.02.2024;62,11278
09.02.2024;61,77452
08.02.2024;61,62629
07.02.2024;61,83
06.02.2024;61,55706
05.02.2024;61,63516
02.02.2024;61,6747
01.02.2024;61,54695
31.01.2024;61,02304
30.01.2024;60,82664
29.01.2024;61,20052
26.01.2024;60,18962
25.01.2024;60,82303
24.01.2024;60,67859
23.01.2024;61,01366
22.01.2024;61,19677
19.01.2024;60,51423
18.01.2024;60,52486
17.01.2024;59,92454
16.01.2024;60,70146
12.01.2024;60,66667
11.01.2024;60,08584
10.01.2024;59,46932
09.01.2024;58,59704
08.01.2024;58,78705
05.01.2024;58,03947
04.01.2024;57,58904
03.01.2024;57,95361
02.01.2024;58,04036
29.12.2023;57,9718
28.12.2023;57,82915
27.12.2023;57,32553
26.12.2023;57,372
22.12.2023;57,48911
21.12.2023;57,46405
20.12.2023;56,6253
19.12.2023;57,62187
18.12.2023;57,69583
15.12.2023;57,90101
14.12.2023;57,90095
13.12.2023;59,35645
12.12.2023;58,44457
11.12.2023;58,76768
08.12.2023;58,36742
07.12.2023;58,39652
06.12.2023;58,12465
05.12.2023;57,4685
04.12.2023;57,50046
01.12.2023;58,08675
30.11.2023;57,49311
29.11.2023;56,93331
28.11.2023;56,93092
27.11.2023;57,21602
24.11.2023;57,22512
22.11.2023;57,44094
21.11.2023;56,86292
20.11.2023;57,01225
17.11.2023;57,25436
16.11.2023;56,52855
15.11.2023;56,36632
14.11.2023;56,69089
13.11.2023;56,50711
10.11.2023;56,62515
09.11.2023;55,94582
08.11.2023;55,69668
07.11.2023;56,79498
06.11.2023;57,00447
03.11.2023;57,74425
02.11.2023;57,34851
01.11.2023;56,92454
31.10.2023;55,75414
30.10.2023;54,89586
27.10.2023;54,63479
26.10.2023;54,45911
25.10.2023;54,96927
24.10.2023;55,12421
23.10.2023;54,37412
20.10.2023;54,89141
19.10.2023;55,22318
18.10.2023;55,94572
17.10.2023;56,60681
16.10.2023;56,67014
13.10.2023;56,69426
12.10.2023;57,19026
11.10.2023;56,73612
10.10.2023;56,82396
09.10.2023;56,5205
06.10.2023;56,13007
05.10.2023;56,21678
04.10.2023;55,26065
03.10.2023;56,13649
02.10.2023;56,98351
29.09.2023;56,99565
28.09.2023;57,91817
27.09.2023;58,10721
26.09.2023;57,49834
25.09.2023;58,2869
22.09.2023;57,9955
21.09.2023;57,83596
20.09.2023;58,31393
19.09.2023;59,38231
18.09.2023;59,0535
15.09.2023;59,02361
14.09.2023;59,47976
13.09.2023;57,98343
12.09.2023;58,10874
11.09.2023;57,9667
08.09.2023;57,55255
07.09.2023;58,13714
06.09.2023;58,04496
05.09.2023;57,84716
01.09.2023;57,52967
31.08.2023;56,86871
30.08.2023;55,82098
29.08.2023;56,24597
28.08.2023;56,1436
25.08.2023;55,54835
24.08.2023;55,13354
23.08.2023;55,64761
22.08.2023;54,98618
21.08.2023;54,4579
18.08.2023;54,55716
17.08.2023;54,39419
16.08.2023;54,57886
15.08.2023;55,11083
14.08.2023;55,6552
11.08.2023;56,06102
10.08.2023;55,81585
09.08.2023;55,75697
08.08.2023;56,403
07.08.2023;56,63122
04.08.2023;55,99057
03.08.2023;55,85577
02.08.2023;56,15012
01.08.2023;57,11812
31.07.2023;57,61788
28.07.2023;57,77254
27.07.2023;57,63421
26.07.2023;56,74675
25.07.2023;56,67452
24.07.2023;56,39776
21.07.2023;56,10392
20.07.2023;56,16685
19.07.2023;56,57613
18.07.2023;56,45118
17.07.2023;55,59512
14.07.2023;55,53875
13.07.2023;56,38051
12.07.2023;55,91987
11.07.2023;56,18468
10.07.2023;56,01056
07.07.2023;56,17937
06.07.2023;55,89074
05.07.2023;56,69828
03.07.2023;56,87981
30.06.2023;56,69537
29.06.2023;56,58173
28.06.2023;56,65842
27.06.2023;55,78976
26.06.2023;55,83463
23.06.2023;55,9526
22.06.2023;57,00593
21.06.2023;57,39677
20.06.2023;57,01328
16.06.2023;57,7099
15.06.2023;58,21455
14.06.2023;58,73688
13.06.2023;58,79467
12.06.2023;58,24728
09.06.2023;57,88984
08.06.2023;57,04219
07.06.2023;57,04667
06.06.2023;58,98204
05.06.2023;57,67364
02.06.2023;57,88982
01.06.2023;56,53346
31.05.2023;55,78116
30.05.2023;55,83434
26.05.2023;56,20336
25.05.2023;56,05339
24.05.2023;55,5132
23.05.2023;56,0509
22.05.2023;56,642
19.05.2023;56,3349
18.05.2023;56,54557
17.05.2023;56,12433
16.05.2023;55,61793
15.05.2023;55,66688
12.05.2023;55,47365
11.05.2023;54,83753
10.05.2023;54,45761
09.05.2023;54,80602
08.05.2023;53,86778
05.05.2023;53,9612
04.05.2023;53,27891
03.05.2023;53,07323
02.05.2023;52,98182
01.05.2023;53,58315
28.04.2023;53,34059
27.04.2023;53,8741
26.04.2023;52,85753
25.04.2023;53,4008
24.04.2023;53,45296
21.04.2023;53,74806
20.04.2023;53,50597
19.04.2023;53,33759
18.04.2023;53,74658
17.04.2023;53,71151
14.04.2023;53,23374
13.04.2023;53,25615
12.04.2023;52,81011
11.04.2023;53,10579
10.04.2023;53,18031
06.04.2023;52,87178
05.04.2023;53,28072
04.04.2023;53,84615
03.04.2023;54,14639
31.03.2023;53,99761
30.03.2023;53,16827
29.03.2023;53,29701
28.03.2023;53,02527
27.03.2023;53,17394
24.03.2023;53,08493
23.03.2023;52,40593
22.03.2023;52,53358
21.03.2023;52,83352
20.03.2023;52,74356
17.03.2023;52,19713
16.03.2023;52,92674
15.03.2023;52,0413
14.03.2023;52,25007
13.03.2023;52,37474
10.03.2023;53,21961
09.03.2023;54,33488
08.03.2023;54,59459
07.03.2023;53,81849
06.03.2023;53,70145
03.03.2023;54,00471
02.03.2023;53,01512
01.03.2023;52,53633
28.02.2023;52,74373
27.02.2023;52,9667
24.02.2023;52,73537
23.02.2023;53,33963
22.02.2023;52,59691
21.02.2023;52,82806
17.02.2023;53,39451
16.02.2023;53,34331
15.02.2023;53,65145
14.02.2023;53,8777
13.02.2023;54,19854
10.02.2023;54,48069
09.02.2023;53,76314
08.02.2023;53,81245
07.02.2023;54,24217
06.02.2023;53,70111
03.02.2023;53,6351
02.02.2023;53,83628
01.02.2023;53,96956
31.01.2023;53,99908
30.01.2023;53,8497
27.01.2023;54,12717
26.01.2023;53,98988
25.01.2023;53,93155
24.01.2023;53,36273
23.01.2023;53,10688
20.01.2023;53,34747
19.01.2023;52,88462
18.01.2023;53,01037
17.01.2023;53,1534
13.01.2023;52,42889
12.01.2023;52,10618
11.01.2023;51,36317
10.01.2023;51,01546
09.01.2023;51,06047
06.01.2023;51,48524
05.01.2023;50,74074
04.01.2023;51,06062
03.01.2023;51,86801
30.12.2022;50,82625
29.12.2022;51,36679
28.12.2022;50,6821
27.12.2022;51,25024
23.12.2022;51,56765
22.12.2022;51,70524
21.12.2022;51,77813
20.12.2022;51,78521
19.12.2022;51,01176
16.12.2022;51,438
15.12.2022;51,42938
14.12.2022;52,45024
13.12.2022;52,68017
12.12.2022;52,44921
09.12.2022;52,39901
08.12.2022;52,24772
07.12.2022;52,05362
06.12.2022;52,07976
05.12.2022;52,17723
02.12.2022;53,13509
01.12.2022;53,46403
30.11.2022;54,09598
29.11.2022;53,37524
28.11.2022;53,5487
25.11.2022;53,77667
23.11.2022;53,62794
22.11.2022;53,37024
21.11.2022;52,575
18.11.2022;52,49202
17.11.2022;52,42512
16.11.2022;52,34977
15.11.2022;52,52768
14.11.2022;52,42841
11.11.2022;53,12319
10.11.2022;53,11052
09.11.2022;50,88262
08.11.2022;51,44726
07.11.2022;51,0477
04.11.2022;51,26474
03.11.2022;51,19524
02.11.2022;50,64777
01.11.2022;50,97146
31.10.2022;50,56134
28.10.2022;50,58859
27.10.2022;49,85969
26.10.2022;50
25.10.2022;50,32148
24.10.2022;49,60997
21.10.2022;50,09655
20.10.2022;49,41344
19.10.2022;49,64161
18.10.2022;49,49269
17.10.2022;49,75099
14.10.2022;49,86623
13.10.2022;50,30179
12.10.2022;50,33044
11.10.2022;50,28162
10.10.2022;51,18655
07.10.2022;51,02961
06.10.2022;51,33123
