"Data","Ultimo","Apertura","Massimo","Minimo","Vol.","Var. %"
"24.03.2025","14,52","14,52","14,52","14,52","0,19K","0,86%"
"21.03.2025","14,40","14,43","14,43","14,43","0,04K","-0,79%"
"20.03.2025","14,51","14,45","14,45","14,45","0,36K","-0,14%"
"19.03.2025","14,53","14,49","14,53","14,49","0,97K","1,17%"
"18.03.2025","14,36","14,39","14,43","14,36","5,69K","-0,35%"
"17.03.2025","14,41","14,41","14,41","14,41","3,86K","1,04%"
"14.03.2025","14,26","14,14","14,14","14,14","0,06K","0,81%"
"13.03.2025","14,15","14,18","14,20","14,15","0,26K","-0,73%"
"12.03.2025","14,25","14,19","14,25","14,18","8,13K","0,98%"
"11.03.2025","14,12","14,39","14,39","14,12","0,75K","-2,42%"
"10.03.2025","14,47","14,51","14,51","14,42","0,42K","-0,14%"
"07.03.2025","14,49","14,55","14,55","14,51","1,99K","-1,23%"
"06.03.2025","14,67","14,64","14,67","14,54","34,84K","0,91%"
"05.03.2025","14,53","14,53","14,53","14,53","0,27K","0,75%"
"04.03.2025","14,43","14,81","14,81","14,43","0,92K","-4,04%"
"03.03.2025","15,03","15,09","15,09","15,02","0,60K","0,36%"
"28.02.2025","14,98","14,92","14,98","14,91","10,53K","-0,70%"
"27.02.2025","15,09","15,07","15,10","15,07","0,38K","0,15%"
"26.02.2025","15,06","14,98","15,06","14,98","3,47K","1,52%"
"25.02.2025","14,84","14,89","14,93","14,84","2,36K","-1,22%"
"24.02.2025","15,02","15,02","15,02","15,02","1,53K","-1,47%"
"21.02.2025","15,25","15,38","15,38","15,25","0,17K","-0,37%"
"20.02.2025","15,30","15,43","15,43","15,43","0,00K","-0,36%"
"19.02.2025","15,36","15,42","15,42","15,32","6,38K","-0,39%"
"18.02.2025","15,42","15,40","15,41","15,40","0,58K","0,51%"
"17.02.2025","15,34","15,34","15,34","15,34","0,05K","0,78%"
"14.02.2025","15,22","15,28","15,28","15,22","0,83K","-0,21%"
"13.02.2025","15,25","15,22","15,22","15,22","0,01K","0,93%"
"12.02.2025","15,11","15,11","15,11","15,11","11,23K","-1,16%"
"11.02.2025","15,29","15,25","15,28","15,25","4,42K","0,51%"
"10.02.2025","15,21","15,19","15,21","15,18","3,40K","0,70%"
"07.02.2025","15,11","15,09","15,09","15,09","0,04K","-0,13%"
"06.02.2025","15,13","15,03","15,11","15,03","1,10K","1,48%"
"05.02.2025","14,91","14,87","14,92","14,87","1,90K","-0,27%"
"04.02.2025","14,95","14,87","14,95","14,87","4,91K","-0,59%"
"03.02.2025","15,04","14,94","15,04","14,85","0,65K","-0,83%"
"31.01.2025","15,16","15,22","15,22","15,17","1,04K","0,46%"
"30.01.2025","15,09","15,11","15,11","15,05","0,15K","0,47%"
