"Data","Ultimo","Apertura","Massimo","Minimo","Vol.","Var. %"
"02.01.2015","68,750","69,600","70,000","68,160","2,78M","-0,32%"
"05.01.2015","66,170","68,260","68,850","65,980","4,53M","-3,75%"
"06.01.2015","66,610","66,400","68,040","65,570","4,33M","0,66%"
"07.01.2015","67,130","67,250","68,150","66,760","3,39M","0,78%"
"08.01.2015","70,070","68,220","70,160","67,810","5,01M","4,38%"
"09.01.2015","69,420","69,580","71,050","69,010","5,37M","-0,93%"
"12.01.2015","71,000","69,800","71,260","69,390","4,41M","2,28%"
"13.01.2015","72,270","70,810","72,850","70,760","4,82M","1,79%"
"14.01.2015","71,300","71,100","72,700","70,890","4,86M","-1,34%"
"15.01.2015","72,930","72,200","73,330","70,030","6,18M","2,29%"
"16.01.2015","74,380","72,640","74,700","72,400","6,32M","1,99%"
"19.01.2015","74,730","74,950","75,470","74,440","3,75M","0,47%"
"20.01.2015","74,930","74,990","75,450","74,160","4,59M","0,27%"
"21.01.2015","74,920","74,930","75,370","73,900","5,89M","-0,01%"
"22.01.2015","77,270","75,000","77,710","74,430","7,09M","3,14%"
"23.01.2015","79,660","77,750","80,330","77,720","9,14M","3,09%"
"26.01.2015","81,050","79,170","81,300","79,150","4,79M","1,74%"
"27.01.2015","78,630","80,350","81,000","78,270","6,14M","-2,99%"
"28.01.2015","79,910","79,500","79,960","78,650","4,47M","1,63%"
"29.01.2015","80,290","79,380","80,540","78,720","4,00M","0,48%"
"30.01.2015","80,480","80,990","80,990","79,740","4,83M","0,24%"
"02.02.2015","81,210","80,660","81,330","80,010","4,08M","0,91%"
"03.02.2015","82,150","81,700","83,850","81,410","6,08M","1,16%"
"04.02.2015","82,630","82,500","82,870","81,230","4,47M","0,58%"
"05.02.2015","82,780","81,700","84,690","81,300","6,02M","0,18%"
"06.02.2015","82,350","82,950","83,000","81,850","3,39M","-0,52%"
"09.02.2015","80,640","81,810","81,810","79,780","5,01M","-2,08%"
"10.02.2015","82,160","80,690","82,410","80,260","4,17M","1,88%"
"11.02.2015","82,440","82,500","82,650","81,770","2,44M","0,34%"
"12.02.2015","83,140","82,700","83,860","82,410","4,45M","0,85%"
"13.02.2015","83,190","83,500","83,980","82,780","3,97M","0,06%"
"16.02.2015","82,830","82,750","83,220","82,550","1,74M","-0,43%"
"17.02.2015","82,440","82,100","82,980","81,320","2,95M","-0,47%"
"18.02.2015","83,630","83,210","83,690","82,740","2,52M","1,44%"
"19.02.2015","84,080","83,210","84,220","82,680","3,25M","0,54%"
"20.02.2015","84,780","83,810","85,290","83,680","6,49M","0,83%"
"23.02.2015","84,970","85,620","85,740","84,550","2,63M","0,22%"
"24.02.2015","85,220","85,000","85,410","84,060","2,95M","0,29%"
"25.02.2015","85,020","85,510","85,650","84,350","3,36M","-0,23%"
"26.02.2015","85,550","85,040","85,590","84,450","2,99M","0,62%"
"27.02.2015","86,510","85,450","86,510","85,270","4,45M","1,12%"
"02.03.2015","86,670","86,790","87,060","86,130","3,30M","0,18%"
"03.03.2015","85,600","86,700","87,370","85,550","3,10M","-1,23%"
"04.03.2015","87,990","86,120","87,990","85,640","3,85M","2,79%"
"05.03.2015","89,150","88,380","89,510","88,260","3,99M","1,32%"
"06.03.2015","89,920","89,500","90,510","88,940","3,33M","0,86%"
"09.03.2015","90,140","89,670","90,240","89,080","2,74M","0,24%"
"10.03.2015","88,700","90,060","90,290","88,110","4,20M","-1,60%"
"11.03.2015","92,070","89,670","92,120","89,370","4,66M","3,80%"
"12.03.2015","92,650","92,290","93,130","91,770","4,12M","0,63%"
"13.03.2015","93,100","93,360","93,440","91,590","3,66M","0,49%"
"16.03.2015","95,790","93,400","96,070","93,270","4,81M","2,89%"
"17.03.2015","91,710","94,920","95,500","91,310","6,97M","-4,26%"
"18.03.2015","89,910","92,120","92,510","88,740","6,83M","-1,96%"
"19.03.2015","90,250","89,960","90,810","89,020","5,12M","0,38%"
"20.03.2015","91,510","90,660","91,940","90,290","8,55M","1,40%"
"23.03.2015","88,700","91,400","91,410","88,490","4,89M","-3,07%"
"24.03.2015","88,430","88,300","89,210","86,700","7,46M","-0,30%"
"25.03.2015","87,600","88,550","89,800","87,420","4,49M","-0,94%"
"26.03.2015","88,720","86,250","88,720","84,650","6,81M","1,28%"
"27.03.2015","88,470","89,760","90,540","87,720","4,76M","-0,28%"
"30.03.2015","90,860","89,280","90,880","89,080","3,90M","2,70%"
"31.03.2015","89,730","90,850","90,860","88,870","4,95M","-1,24%"
"01.04.2015","90,150","89,700","90,570","88,680","7,24M","0,47%"
"02.04.2015","87,700","87,970","88,340","87,320","4,29M","-2,72%"
"07.04.2015","87,090","88,370","88,540","86,550","4,34M","-0,70%"
"08.04.2015","85,930","86,170","86,380","85,390","4,20M","-1,33%"
"09.04.2015","87,290","86,260","87,290","85,940","3,64M","1,58%"
"10.04.2015","88,650","87,890","89,040","87,300","3,81M","1,56%"
"13.04.2015","88,170","88,490","89,180","88,010","2,57M","-0,54%"
"14.04.2015","86,930","87,760","88,160","86,440","3,51M","-1,41%"
"15.04.2015","87,350","87,170","88,140","86,980","3,13M","0,48%"
"16.04.2015","86,850","88,000","88,200","86,770","3,86M","-0,57%"
"17.04.2015","84,810","86,560","87,600","84,650","5,69M","-2,35%"
"20.04.2015","86,620","85,330","86,810","85,010","3,40M","2,13%"
"21.04.2015","87,280","87,520","88,600","87,230","4,43M","0,76%"
"22.04.2015","87,490","88,240","89,090","86,530","4,21M","0,24%"
"23.04.2015","86,190","87,930","88,500","85,780","4,34M","-1,49%"
"24.04.2015","87,160","87,110","88,140","85,950","3,31M","1,13%"
"27.04.2015","89,550","88,150","89,900","87,310","5,49M","2,74%"
"28.04.2015","88,930","92,100","92,700","88,180","6,52M","-0,69%"
"29.04.2015","86,140","90,200","90,500","85,980","5,76M","-3,14%"
"30.04.2015","86,330","86,270","87,310","84,740","5,24M","0,22%"
"04.05.2015","87,550","87,070","88,090","86,150","3,02M","1,41%"
"05.05.2015","85,250","87,180","88,970","85,120","4,70M","-2,63%"
"06.05.2015","84,670","85,700","86,380","83,000","5,16M","-0,68%"
"07.05.2015","85,250","84,250","85,570","83,320","4,25M","0,69%"
"08.05.2015","88,070","86,140","88,070","85,260","4,21M","3,31%"
"11.05.2015","88,060","88,220","88,220","87,150","2,39M","-0,01%"
"12.05.2015","85,680","87,000","87,070","84,920","3,94M","-2,70%"
"13.05.2015","84,360","85,930","86,650","83,940","3,54M","-1,54%"
"14.05.2015","86,570","83,800","86,710","83,080","3,07M","2,62%"
"15.05.2015","85,030","87,060","87,210","84,620","4,53M","-1,78%"
"18.05.2015","86,470","85,000","86,730","84,670","3,00M","1,69%"
"19.05.2015","89,370","87,500","89,620","87,500","5,80M","3,35%"
"20.05.2015","89,710","89,400","90,000","88,970","2,74M","0,38%"
"21.05.2015","89,970","89,600","90,050","88,840","2,40M","0,29%"
"22.05.2015","89,700","89,730","90,220","89,130","2,46M","-0,30%"
"26.05.2015","88,460","90,000","91,000","87,960","3,74M","-1,38%"
"27.05.2015","89,210","88,450","89,570","87,710","3,56M","0,85%"
"28.05.2015","87,580","88,390","88,870","86,830","3,27M","-1,83%"
"29.05.2015","85,280","87,800","87,980","85,240","4,49M","-2,63%"
"01.06.2015","85,740","86,200","86,810","85,080","3,26M","0,54%"
"02.06.2015","83,660","86,160","86,160","83,300","4,65M","-2,43%"
"03.06.2015","83,800","83,880","84,670","83,100","4,56M","0,17%"
"04.06.2015","82,940","83,310","83,370","81,340","4,74M","-1,03%"
"05.06.2015","81,850","82,050","82,600","81,110","3,92M","-1,31%"
"08.06.2015","80,280","81,740","82,140","79,750","3,86M","-1,92%"
"09.06.2015","80,850","79,950","80,980","79,030","4,55M","0,71%"
"10.06.2015","83,510","80,880","84,150","80,320","4,67M","3,29%"
"11.06.2015","84,620","83,620","85,680","83,180","5,17M","1,33%"
"12.06.2015","84,150","84,000","85,860","83,070","4,28M","-0,56%"
"15.06.2015","82,250","82,540","83,220","81,630","3,59M","-2,26%"
"16.06.2015","82,800","81,490","83,070","80,340","3,98M","0,67%"
"17.06.2015","81,570","83,190","83,230","81,190","3,59M","-1,49%"
"18.06.2015","81,660","81,100","81,690","79,560","5,07M","0,11%"
"19.06.2015","81,600","81,920","83,500","81,490","10,17M","-0,07%"
"22.06.2015","85,480","84,790","85,710","83,660","5,90M","4,75%"
"23.06.2015","86,740","86,630","87,630","86,010","4,47M","1,47%"
"24.06.2015","85,850","86,760","86,990","84,430","4,20M","-1,03%"
"25.06.2015","86,310","85,000","87,200","84,680","2,72M","0,54%"
"26.06.2015","86,610","85,900","87,320","85,340","2,92M","0,35%"
"29.06.2015","82,810","81,800","84,690","81,600","6,22M","-4,39%"
"30.06.2015","81,640","82,730","83,770","81,210","7,02M","-1,41%"
"01.07.2015","84,100","83,500","85,290","82,790","5,70M","3,01%"
"02.07.2015","82,980","84,500","84,570","82,670","2,87M","-1,33%"
"03.07.2015","82,750","83,040","83,470","82,120","2,66M","-0,28%"
"06.07.2015","82,030","81,100","82,930","81,050","4,58M","-0,87%"
"07.07.2015","79,670","82,000","82,200","79,340","5,27M","-2,88%"
"08.07.2015","79,130","79,330","79,980","77,250","6,51M","-0,68%"
"09.07.2015","80,990","79,760","81,550","79,520","3,68M","2,35%"
"10.07.2015","82,920","83,150","83,200","81,850","4,73M","2,38%"
"13.07.2015","83,530","84,400","84,630","82,580","4,87M","0,74%"
"14.07.2015","83,330","83,310","83,330","81,670","3,67M","-0,24%"
"15.07.2015","83,290","83,050","83,960","82,420","2,88M","-0,05%"
"16.07.2015","85,080","84,120","85,980","83,570","4,42M","2,15%"
"17.07.2015","84,440","85,800","85,990","84,070","3,82M","-0,75%"
"20.07.2015","85,040","84,800","85,660","84,330","2,83M","0,71%"
"21.07.2015","85,070","85,650","86,590","84,920","3,17M","0,04%"
