"Data","Ultimo","Apertura","Massimo","Minimo","Vol.","Var. %"
"24.03.2025","83,57","83,82","83,84","83,43","7,45K","0,64%"
"21.03.2025","83,04","83,10","83,10","82,54","75,20K","-1,37%"
"20.03.2025","84,20","83,93","84,42","83,93","18,41K","-0,92%"
"19.03.2025","84,98","84,52","85,01","84,40","39,83K","0,27%"
"18.03.2025","84,75","85,02","85,02","84,31","6,39K","-0,18%"
"17.03.2025","84,89","83,95","85,00","83,95","4,25K","1,21%"
"14.03.2025","83,88","83,49","83,90","83,49","5,14K","1,72%"
"13.03.2025","82,46","82,31","82,79","82,12","5,47K","0,05%"
"12.03.2025","82,42","82,85","82,85","82,17","5,76K","-0,11%"
"11.03.2025","82,51","83,10","83,10","81,89","22,35K","-0,28%"
"10.03.2025","82,74","83,74","83,74","82,17","7,67K","-2,11%"
"07.03.2025","84,52","83,60","84,62","83,50","89,56K","0,91%"
"06.03.2025","83,76","83,77","84,34","83,76","3,35K","-0,53%"
"05.03.2025","84,21","83,31","84,24","83,16","11,67K","3,51%"
"04.03.2025","81,35","81,50","82,18","80,46","15,93K","-0,41%"
"03.03.2025","81,69","83,52","83,56","81,50","8,57K","-0,65%"
"28.02.2025","82,22","81,87","82,22","81,50","9,14K","0,30%"
"27.02.2025","81,97","82,83","82,84","81,97","6,54K","-1,27%"
"26.02.2025","83,02","83,28","83,70","83,01","6,10K","-0,12%"
"25.02.2025","83,12","82,88","83,29","82,43","6,48K","0,51%"
"24.02.2025","82,70","82,98","83,16","82,64","6,00K","-0,33%"
"21.02.2025","82,97","84,34","84,42","82,79","39,41K","-1,17%"
"20.02.2025","83,95","83,78","84,09","83,60","11,95K","0,68%"
"19.02.2025","83,38","83,48","83,53","83,14","10,99K","-1,49%"
"18.02.2025","84,64","84,29","84,67","83,99","6,44K","0,54%"
"14.02.2025","84,18","84,90","84,98","84,18","5,94K","-0,19%"
"13.02.2025","84,34","83,35","84,38","83,35","6,95K","2,04%"
"12.02.2025","82,65","81,88","82,93","81,88","8,70K","-0,01%"
"11.02.2025","82,66","82,40","82,83","82,21","8,30K","-0,10%"
"10.02.2025","82,75","82,68","82,75","82,50","14,62K","0,68%"
"07.02.2025","82,19","83,17","83,17","82,10","5,02K","-0,93%"
"06.02.2025","82,96","82,86","82,96","82,57","9,14K","1,07%"
"05.02.2025","82,08","81,86","82,32","81,78","6,40K","0,36%"
"04.02.2025","81,78","81,41","81,90","81,26","5,44K","0,86%"
"03.02.2025","81,09","80,26","81,26","79,95","8,30K","-0,48%"
"31.01.2025","81,47","82,00","82,38","81,38","6,90K","-1,01%"
"30.01.2025","82,31","81,82","82,48","81,74","8,76K","1,23%"
"29.01.2025","81,31","81,16","81,64","81,10","8,62K","-0,38%"
"28.01.2025","81,61","82,01","82,01","81,28","16,22K","-0,56%"
"27.01.2025","82,07","81,96","82,13","81,66","7,70K","-0,07%"
"24.01.2025","82,13","82,42","82,48","82,13","3,81K","0,44%"
"23.01.2025","81,77","81,35","81,77","81,24","2,51K","0,50%"
"22.01.2025","81,36","82,02","82,02","81,36","3,97K","-0,93%"
