"Data","Ultimo","Apertura","Massimo","Minimo","Vol.","Var. %"
"18.03.2025","551,60","550,50","552,44","549,00","59,35K","0,34%"
"17.03.2025","549,72","547,88","552,92","546,94","51,45K","0,13%"
"14.03.2025","549,00","544,48","550,50","542,28","91,61K","1,19%"
"13.03.2025","542,52","544,46","549,42","541,22","39,05K","-0,85%"
"12.03.2025","547,16","544,90","552,00","540,20","92,27K","0,89%"
"11.03.2025","542,34","549,02","550,40","540,06","119,85K","-2,08%"
"10.03.2025","553,88","562,88","563,10","552,32","140,98K","-0,55%"
"07.03.2025","556,94","564,68","566,12","556,50","88,39K","-2,03%"
"06.03.2025","568,46","572,22","572,76","563,58","126,03K","0,19%"
"05.03.2025","567,38","579,18","579,42","566,82","93,48K","-2,25%"
"04.03.2025","580,42","592,56","593,24","578,72","136,94K","-3,42%"
"03.03.2025","601,00","609,06","609,48","599,86","77,26K","-0,02%"
"28.02.2025","601,12","600,12","602,94","596,50","56,37K","-1,18%"
"27.02.2025","608,30","606,60","610,76","603,28","28,83K","0,27%"
"26.02.2025","606,64","604,94","608,60","603,90","42,46K","1,35%"
"25.02.2025","598,56","606,78","607,84","597,84","59,59K","-1,93%"
"24.02.2025","610,36","611,50","613,78","607,00","64,75K","-1,30%"
"21.02.2025","618,42","618,88","621,84","616,80","56,77K","0,04%"
"20.02.2025","618,16","623,68","624,64","617,34","56,22K","-1,11%"
"19.02.2025","625,12","623,22","625,30","621,96","33,04K","0,65%"
"18.02.2025","621,06","622,44","624,18","620,42","248,48K","0,06%"
"17.02.2025","620,66","620,36","621,54","619,88","252,42K","0,39%"
"14.02.2025","618,24","621,00","621,24","617,74","33,01K","-0,21%"
"13.02.2025","619,56","617,14","620,44","615,28","26,80K","0,35%"
"12.02.2025","617,42","621,04","622,16","616,08","47,46K","-0,76%"
"11.02.2025","622,16","622,86","623,30","620,70","29,07K","-0,30%"
"10.02.2025","624,04","622,14","624,90","621,30","32,19K","0,62%"
"07.02.2025","620,20","621,22","623,70","619,00","38,23K","-0,22%"
"06.02.2025","621,58","620,54","623,12","620,54","33,68K","1,13%"
"05.02.2025","614,66","612,96","614,66","611,06","56,09K","-0,46%"
"04.02.2025","617,48","616,30","617,62","613,34","49,88K","-0,06%"
"03.02.2025","617,86","616,84","618,62","612,92","150,03K","-0,96%"
"31.01.2025","623,82","621,50","625,60","621,42","64,62K","1,35%"
"30.01.2025","615,50","617,72","619,48","613,36","62,60K","-0,07%"
"29.01.2025","615,92","618,86","619,98","615,28","49,68K","0,30%"
"28.01.2025","614,06","612,58","616,30","609,74","63,44K","1,51%"
"27.01.2025","604,94","608,96","609,18","597,62","171,38K","-2,06%"
"24.01.2025","617,64","620,02","620,44","616,76","43,25K","-0,59%"
"23.01.2025","621,28","620,24","622,94","618,82","119,97K","0,06%"
"22.01.2025","620,92","618,34","621,00","616,40","197,19K","1,06%"
"21.01.2025","614,38","614,98","618,44","613,76","71,62K","-0,03%"
"20.01.2025","614,56","617,72","618,14","612,66","120,99K","-0,67%"
"17.01.2025","618,68","613,56","619,74","612,96","49,18K","0,98%"
"16.01.2025","612,70","615,72","616,08","611,92","28,30K","0,15%"
"15.01.2025","611,78","601,26","612,26","601,18","45,37K","1,75%"
"14.01.2025","601,28","606,16","607,58","600,20","31,70K","-0,22%"
"13.01.2025","602,60","602,52","604,58","599,02","49,46K","-0,05%"
"10.01.2025","602,92","608,18","609,52","601,44","42,98K","-0,98%"
"09.01.2025","608,88","607,48","608,94","606,48","23,57K","0,08%"
"08.01.2025","608,38","607,84","609,98","605,64","58,27K","0,13%"
"07.01.2025","607,56","608,26","612,24","606,76","67,17K","-1,00%"
"06.01.2025","613,68","611,04","614,50","608,40","51,28K","0,53%"
"03.01.2025","610,42","607,08","610,42","605,40","47,89K","-0,06%"
"02.01.2025","610,76","605,68","611,00","604,82","92,99K","1,66%"
"30.12.2024","600,78","605,88","607,30","600,14","42,40K","-1,04%"
"27.12.2024","607,08","612,62","613,24","605,00","55,29K","0,38%"
"23.12.2024","604,80","606,52","607,18","602,62","48,16K","-0,27%"
"20.12.2024","606,42","598,02","606,42","591,64","85,60K","0,44%"
