Date;Price
24.03.2025;85,81406
21.03.2025;85,48462
20.03.2025;85,91056
19.03.2025;85,40018
18.03.2025;83,41553
17.03.2025;83,55323
14.03.2025;82,48484
13.03.2025;80,31322
12.03.2025;80,48043
11.03.2025;79,91586
10.03.2025;81,32964
07.03.2025;80,63267
06.03.2025;79,61471
05.03.2025;79,46222
04.03.2025;82,49858
03.03.2025;83,70985
28.02.2025;87,52525
27.02.2025;86,10551
26.02.2025;84,94234
25.02.2025;85,35517
24.02.2025;86,84236
21.02.2025;86,90624
20.02.2025;88,53084
19.02.2025;88,39577
18.02.2025;87,40188
14.02.2025;85,7238
13.02.2025;86,0445
12.02.2025;85,40188
11.02.2025;88,18867
10.02.2025;87,77153
07.02.2025;85,79733
06.02.2025;85,33577
05.02.2025;86,59309
04.02.2025;86,76882
03.02.2025;85,78794
31.01.2025;84,10749
30.01.2025;86,55083
29.01.2025;86,07619
28.01.2025;85,82662
27.01.2025;86,14739
24.01.2025;86,8709
23.01.2025;88,34803
22.01.2025;88,10598
21.01.2025;89,70348
17.01.2025;91,39189
16.01.2025;90,55065
15.01.2025;89,99611
14.01.2025;88,66641
13.01.2025;88,32453
10.01.2025;86,27623
08.01.2025;85,41626
07.01.2025;84,82685
06.01.2025;83,81787
03.01.2025;84,93882
02.01.2025;84,4228
31.12.2024;82,77128
30.12.2024;81,34501
27.12.2024;81,14384
26.12.2024;81,22359
24.12.2024;81,47079
23.12.2024;80,71745
20.12.2024;80,67888
19.12.2024;80,40919
18.12.2024;80,23866
17.12.2024;82,48571
16.12.2024;83,01779
13.12.2024;85,00381
12.12.2024;85,39187
11.12.2024;86,19375
10.12.2024;85,8706
09.12.2024;85,99413
06.12.2024;86,2667
05.12.2024;87,61355
04.12.2024;87,52966
03.12.2024;89,76161
02.12.2024;90,12204
29.11.2024;90,39553
27.11.2024;89,93949
26.11.2024;90,94556
25.11.2024;90,93076
22.11.2024;93,35829
21.11.2024;92,60107
20.11.2024;91,4736
19.11.2024;90,15123
18.11.2024;90,63356
15.11.2024;89,79998
14.11.2024;89,84752
13.11.2024;89,42189
12.11.2024;88,41331
11.11.2024;88,53413
08.11.2024;87,54319
07.11.2024;86,19158
06.11.2024;87,21917
05.11.2024;82,49771
04.11.2024;82,25732
01.11.2024;81,23846
31.10.2024;81,55957
30.10.2024;81,02338
29.10.2024;81,28817
28.10.2024;82,48567
25.10.2024;83,08191
24.10.2024;83,06355
23.10.2024;83,36582
22.10.2024;83,53072
21.10.2024;83,25169
18.10.2024;83,13242
17.10.2024;83,7321
16.10.2024;83,00515
15.10.2024;82,44261
14.10.2024;85,09448
11.10.2024;84,79671
10.10.2024;84,5773
09.10.2024;83,73241
08.10.2024;82,97194
07.10.2024;85,13292
04.10.2024;85,01825
03.10.2024;83,699
02.10.2024;82,12184
01.10.2024;81,23756
30.09.2024;78,75852
27.09.2024;78,18329
26.09.2024;76,5064
25.09.2024;78,27571
24.09.2024;79,66664
23.09.2024;80,10787
20.09.2024;79,4344
19.09.2024;79,74184
18.09.2024;79,02733
17.09.2024;78,90997
16.09.2024;77,78776
13.09.2024;77,21942
12.09.2024;77,05052
11.09.2024;76,57044
10.09.2024;77,21048
09.09.2024;78,40529
06.09.2024;77,64738
05.09.2024;78,4614
04.09.2024;79,18809
03.09.2024;80,6323
30.08.2024;82,60633
29.08.2024;82,061
28.08.2024;80,76473
27.08.2024;80,91528
26.08.2024;81,63996
23.08.2024;80,89314
22.08.2024;80,16202
21.08.2024;79,69675
20.08.2024;79,78408
19.08.2024;82,2467
16.08.2024;82,21556
15.08.2024;82,50137
14.08.2024;81,23071
13.08.2024;81,09734
12.08.2024;82,25762
09.08.2024;81,88479
08.08.2024;81,77651
07.08.2024;79,95788
06.08.2024;79,5937
05.08.2024;78,87774
02.08.2024;81,01173
01.08.2024;84,12757
31.07.2024;86,23369
30.07.2024;85,83318
29.07.2024;84,45759
