Date;Price
24.03.2025;91,89276
21.03.2025;89,8457
20.03.2025;90,28124
19.03.2025;90,51518
18.03.2025;88,58447
17.03.2025;89,60968
14.03.2025;88,8991
13.03.2025;86,89083
12.03.2025;88,01687
11.03.2025;88,16536
10.03.2025;89,46445
07.03.2025;91,57982
06.03.2025;91,45133
05.03.2025;92,74919
04.03.2025;93,85316
03.03.2025;95,83452
28.02.2025;98,84582
27.02.2025;97,98213
26.02.2025;98,55142
25.02.2025;98,70501
24.02.2025;99,06426
21.02.2025;99,41699
20.02.2025;101,79235
19.02.2025;103,82325
18.02.2025;103,75263
14.02.2025;102,60779
13.02.2025;103,57759
12.02.2025;101,97583
11.02.2025;104,27218
10.02.2025;104,63538
07.02.2025;104,56307
06.02.2025;105,34734
05.02.2025;105,23992
04.02.2025;104,9629
03.02.2025;104,50389
31.01.2025;104,62572
30.01.2025;105,71182
29.01.2025;104,51972
28.01.2025;104,82355
27.01.2025;104,28067
24.01.2025;104,3954
23.01.2025;105,18398
22.01.2025;105,16463
21.01.2025;105,99751
17.01.2025;105,58311
16.01.2025;104,97232
15.01.2025;104,76376
14.01.2025;103,1007
13.01.2025;102,35858
10.01.2025;101,50317
08.01.2025;103,1341
07.01.2025;102,4115
06.01.2025;102,93608
03.01.2025;103,91338
02.01.2025;103,11739
31.12.2024;102,46401
30.12.2024;101,90495
27.12.2024;102,29345
26.12.2024;103,87053
24.12.2024;103,43633
23.12.2024;102,50048
20.12.2024;103,81628
19.12.2024;103,90851
18.12.2024;103,13126
17.12.2024;107,20952
16.12.2024;108,591
13.12.2024;108,36509
12.12.2024;109,13246
11.12.2024;110,03051
10.12.2024;109,17222
09.12.2024;108,97133
06.12.2024;109,28822
05.12.2024;108,99886
04.12.2024;110,88545
03.12.2024;110,70377
02.12.2024;112,01373
29.11.2024;110,65481
27.11.2024;110,52383
26.11.2024;111,61414
25.11.2024;112,52146
22.11.2024;111,01833
21.11.2024;108,56217
20.11.2024;106,39954
19.11.2024;105,82231
18.11.2024;105,42914
15.11.2024;105,83942
14.11.2024;106,63889
13.11.2024;107,88154
12.11.2024;108,5321
11.11.2024;109,75678
08.11.2024;107,3583
07.11.2024;105,74734
06.11.2024;107,38324
05.11.2024;99,41446
04.11.2024;97,71329
01.11.2024;97,60059
31.10.2024;97,08157
30.10.2024;98,66556
29.10.2024;99,16713
28.10.2024;99,42667
25.10.2024;97,96391
24.10.2024;98,52003
23.10.2024;98,47768
22.10.2024;98,90822
21.10.2024;99,38072
18.10.2024;100,57974
17.10.2024;101,39492
16.10.2024;101,06735
15.10.2024;99,59596
14.10.2024;99,23867
11.10.2024;98,18182
10.10.2024;96,77242
09.10.2024;97,24913
08.10.2024;96,57434
07.10.2024;96,7043
04.10.2024;97,81934
03.10.2024;95,84769
02.10.2024;96,26143
01.10.2024;96,59852
30.09.2024;97,03983
27.09.2024;96,69118
26.09.2024;95,90832
25.09.2024;95,61742
24.09.2024;96,50506
23.09.2024;96,93483
20.09.2024;96,47396
19.09.2024;97,51703
18.09.2024;95,99065
17.09.2024;95,9169
16.09.2024;94,99506
13.09.2024;95,07398
12.09.2024;93,04726
11.09.2024;92,07516
