"Date","Close"
2025-03-24,7.59
2025-03-21,7.22
2025-03-20,7.29
2025-03-19,7.2
2025-03-18,6.82
2025-03-17,6.84
2025-03-14,6.88
2025-03-13,6.67
2025-03-12,6.93
2025-03-11,6.88
2025-03-10,6.99
2025-03-07,7.3
2025-03-06,7.2
2025-03-05,7.41
2025-03-04,7.52
2025-03-03,7.67
2025-02-28,8.44
2025-02-27,8.46
2025-02-26,8.47
2025-02-25,8.36
2025-02-24,8.94
2025-02-21,9.1
2025-02-20,9.03
2025-02-19,8.82
2025-02-18,9.03
2025-02-14,8.81
2025-02-13,8.68
2025-02-12,8.79
2025-02-11,9.04
2025-02-10,8.91
2025-02-07,8.59
2025-02-06,8.8
2025-02-05,9.13
2025-02-04,9.17
2025-02-03,8.81
2025-01-31,8.88
2025-01-30,9.2
2025-01-29,9.35
2025-01-28,9.43
2025-01-27,9.38
2025-01-24,10.51
2025-01-23,10.69
2025-01-22,10.79
2025-01-21,11.06
2025-01-17,10.9
2025-01-16,10.95
2025-01-15,10.72
2025-01-14,10.49
2025-01-13,10.28
2025-01-10,10.19
2025-01-08,10.02
2025-01-07,9.98
2025-01-06,9.81
2025-01-03,9.87
2025-01-02,9.87
2024-12-31,9.33
2024-12-30,9.24
2024-12-27,9.04
2024-12-26,9.03
2024-12-24,9
2024-12-23,8.92
2024-12-20,8.74
2024-12-19,8.95
2024-12-18,8.9
2024-12-17,9.31
2024-12-16,9.13
2024-12-13,9.12
2024-12-12,9.42
2024-12-11,9.67
2024-12-10,9.29
2024-12-09,7.88
2024-12-06,7.91
2024-12-05,8.24
2024-12-04,8.24
2024-12-03,8.52
2024-12-02,8.73
2024-11-29,8.4
2024-11-27,8.48
2024-11-26,8.41
2024-11-25,8.45
2024-11-22,8.5
2024-11-21,8.22
2024-11-20,7.81
2024-11-19,7.77
2024-11-18,7.85
2024-11-15,7.58
2024-11-14,7.8
2024-11-13,7.86
2024-11-12,8.03
2024-11-11,8.1
2024-11-08,7.7
2024-11-07,7.96
2024-11-06,8.43
2024-11-05,7.25
2024-11-04,7.04
2024-11-01,6.58
2024-10-31,6.91
2024-10-30,7.21
2024-10-29,7.54
2024-10-28,7.56
2024-10-25,7.75
2024-10-24,7.59
2024-10-23,7.62
2024-10-22,7.67
2024-10-21,7.64
2024-10-18,7.75
2024-10-17,8.01
2024-10-16,8.17
2024-10-15,8.03
2024-10-14,8.27
2024-10-11,8.38
2024-10-10,8.26
2024-10-09,8.22
2024-10-08,8.21
2024-10-07,8.54
2024-10-04,8.44
2024-10-03,8.26
2024-10-02,7.98
2024-10-01,7.96
2024-09-30,7.66
2024-09-27,7.54
2024-09-26,7.34
2024-09-25,7.88
2024-09-24,8.31
2024-09-23,8.35
2024-09-20,8.24
2024-09-19,8.23
2024-09-18,8.04
2024-09-17,8.01
2024-09-16,7.61
2024-09-13,7.31
2024-09-12,7.2
2024-09-11,7.06
2024-09-10,7.16
2024-09-09,7.18
2024-09-06,7.33
2024-09-05,7.37
2024-09-04,7.59
2024-09-03,7.58
2024-08-30,7.94
2024-08-29,8.14
2024-08-28,7.95
2024-08-27,8.17
2024-08-26,8.26
2024-08-23,8.1
2024-08-22,7.87
2024-08-21,8.01
2024-08-20,8.09
2024-08-19,8.43
2024-08-16,8.47
2024-08-15,8.43
2024-08-14,8.23
2024-08-13,8.28
2024-08-12,8.35
2024-08-09,8.26
2024-08-08,8.25
2024-08-07,8.17
2024-08-06,8.13
2024-08-05,8.07
2024-08-02,8.45
2024-08-01,9.21
2024-07-31,9.59
2024-07-30,8.91
2024-07-29,8.62
2024-07-26,8.82
2024-07-25,8.83
2024-07-24,8.24
2024-07-23,8.37
2024-07-22,8.39
2024-07-19,8.36
2024-07-18,8.78
2024-07-17,9.01
2024-07-16,8.86
2024-07-15,8.6
2024-07-12,8.42
2024-07-11,8.39
2024-07-10,8.2
2024-07-09,7.98
2024-07-08,8.11
2024-07-05,8.28
2024-07-03,8.65
2024-07-02,8.39
2024-07-01,8.44
2024-06-28,8.67
2024-06-27,8.46
2024-06-26,8.58
2024-06-25,8.55
2024-06-24,8.6
2024-06-21,8.43
2024-06-20,8.44
2024-06-18,8.24
2024-06-17,8.31
2024-06-14,8.23
2024-06-13,8.58
2024-06-12,9.11
2024-06-11,9.21
2024-06-10,9.22
2024-06-07,9.06
2024-06-06,8.99
2024-06-05,8.93
2024-06-04,8.84
2024-06-03,9.2
2024-05-31,9.58
2024-05-30,9.23
2024-05-29,9.55
2024-05-28,9.82
2024-05-24,9.63
2024-05-23,9.54
2024-05-22,9.53
2024-05-21,9.9
2024-05-20,9.65
2024-05-17,9.68
2024-05-16,9.62
2024-05-15,9.64
2024-05-14,9.67
2024-05-13,9.53
2024-05-10,9.24
2024-05-09,9.42
2024-05-08,9.47
2024-05-07,9.47
2024-05-06,9.6
2024-05-03,9.29
2024-05-02,9.16
2024-05-01,8.93
2024-04-30,8.72
2024-04-29,9
2024-04-26,8.98
2024-04-25,8.74
2024-04-24,8.66
2024-04-23,8.64
2024-04-22,8.45
2024-04-19,8.54
2024-04-18,8.44
2024-04-17,8.19
2024-04-16,8.17
2024-04-15,8.34
2024-04-12,8.43
2024-04-11,8.59
2024-04-10,8.66
2024-04-09,8.39
2024-04-08,8.36
2024-04-05,8.6
2024-04-04,8.48
2024-04-03,8.54
2024-04-02,7.97
2024-04-01,7.91
2024-03-28,8.08
2024-03-27,7.95
2024-03-26,7.67
2024-03-25,7.79
2024-03-22,7.68
2024-03-21,7.89
2024-03-20,7.74
2024-03-19,7.71
2024-03-18,7.51
2024-03-15,7.7
2024-03-14,7.53
2024-03-13,7.47
2024-03-12,7.41
2024-03-11,7.35
2024-03-08,7.34
2024-03-07,7.37
2024-03-06,7.14
2024-03-05,7.09
2024-03-04,7.09
2024-03-01,7.52
2024-02-29,7.4
2024-02-28,7.31
2024-02-27,7.53
2024-02-26,7.4
2024-02-23,7.44
2024-02-22,7.41
2024-02-21,7.85
2024-02-20,8.21
2024-02-16,8.3
2024-02-15,8.22
2024-02-14,7.67
2024-02-13,7.73
2024-02-12,7.91
2024-02-09,7.93
2024-02-08,7.92
2024-02-07,7.8
2024-02-06,7.93
2024-02-05,7.7
2024-02-02,8.02
2024-02-01,8.29
2024-01-31,8.46
2024-01-30,8.9
2024-01-29,8.38
2024-01-26,8.4
2024-01-25,8.27
2024-01-24,8.1
2024-01-23,7.77
2024-01-22,7.73
2024-01-19,7.61
2024-01-18,7.71
2024-01-17,7.53
2024-01-16,7.62
2024-01-12,7.91
2024-01-11,7.74
2024-01-10,7.84
2024-01-09,7.96
2024-01-08,8.24
2024-01-05,8.38
2024-01-04,8.05
2024-01-03,8.25
2024-01-02,8.22
2023-12-29,8.38
2023-12-28,8.45
2023-12-27,8.54
2023-12-26,8.63
2023-12-22,8.47
2023-12-21,8.49
2023-12-20,8.46
2023-12-19,8.58
2023-12-18,8.42
2023-12-15,8.53
2023-12-14,8.59
2023-12-13,8.47
2023-12-12,8.23
2023-12-11,8.23
2023-12-08,8.37
2023-12-07,8.28
2023-12-06,8.33
2023-12-05,8.78
2023-12-04,9.07
2023-12-01,9.11
2023-11-30,9.11
2023-11-29,9.16
2023-11-28,9.11
2023-11-27,9.17
2023-11-24,9.24
2023-11-22,9.18
2023-11-21,9.17
2023-11-20,9.34
2023-11-17,9.29
2023-11-16,9.11
2023-11-15,9.43
2023-11-14,9.62
2023-11-13,9.4
2023-11-10,9.15
2023-11-09,9.08
2023-11-08,9.13
2023-11-07,9.19
2023-11-06,9.82
2023-11-03,10.22
2023-11-02,10.12
2023-11-01,10.48
2023-10-31,10.48
2023-10-30,10.44
2023-10-27,10.51
2023-10-26,10.46
2023-10-25,10.7
2023-10-24,10.72
2023-10-23,10.59
2023-10-20,10.69
2023-10-19,10.83
2023-10-18,10.77
2023-10-17,10.73
2023-10-16,10.37
2023-10-13,10.41
2023-10-12,10.19
2023-10-11,10.24
2023-10-10,10.16
2023-10-09,10.07
2023-10-06,9.32
2023-10-05,9.16
2023-10-04,9.36
2023-10-03,10
2023-10-02,10.02
2023-09-29,10.63
2023-09-28,10.84
2023-09-27,10.8
2023-09-26,10.13
2023-09-25,10.28
2023-09-22,10.12
2023-09-21,10
2023-09-20,10.32
2023-09-19,10.35
2023-09-18,10.65
2023-09-15,10.52
2023-09-14,10.54
2023-09-13,10.2
2023-09-12,10.28
2023-09-11,10.14
2023-09-08,9.96
2023-09-07,10.08
2023-09-06,9.97
2023-09-05,9.91
2023-09-01,10.05
2023-08-31,9.64
2023-08-30,9.56
2023-08-29,9.67
2023-08-28,9.7
2023-08-25,9.75
2023-08-24,9.77
