Date;AQ232683
25.03.2025;81,454
24.03.2025;82,149
21.03.2025;82,543
20.03.2025;82,849
19.03.2025;82,704
18.03.2025;82,176
17.03.2025;82,05
14.03.2025;81,42
13.03.2025;82,13
12.03.2025;81,61
11.03.2025;82,451
10.03.2025;83,251
07.03.2025;82,353
06.03.2025;82,49
05.03.2025;82,768
04.03.2025;83,175
03.03.2025;84,724
28.02.2025;83,925
27.02.2025;83,827
26.02.2025;83,516
25.02.2025;83,361
24.02.2025;82,495
21.02.2025;82,051
20.02.2025;82,161
19.02.2025;81,856
18.02.2025;81,247
14.02.2025;81,688
13.02.2025;80,5
12.02.2025;79,851
11.02.2025;80,386
10.02.2025;80,439
07.02.2025;81,209
06.02.2025;81,262
05.02.2025;80,953
04.02.2025;80,031
03.02.2025;79,824
31.01.2025;79,409
30.01.2025;79,766
29.01.2025;79,72
28.01.2025;78,972
27.01.2025;79,362
24.01.2025;78,688
23.01.2025;78,429
22.01.2025;79,069
21.01.2025;79,152
17.01.2025;78,978
16.01.2025;79,003
15.01.2025;78,691
14.01.2025;76,751
13.01.2025;76,987
10.01.2025;77,089
09.01.2025;77,502
08.01.2025;78,031
07.01.2025;77,54
06.01.2025;78,829
03.01.2025;79,308
02.01.2025;78,889
31.12.2024;79,889
30.12.2024;80,147
27.12.2024;78,974
26.12.2024;79,583
24.12.2024;78,559
23.12.2024;78,435
20.12.2024;80,137
19.12.2024;80,233
18.12.2024;79,761
17.12.2024;81,543
16.12.2024;81,891
13.12.2024;81,679
12.12.2024;82,288
11.12.2024;83,049
10.12.2024;84,001
09.12.2024;82,96
06.12.2024;84,894
05.12.2024;84,769
04.12.2024;83,806
03.12.2024;82,771
02.12.2024;84,365
29.11.2024;84,715
27.11.2024;84,047
26.11.2024;83,4
25.11.2024;83,456
22.11.2024;82,8
21.11.2024;81,735
20.11.2024;81,364
19.11.2024;82,71
18.11.2024;82,433
15.11.2024;82,682
14.11.2024;83,552
13.11.2024;82,886
12.11.2024;84,378
08.11.2024;85,437
07.11.2024;84,71
06.11.2024;83,437
05.11.2024;85,347
04.11.2024;85,067
01.11.2024;83,447
31.10.2024;85,152
30.10.2024;84,509
29.10.2024;84,631
28.10.2024;84,79
25.10.2024;85,181
24.10.2024;85,073
23.10.2024;84,122
22.10.2024;84,532
21.10.2024;85,584
18.10.2024;85,877
17.10.2024;86,09
16.10.2024;87,894
15.10.2024;86,974
11.10.2024;85,285
10.10.2024;86,421
09.10.2024;86,462
08.10.2024;86,444
07.10.2024;86,221
04.10.2024;86,589
03.10.2024;88,122
02.10.2024;88,806
01.10.2024;89,646
30.09.2024;88,578
27.09.2024;88,226
26.09.2024;87,387
25.09.2024;87,654
24.09.2024;88,343
23.09.2024;87,774
20.09.2024;87,857
19.09.2024;88,298
18.09.2024;87,771
17.09.2024;88,109
16.09.2024;88,238
13.09.2024;87,591
12.09.2024;88,037
11.09.2024;88,045
10.09.2024;87,887
09.09.2024;87,275
06.09.2024;87,406
05.09.2024;86,863
04.09.2024;86,378
03.09.2024;85,603
30.08.2024;84,674
29.08.2024;85,064
28.08.2024;85,209
27.08.2024;85,363
26.08.2024;85,899
23.08.2024;85,172
22.08.2024;84,736
21.08.2024;85,317
20.08.2024;85,262
19.08.2024;85,356
16.08.2024;84,687
15.08.2024;84,342
14.08.2024;83,933
13.08.2024;83,128
12.08.2024;82,653
09.08.2024;82,425
08.08.2024;81,73
07.08.2024;81,967
06.08.2024;82,256
05.08.2024;83,106
02.08.2024;84,155
01.08.2024;82,959
31.07.2024;82,534
30.07.2024;81,514
29.07.2024;80,293
26.07.2024;80,03
25.07.2024;80,27
24.07.2024;79,47
23.07.2024;80,645
22.07.2024;79,928
19.07.2024;80,305
18.07.2024;80,955
17.07.2024;82,082
16.07.2024;82,165
15.07.2024;81,19
12.07.2024;81,829
11.07.2024;81,921
10.07.2024;81,099
09.07.2024;81,007
08.07.2024;80,967
05.07.2024;80,183
03.07.2024;80,442
02.07.2024;79
01.07.2024;77,931
28.06.2024;78,607
27.06.2024;80,425
26.06.2024;79,908
25.06.2024;80,127
24.06.2024;80,923
21.06.2024;81,382
20.06.2024;80,879
18.06.2024;82,254
17.06.2024;82,16
14.06.2024;82,14
13.06.2024;82,858
12.06.2024;80,885
11.06.2024;80,797
10.06.2024;79,568
07.06.2024;80,353
06.06.2024;81,828
05.06.2024;81,92
04.06.2024;81,627
03.06.2024;81,43
31.05.2024;80,05
30.05.2024;79,609
29.05.2024;78,872
28.05.2024;79,505
24.05.2024;80,751
23.05.2024;80,546
22.05.2024;80,63
21.05.2024;80,559
20.05.2024;80,159
17.05.2024;80,646
16.05.2024;81,704
15.05.2024;81,841
14.05.2024;79,5
13.05.2024;79,666
10.05.2024;79,57
09.05.2024;79,706
08.05.2024;78,858
07.05.2024;79,901
06.05.2024;78,852
03.05.2024;78,868
02.05.2024;78,148
01.05.2024;77,343
30.04.2024;77,418
29.04.2024;78,967
26.04.2024;77,523
25.04.2024;77,357
24.04.2024;78,121
23.04.2024;77,835
22.04.2024;78,455
19.04.2024;78,368
18.04.2024;78,504
17.04.2024;78,793
16.04.2024;77,583
15.04.2024;78,191
12.04.2024;79,664
11.04.2024;78,521
10.04.2024;78,469
09.04.2024;80,462
08.04.2024;79,801
05.04.2024;79,828
04.04.2024;80,625
03.04.2024;81,398
02.04.2024;81,16
01.04.2024;81,562
28.03.2024;82,422
27.03.2024;82,973
26.03.2024;81,245
25.03.2024;81,46
22.03.2024;82,616
21.03.2024;80,878
20.03.2024;81,476
19.03.2024;81,072
18.03.2024;81,669
15.03.2024;81,021
14.03.2024;80,732
13.03.2024;81,507
12.03.2024;81,478
11.03.2024;82,265
08.03.2024;82,418
07.03.2024;82,329
06.03.2024;82,405
05.03.2024;82,351
04.03.2024;82,007
01.03.2024;82,935
29.02.2024;81,342
28.02.2024;81,203
27.02.2024;80,824
26.02.2024;81,719
23.02.2024;82,044
22.02.2024;79,947
21.02.2024;80,744
20.02.2024;80,859
16.02.2024;80,478
15.02.2024;80,934
14.02.2024;80,184
13.02.2024;79,774
12.02.2024;80,921
09.02.2024;81,21
08.02.2024;80,994
07.02.2024;82,163
06.02.2024;81,185
05.02.2024;80,225
02.02.2024;81,589
01.02.2024;82,384
31.01.2024;82,142
30.01.2024;80,719
29.01.2024;79,92
26.01.2024;78,707
25.01.2024;78,376
24.01.2024;78,361
23.01.2024;77,958
22.01.2024;77,513
19.01.2024;78,109
18.01.2024;77,177
17.01.2024;77,604
16.01.2024;78,225
12.01.2024;79,653
11.01.2024;79,517
10.01.2024;79,551
09.01.2024;78,689
08.01.2024;77,979
05.01.2024;78,667
04.01.2024;79,912
03.01.2024;80,649
02.01.2024;80,512
29.12.2023;81,71
28.12.2023;83,84
27.12.2023;82,329
26.12.2023;81,141
22.12.2023;81,541
21.12.2023;81,714
20.12.2023;82,454
19.12.2023;81,851
18.12.2023;82,015
15.12.2023;81,552
14.12.2023;81,739
13.12.2023;78,967
12.12.2023;76,694
11.12.2023;77,226
08.12.2023;77,337
07.12.2023;77,47
06.12.2023;77,859
05.12.2023;76,85
04.12.2023;77,177
01.12.2023;75,945
30.11.2023;74,952
29.11.2023;75,321
28.11.2023;75,064
27.11.2023;74,11
24.11.2023;73,672
22.11.2023;73,953
21.11.2023;74,207
20.11.2023;73,081
17.11.2023;73,656
16.11.2023;71,613
15.11.2023;70,814
14.11.2023;71,502
13.11.2023;69,737
10.11.2023;69,766
09.11.2023;69,729
08.11.2023;71,785
07.11.2023;69,077
06.11.2023;68,985
03.11.2023;68,627
02.11.2023;68,75
01.11.2023;67,562
31.10.2023;66,063
30.10.2023;66,701
27.10.2023;66,914
26.10.2023;66,47
25.10.2023;66,435
24.10.2023;67,029
23.10.2023;66,58
20.10.2023;66,197
19.10.2023;65,917
18.10.2023;66,787
17.10.2023;66,794
16.10.2023;67,785
13.10.2023;68,335
12.10.2023;67,351
11.10.2023;70,274
10.10.2023;67,513
06.10.2023;66,764
05.10.2023;67,181
04.10.2023;67,115
03.10.2023;66,103
02.10.2023;68,091
29.09.2023;69,422
28.09.2023;68,05
27.09.2023;68,348
26.09.2023;69,27
25.09.2023;69,024
22.09.2023;71,182
21.09.2023;69,401
20.09.2023;71,07
19.09.2023;71,927
18.09.2023;71,817
15.09.2023;71,548
14.09.2023;72,4
13.09.2023;71,929
12.09.2023;72,553
11.09.2023;72,679
08.09.2023;72,75
07.09.2023;72,787
06.09.2023;72,562
05.09.2023;72,99
01.09.2023;73,299
31.08.2023;74,526
30.08.2023;73,906
29.08.2023;73,854
28.08.2023;73,621
25.08.2023;73,891
24.08.2023;72,099
23.08.2023;73,429
22.08.2023;71,981
21.08.2023;71,296
18.08.2023;72,95
17.08.2023;72,92
16.08.2023;73,114
15.08.2023;73,482
14.08.2023;74,284
11.08.2023;74,626
10.08.2023;73,888
09.08.2023;74,942
08.08.2023;75,523
07.08.2023;74,883
04.08.2023;75,479
03.08.2023;74,274
02.08.2023;75,008
01.08.2023;76,822
