Date;Close
24/03/2025;69,23
21/03/2025;69,65
20/03/2025;70,06
19/03/2025;69,434
18/03/2025;69,3
17/03/2025;69,75
14/03/2025;69,43
13/03/2025;68,65
12/03/2025;69,15
11/03/2025;69,19
10/03/2025;69,77
07/03/2025;70,035
06/03/2025;69,64
05/03/2025;69,76
04/03/2025;70,15
03/03/2025;70,57
28/02/2025;70,34
27/02/2025;70,17
26/02/2025;70,34
25/02/2025;70,03
24/02/2025;69,42
21/02/2025;69,16
20/02/2025;68,71
19/02/2025;68,51
18/02/2025;68,74
17/02/2025;69,13
14/02/2025;69,3
13/02/2025;68,45
12/02/2025;67,79
11/02/2025;68,51
10/02/2025;68,96
07/02/2025;68,67
06/02/2025;69,17
05/02/2025;69,51
04/02/2025;68,47
03/02/2025;68,5
31/01/2025;68,61
30/01/2025;68,853
29/01/2025;68,368
28/01/2025;68,368
27/01/2025;68,48
24/01/2025;67,95
23/01/2025;67,983
22/01/2025;68,332
21/01/2025;68,47
20/01/2025;68,07
17/01/2025;68,26
16/01/2025;68,158
15/01/2025;67,981
14/01/2025;67,3
13/01/2025;66,9
10/01/2025;67,002
09/01/2025;67,38
08/01/2025;67,422
07/01/2025;67,37
06/01/2025;68,347
03/01/2025;68,48
02/01/2025;67,91
30/12/2024;68,32
27/12/2024;67,98
23/12/2024;68,35
20/12/2024;68,43
19/12/2024;67,96
18/12/2024;69,93
17/12/2024;69,98
16/12/2024;69,95
13/12/2024;69,98
12/12/2024;70,56
11/12/2024;71,36
10/12/2024;71,55
09/12/2024;71,62
06/12/2024;71,82
05/12/2024;71,99
04/12/2024;71,66
03/12/2024;71,904
02/12/2024;71,81
29/11/2024;71,59
28/11/2024;71,42
27/11/2024;71,1
26/11/2024;70,96
25/11/2024;71,003
22/11/2024;69,953
21/11/2024;70,43
20/11/2024;70,31
19/11/2024;70,83
18/11/2024;70,256
15/11/2024;69,95
14/11/2024;70,77
13/11/2024;71
12/11/2024;70,978
11/11/2024;72,05
08/11/2024;71,8
07/11/2024;71,48
06/11/2024;70,82
05/11/2024;71,758
04/11/2024;71,45
01/11/2024;70,7
31/10/2024;70,83
30/10/2024;71,19
29/10/2024;70,546
28/10/2024;70,82
25/10/2024;71,82
24/10/2024;71,69
23/10/2024;71,43
22/10/2024;71,55
21/10/2024;72,01
18/10/2024;72,94
17/10/2024;73,39
16/10/2024;73,906
15/10/2024;73,251
14/10/2024;72,92
11/10/2024;73,525
10/10/2024;73,451
09/10/2024;73,951
08/10/2024;73,95
07/10/2024;74,75
04/10/2024;74,95
03/10/2024;75,7
02/10/2024;75,7
01/10/2024;76,123
30/09/2024;75,35
27/09/2024;75,351
26/09/2024;75,462
25/09/2024;75,804
24/09/2024;75,68
23/09/2024;75,68
20/09/2024;75,47
19/09/2024;75,95
18/09/2024;75,99
17/09/2024;76,4
16/09/2024;75,95
13/09/2024;75,47
12/09/2024;75,55
11/09/2024;75,67
10/09/2024;75,58
09/09/2024;75,23
06/09/2024;75,74
05/09/2024;75,19
04/09/2024;75,24
03/09/2024;74,95
02/09/2024;74,04
30/08/2024;74,64
29/08/2024;74,3
28/08/2024;74,82
27/08/2024;74,84
26/08/2024;74,93
23/08/2024;75,43
22/08/2024;74,6
21/08/2024;75,22
20/08/2024;75,05
19/08/2024;74,65
16/08/2024;74,36
15/08/2024;74,38
14/08/2024;74,87
13/08/2024;74,59
12/08/2024;73,87
09/08/2024;74,03
08/08/2024;73,401
07/08/2024;73,96
06/08/2024;74,23
05/08/2024;73,9
02/08/2024;75,455
01/08/2024;74,7
31/07/2024;74,74
30/07/2024;73,95
29/07/2024;73,99
26/07/2024;73,631
25/07/2024;73,21
24/07/2024;73,85
23/07/2024;73,85
22/07/2024;73,94
19/07/2024;73,92
18/07/2024;74,59
17/07/2024;74,51
16/07/2024;74,631
15/07/2024;74,26
12/07/2024;74,51
11/07/2024;74,695
10/07/2024;73,75
09/07/2024;73,48
08/07/2024;73,76
05/07/2024;73,88
04/07/2024;73,17
03/07/2024;73,28
02/07/2024;72,16
01/07/2024;71,81
28/06/2024;73,09
27/06/2024;73,28
26/06/2024;73,08
25/06/2024;73,85
24/06/2024;74,1
21/06/2024;74,65
20/06/2024;74,11
19/06/2024;74,69
18/06/2024;74,4
17/06/2024;73,87
14/06/2024;73,95
13/06/2024;74,545
12/06/2024;75,101
11/06/2024;73,55
10/06/2024;72,93
07/06/2024;73,41
06/06/2024;74,55
05/06/2024;74,4
04/06/2024;73,81
03/06/2024;73,757
31/05/2024;72,77
30/05/2024;72,45
29/05/2024;72,2
28/05/2024;72,45
27/05/2024;72,77
24/05/2024;72,838
23/05/2024;72,53
22/05/2024;73,01
21/05/2024;72,86
20/05/2024;73,1
17/05/2024;73,113
16/05/2024;73,54
15/05/2024;73,31
14/05/2024;72,627
13/05/2024;72,1
10/05/2024;72,05
09/05/2024;72,067
08/05/2024;72,254
07/05/2024;72,819
06/05/2024;72,22
03/05/2024;71,9
02/05/2024;71,26
30/04/2024;71,001
29/04/2024;71,24
26/04/2024;71,11
25/04/2024;70,21
24/04/2024;70,52
23/04/2024;71,27
22/04/2024;71,36
19/04/2024;71,52
18/04/2024;71,38
17/04/2024;71,34
16/04/2024;70,88
15/04/2024;71,998
12/04/2024;72,696
11/04/2024;73,102
10/04/2024;73,161
09/04/2024;74,08
08/04/2024;73,7
05/04/2024;73,777
04/04/2024;73,733
03/04/2024;73,23
02/04/2024;73,24
28/03/2024;75,493
27/03/2024;74,21
26/03/2024;73,46
25/03/2024;74,2
22/03/2024;74,558
21/03/2024;74,51
20/03/2024;74,057
19/03/2024;73,75
18/03/2024;73,25
15/03/2024;73,25
14/03/2024;73,25
13/03/2024;73,484
12/03/2024;73,57
11/03/2024;74,429
08/03/2024;74,475
07/03/2024;73,93
06/03/2024;73,65
05/03/2024;73,26
04/03/2024;73,25
01/03/2024;73,25
29/02/2024;73,268
28/02/2024;73,25
27/02/2024;73,25
