Date;Close
24/03/2025;80,843
21/03/2025;80,849
20/03/2025;81,281
19/03/2025;81,206
18/03/2025;80,637
17/03/2025;79,327
14/03/2025;78,527
13/03/2025;78,688
12/03/2025;78,193
11/03/2025;78,631
10/03/2025;80,073
07/03/2025;80,138
06/03/2025;79,554
05/03/2025;80,051
04/03/2025;79,804
03/03/2025;80,8
28/02/2025;80,65
27/02/2025;80,448
26/02/2025;80,681
25/02/2025;80,014
24/02/2025;79,83
21/02/2025;79,199
20/02/2025;78,545
19/02/2025;81,548
18/02/2025;81,877
17/02/2025;82,497
14/02/2025;82,488
13/02/2025;82,173
12/02/2025;80,685
11/02/2025;81,637
10/02/2025;82
07/02/2025;82,506
06/02/2025;82,917
05/02/2025;83,026
04/02/2025;82,355
03/02/2025;82,045
31/01/2025;82,181
30/01/2025;82,621
29/01/2025;82,326
28/01/2025;82,625
27/01/2025;82,482
24/01/2025;81,629
23/01/2025;81,227
22/01/2025;81,587
21/01/2025;81,929
20/01/2025;81,69
17/01/2025;81,583
16/01/2025;81,254
15/01/2025;81,021
14/01/2025;79,646
13/01/2025;79,68
10/01/2025;80,004
09/01/2025;80,213
08/01/2025;79,942
07/01/2025;80,306
06/01/2025;81,035
03/01/2025;82,432
02/01/2025;82,152
01/01/2025;82,078
31/12/2024;82,091
30/12/2024;82,546
27/12/2024;81,742
26/12/2024;81,946
25/12/2024;82,458
24/12/2024;82,389
23/12/2024;81,836
20/12/2024;82,311
19/12/2024;82,304
18/12/2024;83,024
17/12/2024;84,283
16/12/2024;83,731
13/12/2024;83,646
12/12/2024;84,093
11/12/2024;84,529
10/12/2024;85,347
09/12/2024;85,611
06/12/2024;85,986
05/12/2024;85,786
04/12/2024;85,742
03/12/2024;85,358
02/12/2024;85,568
29/11/2024;85,299
28/11/2024;84,625
27/11/2024;84,54
26/11/2024;84,299
25/11/2024;84,243
22/11/2024;82,769
21/11/2024;82,929
20/11/2024;82,836
19/11/2024;83,481
18/11/2024;83,068
15/11/2024;83,035
14/11/2024;82,556
13/11/2024;82,775
12/11/2024;84,016
11/11/2024;84,593
08/11/2024;84,852
07/11/2024;83,891
06/11/2024;83,44
05/11/2024;84,079
04/11/2024;83,668
01/11/2024;83,591
31/10/2024;84,154
30/10/2024;83,711
29/10/2024;83,634
28/10/2024;83,931
25/10/2024;83,566
24/10/2024;83,823
23/10/2024;83,205
22/10/2024;83,771
21/10/2024;85,6
18/10/2024;85,839
17/10/2024;85,479
16/10/2024;86,011
15/10/2024;85,635
14/10/2024;84,563
11/10/2024;84,82
10/10/2024;84,945
09/10/2024;85,041
08/10/2024;85,796
07/10/2024;85,79
04/10/2024;86,292
03/10/2024;86,475
02/10/2024;87,433
01/10/2024;88,043
30/09/2024;87,384
27/09/2024;87,308
26/09/2024;87,203
25/09/2024;86,41
24/09/2024;87,089
23/09/2024;87,044
20/09/2024;87,596
19/09/2024;87,986
18/09/2024;87,789
17/09/2024;87,98
16/09/2024;88,459
13/09/2024;88,077
12/09/2024;86,655
11/09/2024;86,658
10/09/2024;87,188
09/09/2024;86,902
06/09/2024;87,127
05/09/2024;86,955
04/09/2024;86,123
03/09/2024;86,195
02/09/2024;84,453
30/08/2024;84,58
29/08/2024;85,095
28/08/2024;85,71
27/08/2024;85,815
26/08/2024;86,195
23/08/2024;86,623
22/08/2024;86,121
21/08/2024;86,579
20/08/2024;86,063
19/08/2024;85,944
16/08/2024;85,653
15/08/2024;85,704
14/08/2024;85,376
13/08/2024;84,86
12/08/2024;83,872
09/08/2024;83,943
08/08/2024;84,532
07/08/2024;84,044
06/08/2024;83,272
05/08/2024;84,947
02/08/2024;85,495
01/08/2024;83,741
31/07/2024;83,759
30/07/2024;82,952
29/07/2024;83,14
26/07/2024;82,904
25/07/2024;81,997
24/07/2024;82,304
23/07/2024;82,596
22/07/2024;82,814
19/07/2024;83,379
18/07/2024;83,511
17/07/2024;83,641
16/07/2024;83,584
15/07/2024;82,797
12/07/2024;83,472
11/07/2024;83,065
10/07/2024;82,463
09/07/2024;82,565
08/07/2024;83,116
05/07/2024;83,114
04/07/2024;82,746
03/07/2024;82,693
02/07/2024;81,284
01/07/2024;81,213
28/06/2024;81,296
27/06/2024;82,539
26/06/2024;81,985
25/06/2024;82,751
24/06/2024;84,83
21/06/2024;84,268
20/06/2024;84,051
19/06/2024;84,658
18/06/2024;84,612
17/06/2024;84,01
14/06/2024;84,741
13/06/2024;84,303
12/06/2024;83,593
11/06/2024;83,385
10/06/2024;82,4
07/06/2024;82,547
06/06/2024;83,731
05/06/2024;84,049
04/06/2024;83,651
03/06/2024;83,494
31/05/2024;82,246
30/05/2024;81,569
29/05/2024;81,268
28/05/2024;81,604
27/05/2024;82,631
24/05/2024;82,632
23/05/2024;82,291
22/05/2024;83,204
21/05/2024;82,94
20/05/2024;82,584
17/05/2024;82,807
16/05/2024;83,198
15/05/2024;82,814
14/05/2024;81,847
13/05/2024;81,759
10/05/2024;81,658
09/05/2024;81,897
08/05/2024;82,089
07/05/2024;82,724
06/05/2024;82,047
03/05/2024;81,62
02/05/2024;80,607
01/05/2024;80,073
30/04/2024;79,996
29/04/2024;80,363
26/04/2024;79,862
25/04/2024;79,457
24/04/2024;79,955
23/04/2024;80,622
22/04/2024;80,091
19/04/2024;79,803
18/04/2024;79,628
17/04/2024;79,84
16/04/2024;80,827
15/04/2024;81,28
12/04/2024;81,289
11/04/2024;80,943
10/04/2024;83,157
09/04/2024;83,402
08/04/2024;82,57
05/04/2024;81,706
04/04/2024;82,96
03/04/2024;82,412
02/04/2024;83
01/04/2024;83,37
29/03/2024;84,163
28/03/2024;84,168
27/03/2024;83,65
26/03/2024;83,412
25/03/2024;83,651
22/03/2024;83,765
