Date;AN167404
26.03.2025;83,087
25.03.2025;83,041
24.03.2025;83,34
21.03.2025;83,611
20.03.2025;83,907
19.03.2025;83,56
18.03.2025;83,896
17.03.2025;84,307
14.03.2025;83,58
13.03.2025;84,113
12.03.2025;84,362
11.03.2025;83,787
10.03.2025;84,832
07.03.2025;85,039
06.03.2025;84,26
05.03.2025;86,122
04.03.2025;88,173
03.03.2025;88,092
28.02.2025;89,142
27.02.2025;88,906
26.02.2025;88,686
25.02.2025;88,097
24.02.2025;87,998
21.02.2025;87,513
20.02.2025;87,441
19.02.2025;87,336
18.02.2025;87,86
17.02.2025;87,677
14.02.2025;88,087
13.02.2025;88,471
12.02.2025;88,449
11.02.2025;88,524
10.02.2025;89,218
07.02.2025;89,794
06.02.2025;89,869
05.02.2025;90,398
04.02.2025;90,051
03.02.2025;91,107
31.01.2025;90,013
30.01.2025;89,798
29.01.2025;88,675
28.01.2025;88,347
27.01.2025;88,651
24.01.2025;88,188
23.01.2025;88,438
22.01.2025;89,155
21.01.2025;89,043
20.01.2025;88,869
17.01.2025;89,056
16.01.2025;87,887
15.01.2025;87,827
14.01.2025;86,558
13.01.2025;86,783
10.01.2025;87,393
09.01.2025;87,949
08.01.2025;87,363
07.01.2025;87,589
03.01.2025;88,654
02.01.2025;89,324
30.12.2024;87,46
27.12.2024;87,589
23.12.2024;89,189
20.12.2024;89,342
19.12.2024;89,112
18.12.2024;90,812
17.12.2024;90,99
16.12.2024;91,172
13.12.2024;91,884
12.12.2024;92,484
11.12.2024;93,762
10.12.2024;93,623
09.12.2024;93,851
06.12.2024;93,713
05.12.2024;93,926
04.12.2024;94,455
03.12.2024;95,296
02.12.2024;94,985
29.11.2024;94,632
28.11.2024;93,908
27.11.2024;94,053
26.11.2024;93,375
25.11.2024;93,054
22.11.2024;92,186
21.11.2024;91,496
20.11.2024;91,363
19.11.2024;91,793
18.11.2024;92,13
15.11.2024;92,333
14.11.2024;91,942
13.11.2024;91,668
12.11.2024;91,908
11.11.2024;91,573
08.11.2024;90,932
07.11.2024;90,383
06.11.2024;90,807
05.11.2024;90,957
04.11.2024;91,619
01.11.2024;91,786
31.10.2024;91,642
30.10.2024;91,717
29.10.2024;91,739
28.10.2024;91,757
25.10.2024;91,35
24.10.2024;91,553
23.10.2024;91,198
22.10.2024;90,925
21.10.2024;92,001
18.10.2024;92,775
17.10.2024;93,124
16.10.2024;92,884
