Date;Close
21.03.2025;5,02
20.03.2025;5,08
19.03.2025;5,14
18.03.2025;5,08
17.03.2025;5,11
14.03.2025;5,15
13.03.2025;5,12
12.03.2025;5,07
11.03.2025;5,08
10.03.2025;5,31
07.03.2025;5,28
06.03.2025;5,34
05.03.2025;5,21
04.03.2025;5,18
03.03.2025;5,23
28.02.2025;5,4
27.02.2025;5,37
26.02.2025;5,37
25.02.2025;5,15
24.02.2025;5,25
21.02.2025;5,62
20.02.2025;5,47
19.02.2025;5,5
18.02.2025;5,48
14.02.2025;5,36
13.02.2025;5,41
12.02.2025;5,3
11.02.2025;5,38
10.02.2025;5,4
07.02.2025;5,4832
06.02.2025;5,46
05.02.2025;5,4
04.02.2025;5,35
03.02.2025;5,3
31.01.2025;5,35
30.01.2025;5,33
29.01.2025;5,31
28.01.2025;5,29
27.01.2025;5,38
24.01.2025;5,42
23.01.2025;5,4
22.01.2025;5,4
21.01.2025;5,52
17.01.2025;5,5
16.01.2025;5,6
15.01.2025;5,6048
14.01.2025;5,63
13.01.2025;5,63
10.01.2025;5,77
08.01.2025;5,67
07.01.2025;5,79
06.01.2025;5,92
03.01.2025;5,66
02.01.2025;5,38
31.12.2024;5,29
30.12.2024;5,36
27.12.2024;5,25
26.12.2024;5,1
24.12.2024;5,28
23.12.2024;5,27
20.12.2024;5,37
19.12.2024;5,21
18.12.2024;5,02
17.12.2024;5,14
16.12.2024;5,24
13.12.2024;5,25
12.12.2024;5,28
11.12.2024;5,27
10.12.2024;5,38
09.12.2024;5,37
06.12.2024;5,38
05.12.2024;5
04.12.2024;5,11
03.12.2024;5,22
02.12.2024;4,77
29.11.2024;5,3
27.11.2024;5,34
26.11.2024;5,43
25.11.2024;5,44
22.11.2024;5,41
21.11.2024;5,38
20.11.2024;5,24
19.11.2024;5,35
18.11.2024;5,26
15.11.2024;5,23
14.11.2024;5,29
13.11.2024;5,26
12.11.2024;5,25
11.11.2024;5,34
08.11.2024;5,62
07.11.2024;5,65
