Date;Close
21.03.2025;22325
20.03.2025;22100
19.03.2025;22125
18.03.2025;21625
17.03.2025;22125
14.03.2025;20900
13.03.2025;20575
12.03.2025;20425
11.03.2025;20425
10.03.2025;19900
07.03.2025;20225
06.03.2025;21250
05.03.2025;21525
28.02.2025;21350
27.02.2025;21675
26.02.2025;22250
25.02.2025;21950
24.02.2025;22625
21.02.2025;22900
20.02.2025;21300
19.02.2025;20900
18.02.2025;21025
17.02.2025;20625
14.02.2025;21125
13.02.2025;20225
12.02.2025;20075
11.02.2025;20300
10.02.2025;20175
07.02.2025;20000
06.02.2025;20100
05.02.2025;19625
04.02.2025;19525
03.02.2025;18850
31.01.2025;19125
30.01.2025;19375
29.01.2025;18525
28.01.2025;18575
27.01.2025;17875
24.01.2025;18000
23.01.2025;18075
22.01.2025;18100
21.01.2025;18225
20.01.2025;18225
17.01.2025;18275
16.01.2025;18275
15.01.2025;18200
14.01.2025;17525
13.01.2025;17300
10.01.2025;17500
09.01.2025;17550
08.01.2025;17350
07.01.2025;17650
06.01.2025;17800
03.01.2025;18075
02.01.2025;17375
31.12.2024;16975
30.12.2024;16975
27.12.2024;17075
26.12.2024;17175
24.12.2024;17075
23.12.2024;16875
20.12.2024;16700
19.12.2024;16100
18.12.2024;16975
17.12.2024;17425
16.12.2024;16750
13.12.2024;16725
12.12.2024;16950
11.12.2024;16950
10.12.2024;16775
09.12.2024;16675
06.12.2024;17500
05.12.2024;17925
04.12.2024;18175
03.12.2024;17825
02.12.2024;17825
29.11.2024;18450
28.11.2024;19000
27.11.2024;18875
26.11.2024;19400
25.11.2024;19300
22.11.2024;18400
21.11.2024;18075
20.11.2024;17775
19.11.2024;17675
15.11.2024;17725
14.11.2024;18025
13.11.2024;18625
12.11.2024;19100
11.11.2024;18900
08.11.2024;17900
07.11.2024;17325
06.11.2024;20375
05.11.2024;20550
04.11.2024;20325
01.11.2024;20075
31.10.2024;19650
30.10.2024;19525
29.10.2024;19525
28.10.2024;19850
25.10.2024;19925
24.10.2024;20250
23.10.2024;20150
22.10.2024;20575
21.10.2024;20875
18.10.2024;20750
17.10.2024;20575
16.10.2024;20250
15.10.2024;19975
14.10.2024;20550
10.10.2024;20025
09.10.2024;20325
08.10.2024;20350
07.10.2024;19975
04.10.2024;20000
03.10.2024;20125
02.10.2024;20325
01.10.2024;21375
30.09.2024;21200
27.09.2024;21125
26.09.2024;21500
25.09.2024;21800
24.09.2024;21500
23.09.2024;21500
20.09.2024;21400
19.09.2024;21450
18.09.2024;21625
17.09.2024;21500
16.09.2024;21875
13.09.2024;22150
12.09.2024;22375
11.09.2024;21275
10.09.2024;21000
09.09.2024;20950
06.09.2024;20800
05.09.2024;21550
04.09.2024;21550
03.09.2024;21625
02.09.2024;22825
30.08.2024;22225
29.08.2024;21650
28.08.2024;21500
27.08.2024;21900
26.08.2024;21475
23.08.2024;21425
22.08.2024;21325
21.08.2024;21550
20.08.2024;21575
19.08.2024;21675
16.08.2024;21275
15.08.2024;21175
14.08.2024;19975
13.08.2024;20175
12.08.2024;20300
09.08.2024;20375
08.08.2024;20325
07.08.2024;20525
06.08.2024;20150
05.08.2024;19850
02.08.2024;19525
01.08.2024;17450
31.07.2024;17925
30.07.2024;17075
29.07.2024;17425
26.07.2024;18150
25.07.2024;18025
24.07.2024;18275
23.07.2024;18850
22.07.2024;18750
19.07.2024;18325
18.07.2024;17900
17.07.2024;18250
16.07.2024;18475
15.07.2024;18925
12.07.2024;20950
11.07.2024;20150
10.07.2024;19750
08.07.2024;19456
05.07.2024;19359
04.07.2024;18819,5
03.07.2024;18800
02.07.2024;19070,5
01.07.2024;18744,5
28.06.2024;18578
27.06.2024;18610
26.06.2024;18789,5
25.06.2024;18030,5
24.06.2024;17379
19.06.2024;17057
18.06.2024;16633,5
14.06.2024;16717
13.06.2024;16840
12.06.2024;17389,5
11.06.2024;17268
10.06.2024;17477
07.06.2024;17527,5
06.06.2024;17597
05.06.2024;17552
04.06.2024;17865,5
03.06.2024;18271
31.05.2024;17936
30.05.2024;17255
29.05.2024;17272,5
28.05.2024;17577
27.05.2024;17529,5
24.05.2024;17306
23.05.2024;17517
22.05.2024;17983,5
21.05.2024;17319
20.05.2024;17000
17.05.2024;16090,5
16.05.2024;15600
15.05.2024;15600
14.05.2024;15304,5
13.05.2024;14601
10.05.2024;15127,5
09.05.2024;15349
08.05.2024;15159,5
07.05.2024;15539
06.05.2024;14900
03.05.2024;14960
02.05.2024;13764,5
30.04.2024;13479,5
29.04.2024;13286
26.04.2024;12773
25.04.2024;12074,5
24.04.2024;11915
23.04.2024;12495
22.04.2024;12271
19.04.2024;12175
18.04.2024;12360
17.04.2024;12586,5
16.04.2024;12699
15.04.2024;12786
12.04.2024;12852
11.04.2024;13389
10.04.2024;12767
09.04.2024;13081,5
08.04.2024;12625
05.04.2024;13267,5
04.04.2024;12222,5
03.04.2024;13108
27.03.2024;13749
26.03.2024;14392
25.03.2024;13828
22.03.2024;14499
21.03.2024;14197,5
20.03.2024;14257
19.03.2024;13737
18.03.2024;13202
15.03.2024;13599
14.03.2024;13601
13.03.2024;13590
12.03.2024;13900
11.03.2024;12900
08.03.2024;
07.03.2024;12801
06.03.2024;12822
05.03.2024;13394
04.03.2024;13539
01.03.2024;14467
