Date;Close
24.03.2025;211500
21.03.2025;215500
20.03.2025;210000
19.03.2025;205500
18.03.2025;203000
17.03.2025;206000
14.03.2025;204500
13.03.2025;199700
12.03.2025;198900
11.03.2025;187800
10.03.2025;187900
07.03.2025;192400
06.03.2025;192400
05.03.2025;193100
04.03.2025;186100
28.02.2025;190200
27.02.2025;199200
26.02.2025;203000
25.02.2025;200500
24.02.2025;205000
21.02.2025;209500
20.02.2025;212000
19.02.2025;218500
18.02.2025;210000
17.02.2025;212000
14.02.2025;210000
13.02.2025;208500
12.02.2025;198900
11.02.2025;199700
10.02.2025;198100
07.02.2025;203000
06.02.2025;203500
05.02.2025;198800
04.02.2025;191100
03.02.2025;190900
31.01.2025;199200
24.01.2025;221000
23.01.2025;219500
22.01.2025;225500
21.01.2025;218000
20.01.2025;212000
17.01.2025;214500
16.01.2025;210000
15.01.2025;198200
14.01.2025;195000
13.01.2025;194300
10.01.2025;203500
09.01.2025;205000
08.01.2025;194700
07.01.2025;195000
06.01.2025;199800
03.01.2025;181900
02.01.2025;171200
30.12.2024;173900
27.12.2024;174500
26.12.2024;170100
24.12.2024;168500
23.12.2024;169600
20.12.2024;168500
19.12.2024;175000
18.12.2024;183500
17.12.2024;184000
16.12.2024;179300
13.12.2024;175500
12.12.2024;176100
11.12.2024;171800
10.12.2024;170400
09.12.2024;168900
06.12.2024;167100
05.12.2024;173000
04.12.2024;168000
03.12.2024;164900
02.12.2024;158800
29.11.2024;159900
28.11.2024;161100
27.11.2024;168300
26.11.2024;177100
25.11.2024;177000
22.11.2024;176700
21.11.2024;168800
20.11.2024;170600
19.11.2024;170600
18.11.2024;171700
15.11.2024;178200
14.11.2024;173000
13.11.2024;182900
12.11.2024;185800
11.11.2024;192600
08.11.2024;200500
07.11.2024;197400
06.11.2024;195800
05.11.2024;193200
04.11.2024;194000
01.11.2024;182200
31.10.2024;186300
30.10.2024;195000
29.10.2024;190300
28.10.2024;196000
25.10.2024;201000
24.10.2024;198200
23.10.2024;196000
22.10.2024;187800
21.10.2024;190900
18.10.2024;187300
17.10.2024;196000
16.10.2024;188700
15.10.2024;192900
14.10.2024;187500
11.10.2024;186000
10.10.2024;186700
08.10.2024;178000
07.10.2024;184900
04.10.2024;174100
02.10.2024;169100
30.09.2024;174600
