Date,Open,High,Low,Last,Close,Number of Shares,Number of Trades,Turnover,
2025-03-17,72.53,72.72,72.53,72.72,72.69,196000,7,142327,72.615969
2025-03-14,72.04,72.04,71.65,71.83,72.08,180000,5,129319,71.843833
2025-03-13,72.13,72.25,71.95,72.25,72.23,732000,11,527023,71.997691
2025-03-12,71.82,71.99,71.77,71.99,72.07,121000,10,86942,71.853223
2025-03-11,72.33,72.33,72.1,72.22,71.98,155000,8,111940,72.219548
2025-03-10,72.61,72.8,72.54,72.7,72.54,463000,10,336497,72.677538
2025-03-07,72.57,72.79,72.44,72.57,72.46,423000,16,306874,72.546974
2025-03-06,72.08,72.4,71.97,72.17,72.08,446000,16,322299,72.26435
2025-03-05,73.63,73.68,72.88,72.91,72.83,607000,17,444963,73.305222
2025-03-04,75.5,75.5,75.5,75.5,75.2,30000,1,22650,75.5
2025-03-03,75.73,75.73,74.98,75.18,75.14,86000,4,64748,75.28814
2025-02-28,76.04,76.04,75.84,75.84,76.02,450000,4,341631,75.917978
2025-02-27,75.62,75.84,75.62,75.84,75.83,151000,2,114188,75.621457
2025-02-26,75.69,75.69,75.69,75.69,75.64,80000,1,60552,75.69
2025-02-25,75.35,75.5,75.35,75.5,75.55,49000,3,36964,75.435714
2025-02-24,75.54,75.54,75.43,75.43,75.38,65000,3,49041,75.446923
2025-02-21,75.01,75.35,75.01,75.35,75.47,67000,5,50365,75.172239
2025-02-20,74.72,74.72,74.72,74.72,74.88,5000,1,3736,74.72
2025-02-19,75.01,75.01,74.72,74.72,74.74,322000,7,241148,74.890745
2025-02-18,75.15,75.21,75.15,75.21,75.21,103000,2,77406,75.151748
2025-02-17,75.42,75.42,75.18,75.2,75.26,36000,6,27097,75.27
2025-02-14,75.81,75.81,75.77,75.81,75.76,17000,3,12887,75.807647
2025-02-13,75.68,75.68,75.68,75.68,75.75,7000,1,5298,75.68
2025-02-12,75.6,75.6,75.34,75.34,75.25,16000,2,12080,75.5025
2025-02-11,76.05,76.05,75.84,75.84,75.63,110000,2,83634,76.030909
2025-02-10,76.08,76.08,76.08,76.08,76.2,3000,1,2282,76.08
2025-02-07,76,76,76,76,76.06,153000,2,116280,76
2025-02-06,76,76.13,76,76.13,76.07,82000,2,62359,76.047561
2025-02-05,76.19,76.31,76.19,76.31,76.18,27000,2,20580,76.221111
2025-02-04,75.82,75.82,75.82,75.82,75.89,14000,1,10615,75.82
2025-02-03,75.86,75.9,75.86,75.9,75.93,220000,2,166932,75.878182
2025-01-31,74.98,75.1,74.98,75.1,75.33,200000,2,150080,75.04
2025-01-30,0,0,0,0,74.89,0,0,0,
2025-01-29,74.8,74.8,74.68,74.68,74.46,17000,3,12705,74.736471
2025-01-28,74.6,74.66,74.55,74.55,74.54,18000,3,13425,74.582222
2025-01-27,74.96,74.96,74.84,74.84,74.77,65000,2,48718,74.950769
2025-01-24,74.38,74.4,74.37,74.37,74.44,34000,3,25291,74.383824
2025-01-23,74.65,74.65,74.65,74.65,74.68,40000,1,29860,74.65
