"Data","Ultimo","Apertura","Massimo","Minimo","Vol.","Var. %"
"18.03.2025","85,865","84,025","86,365","83,795","444,03K","2,78%"
"17.03.2025","83,540","82,300","83,880","81,580","1,20M","1,75%"
"14.03.2025","82,100","80,000","83,640","78,660","2,16M","-0,27%"
"13.03.2025","82,320","83,200","84,180","81,760","1,67M","-2,33%"
"12.03.2025","84,280","85,000","85,300","83,000","1,09M","-0,05%"
"11.03.2025","84,320","84,640","88,260","83,760","1,94M","-1,56%"
"10.03.2025","85,660","85,280","86,480","83,320","1,41M","2,44%"
"07.03.2025","83,620","85,980","87,000","82,880","1,36M","-3,86%"
"06.03.2025","86,980","84,800","87,520","84,480","2,08M","4,34%"
"05.03.2025","83,360","82,500","85,180","82,420","2,00M","4,30%"
"04.03.2025","79,920","82,460","82,980","79,060","2,28M","-5,89%"
"03.03.2025","84,920","83,380","87,400","83,160","1,50M","1,22%"
"28.02.2025","83,900","82,480","84,320","81,940","1,88M","0,33%"
"27.02.2025","83,620","84,780","85,460","82,900","1,51M","-3,80%"
"26.02.2025","86,920","85,860","86,940","85,380","1,81M","1,45%"
"25.02.2025","85,680","83,000","85,700","82,760","1,85M","2,76%"
"24.02.2025","83,380","84,680","84,680","82,680","958,75K","0,97%"
"21.02.2025","82,580","82,660","83,200","81,980","1,14M","0,10%"
"20.02.2025","82,500","81,000","83,880","80,900","1,43M","0,12%"
"19.02.2025","82,400","84,120","84,220","81,920","1,59M","-2,28%"
"18.02.2025","84,320","84,200","84,480","82,680","741,43K","0,29%"
"17.02.2025","84,080","82,980","84,160","82,320","1,08M","1,35%"
"14.02.2025","82,960","79,900","83,360","79,900","1,90M","2,60%"
"13.02.2025","80,860","77,600","81,460","77,560","2,82M","6,06%"
"12.02.2025","76,240","76,240","77,160","75,540","910,54K","0,03%"
"11.02.2025","76,220","76,800","77,040","75,480","911,78K","-1,06%"
"10.02.2025","77,040","76,480","77,480","76,340","704,17K","0,86%"
"07.02.2025","76,380","77,840","78,580","76,120","1,03M","-1,60%"
"06.02.2025","77,620","76,280","78,200","75,780","1,21M","1,70%"
"05.02.2025","76,320","76,500","77,000","75,680","859,64K","-1,09%"
"04.02.2025","77,160","76,680","77,500","75,240","797,49K","0,57%"
"03.02.2025","76,720","74,640","76,920","73,480","1,85M","-2,39%"
"31.01.2025","78,600","79,860","80,140","78,600","1,27M","-1,60%"
"30.01.2025","79,880","79,500","80,120","78,820","784,11K","0,73%"
"29.01.2025","79,300","78,880","79,760","78,280","909,02K","0,63%"
"28.01.2025","78,800","81,200","81,780","78,640","1,87M","-2,76%"
"27.01.2025","81,040","79,220","81,080","78,520","1,36M","2,79%"
"24.01.2025","78,840","78,060","80,700","77,920","1,29M","1,89%"
"23.01.2025","77,380","78,700","78,760","77,140","827,46K","-1,07%"
"22.01.2025","78,220","78,500","79,340","77,880","808,15K","0,49%"
"21.01.2025","77,840","78,180","78,800","77,560","1,16M","-1,79%"
"20.01.2025","79,260","77,240","80,280","76,460","1,49M","2,80%"
"17.01.2025","77,100","76,700","77,860","76,420","1,15M","1,13%"
"16.01.2025","76,240","77,960","78,020","76,240","1,02M","-1,04%"
"15.01.2025","77,040","76,500","77,400","75,900","973,38K","1,40%"
"14.01.2025","75,980","77,300","77,840","75,980","976,26K","-0,31%"
"13.01.2025","76,220","76,320","77,160","75,280","721,31K","-0,21%"
"10.01.2025","76,380","75,320","77,840","74,520","1,31M","1,14%"
"09.01.2025","75,520","76,120","76,520","75,140","1,08M","-1,62%"
"08.01.2025","76,760","78,480","78,760","76,460","1,11M","-2,66%"
"07.01.2025","78,860","79,600","80,280","78,740","1,03M","-1,18%"
"06.01.2025","79,800","77,640","81,700","77,620","1,79M","4,42%"
"03.01.2025","76,420","77,720","78,020","76,100","931,95K","-2,15%"
"02.01.2025","78,100","78,540","78,960","76,240","1,14M","-1,11%"
"30.12.2024","78,980","77,920","79,040","77,840","456,16K","0,82%"
"27.12.2024","78,340","76,880","78,460","76,740","958,95K","1,82%"
"23.12.2024","76,940","77,620","77,680","76,260","642,21K","-0,82%"
"20.12.2024","77,580","76,700","77,860","76,120","2,00M","0,39%"
"19.12.2024","77,280","77,080","78,380","76,900","1,30M","-0,92%"
"18.12.2024","78,000","79,000","79,200","78,000","1,02M","-0,46%"
"17.12.2024","78,360","77,000","78,760","76,920","1,02M","0,95%"
"16.12.2024","77,620","79,560","80,080","77,140","1,52M","-3,17%"
"13.12.2024","80,160","79,880","81,840","79,880","1,81M","0,23%"
"12.12.2024","79,980","78,400","80,220","78,280","1,61M","1,91%"
"11.12.2024","78,480","79,900","80,040","78,240","1,07M","-1,51%"
"10.12.2024","79,680","78,640","80,240","78,640","1,22M","0,61%"
"09.12.2024","79,200","78,100","79,960","78,060","1,94M","2,54%"
"06.12.2024","77,240","76,000","77,320","75,460","1,78M","2,71%"
"05.12.2024","75,200","73,360","75,300","73,360","1,50M","2,40%"
"04.12.2024","73,440","72,040","73,600","71,940","1,34M","2,28%"
"03.12.2024","71,800","72,740","73,660","71,800","1,43M","-0,11%"
"02.12.2024","71,880","69,420","72,660","69,040","1,87M","2,66%"
"29.11.2024","70,020","68,480","70,160","68,420","1,33M","1,60%"
"28.11.2024","68,920","69,120","69,880","68,720","655,63K","0,76%"
"27.11.2024","68,400","68,000","68,400","67,480","971,59K","-0,12%"
"26.11.2024","68,480","68,220","68,960","67,520","1,03M","-1,18%"
"25.11.2024","69,300","68,600","69,540","68,140","3,42M","2,21%"
"22.11.2024","67,800","67,920","68,280","66,520","1,01M","-0,21%"
"21.11.2024","67,940","68,380","68,400","66,680","1,05M","-0,82%"
"20.11.2024","68,500","69,200","69,460","68,320","972,72K","-0,81%"
"19.11.2024","69,060","68,760","69,560","68,080","1,46M","0,49%"
"18.11.2024","68,720","68,100","69,560","68,100","1,06M","1,18%"
"15.11.2024","67,920","67,000","68,580","67,000","1,07M","0,41%"
"14.11.2024","67,640","66,100","67,920","65,760","1,58M","2,55%"
"13.11.2024","65,960","66,780","67,220","65,260","1,48M","-1,87%"
"12.11.2024","67,220","67,020","68,740","66,900","1,23M","-0,91%"
"11.11.2024","67,840","68,140","68,540","66,520","1,31M","0,38%"
"08.11.2024","67,580","69,500","69,560","66,900","1,95M","-3,21%"
"07.11.2024","69,820","68,100","70,360","68,100","1,91M","2,92%"
"06.11.2024","67,840","69,720","70,140","66,840","4,43M","-6,58%"
"05.11.2024","72,620","73,000","73,340","72,100","879,38K","-0,11%"
"04.11.2024","72,700","73,000","74,160","72,580","877,77K","-0,63%"
"01.11.2024","73,160","72,120","73,520","72,080","773,39K","1,16%"
"31.10.2024","72,320","72,960","73,460","72,220","1,09M","-1,53%"
"30.10.2024","73,440","73,580","74,180","72,580","1,55M","-1,16%"
"29.10.2024","74,300","75,460","76,080","74,040","873,13K","-1,62%"
"28.10.2024","75,520","76,700","77,000","74,480","713,27K","-0,63%"
"25.10.2024","76,000","75,700","76,740","75,360","729,59K","-0,63%"
"24.10.2024","76,480","75,440","78,540","75,440","1,20M","1,22%"
"23.10.2024","75,560","75,480","76,920","75,300","614,52K","0,45%"
"22.10.2024","75,220","74,640","75,420","74,560","573,43K","0,45%"
"21.10.2024","74,880","74,920","75,720","74,460","667,61K","-0,29%"
"18.10.2024","75,100","74,760","76,560","74,740","964,53K","0,45%"
"17.10.2024","74,760","74,880","75,300","74,120","687,67K","0,03%"
"16.10.2024","74,740","74,760","75,340","74,020","798,82K","-0,72%"
"15.10.2024","75,280","76,340","76,400","74,560","952,99K","-1,26%"
"14.10.2024","76,240","76,380","76,600","75,500","652,63K","0,61%"
"11.10.2024","75,780","76,360","76,640","75,540","1,16M","-1,12%"
"10.10.2024","76,640","77,220","77,980","76,640","755,12K","-0,73%"
"09.10.2024","77,200","76,600","77,440","75,980","533,58K","1,23%"
"08.10.2024","76,260","76,000","76,780","75,040","992,37K","-2,03%"
"07.10.2024","77,840","78,280","78,340","77,080","562,64K","0,10%"
"04.10.2024","77,760","76,420","78,440","76,340","764,68K","1,75%"
"03.10.2024","76,420","77,360","77,560","75,840","946,01K","-1,55%"
"02.10.2024","77,620","77,640","78,700","77,340","780,52K","-0,15%"
"01.10.2024","77,740","79,180","79,680","77,560","925,30K","-1,82%"
"30.09.2024","79,180","80,500","80,640","78,860","1,45M","-2,42%"
"27.09.2024","81,140","78,660","81,280","78,660","1,76M","3,31%"
"26.09.2024","78,540","77,180","79,080","77,020","1,74M","3,81%"
"25.09.2024","75,660","78,000","78,340","75,660","1,67M","-3,15%"
"24.09.2024","78,120","77,700","78,720","77,640","2,12M","3,55%"
"23.09.2024","75,440","73,820","75,600","73,160","1,11M","2,44%"
