"Data","Ultimo","Apertura","Massimo","Minimo","Vol.","Var. %"
"18.03.2025","98,61","98,38","98,74","98,23","216,79K","0,36%"
"17.03.2025","98,25","97,79","98,65","97,66","659,50K","0,38%"
"14.03.2025","97,88","97,00","98,11","96,80","353,33K","1,16%"
"13.03.2025","96,76","97,06","97,76","96,58","409,66K","-0,69%"
"12.03.2025","97,43","96,94","98,00","96,29","719,18K","1,01%"
"11.03.2025","96,45","97,66","97,88","96,03","938,66K","-1,96%"
"10.03.2025","98,38","100,01","100,05","98,15","772,96K","-0,77%"
"07.03.2025","99,15","100,21","100,45","99,06","587,61K","-1,81%"
"06.03.2025","100,97","101,61","101,67","100,23","334,21K","0,20%"
"05.03.2025","100,78","102,40","102,56","100,04","697,88K","-1,52%"
"04.03.2025","102,33","104,38","104,43","102,02","721,52K","-3,24%"
"03.03.2025","105,76","106,77","106,82","105,60","920,20K","0,23%"
"28.02.2025","105,53","105,18","105,74","104,73","388,72K","-1,00%"
"27.02.2025","106,60","106,32","106,86","105,79","280,87K","0,19%"
"26.02.2025","106,39","106,05","106,63","105,86","348,77K","1,29%"
"25.02.2025","105,04","106,21","106,40","104,88","407,80K","-1,54%"
"24.02.2025","106,68","106,86","107,22","106,06","438,02K","-1,08%"
"21.02.2025","107,85","107,93","108,38","107,61","453,80K","0,11%"
"20.02.2025","107,74","108,61","108,80","107,63","367,41K","-0,99%"
"19.02.2025","108,82","108,79","108,95","108,36","282,65K","0,31%"
"18.02.2025","108,48","108,67","108,94","108,39","273,08K","0,06%"
"17.02.2025","108,42","108,25","108,50","108,24","354,74K","0,51%"
"14.02.2025","107,87","108,32","108,34","107,77","192,29K","-0,22%"
"13.02.2025","108,11","107,68","108,25","107,38","226,35K","0,52%"
"12.02.2025","107,55","108,09","108,30","107,25","360,34K","-0,69%"
"11.02.2025","108,30","108,36","108,46","108,04","311,77K","-0,23%"
"10.02.2025","108,56","108,19","108,68","108,07","292,52K","0,63%"
"07.02.2025","107,88","108,04","108,39","107,71","283,94K","-0,25%"
"06.02.2025","108,14","107,86","108,28","107,83","235,25K","1,11%"
"05.02.2025","106,96","106,59","106,96","106,35","381,37K","-0,22%"
"04.02.2025","107,19","106,93","107,24","106,40","239,21K","-0,01%"
"03.02.2025","107,21","106,84","107,28","106,35","1,01M","-0,90%"
"31.01.2025","108,18","107,94","108,46","107,94","335,77K","0,99%"
"30.01.2025","107,12","107,20","107,51","106,81","250,37K","0,28%"
"29.01.2025","106,82","107,21","107,42","106,75","249,86K","0,37%"
"28.01.2025","106,43","106,18","106,82","105,89","414,29K","1,27%"
"27.01.2025","105,11","105,50","105,89","103,98","636,35K","-1,62%"
"24.01.2025","106,84","107,21","107,22","106,69","271,86K","-0,45%"
"23.01.2025","107,32","107,07","107,49","106,83","245,88K","0,13%"
"22.01.2025","107,18","106,83","107,18","106,63","215,25K","0,85%"
"21.01.2025","106,28","106,17","106,74","106,11","258,17K","0,06%"
"20.01.2025","106,21","106,63","106,70","105,97","343,97K","-0,46%"
"17.01.2025","106,71","105,96","106,86","105,90","286,91K","0,86%"
"16.01.2025","105,79","106,13","106,21","105,60","272,63K","0,31%"
"15.01.2025","105,46","103,89","105,61","103,86","445,72K","1,57%"
"14.01.2025","103,82","104,57","104,78","103,64","219,83K","-0,18%"
"13.01.2025","104,01","103,97","104,32","103,46","408,23K","-0,12%"
"10.01.2025","104,14","105,01","105,20","103,94","335,14K","-0,99%"
"09.01.2025","105,18","104,82","105,18","104,80","214,22K","0,10%"
"08.01.2025","105,08","105,02","105,39","104,60","266,41K","0,07%"
"07.01.2025","105,00","105,00","105,65","104,80","495,65K","-0,71%"
"06.01.2025","105,76","105,29","105,86","105,00","516,94K","0,56%"
"03.01.2025","105,17","104,76","105,17","104,48","273,32K","-0,19%"
"02.01.2025","105,36","104,46","105,36","104,26","925,60K","1,71%"
"30.12.2024","103,59","104,29","104,50","103,54","186,28K","-0,93%"
"27.12.2024","104,56","105,17","105,40","104,17","399,07K","0,54%"
"23.12.2024","104,00","104,28","104,39","103,70","327,36K","-0,23%"
"20.12.2024","104,24","103,03","104,24","101,78","533,76K","0,23%"
"19.12.2024","104,00","103,64","104,78","103,49","384,36K","-1,59%"
"18.12.2024","105,68","105,58","105,89","105,33","306,71K","0,19%"
"17.12.2024","105,49","105,51","105,75","105,15","204,68K","-0,29%"
"16.12.2024","105,79","105,51","105,99","105,40","457,76K","0,18%"
"13.12.2024","105,60","106,18","106,29","105,33","325,96K","-0,48%"
"12.12.2024","106,11","106,14","106,42","105,90","252,73K","-0,25%"
"11.12.2024","106,37","105,58","106,40","105,49","208,37K","0,58%"
"10.12.2024","105,75","105,47","105,94","105,42","247,90K","0,19%"
"09.12.2024","105,55","106,11","106,15","105,25","280,82K","-0,33%"
"06.12.2024","105,89","105,56","106,19","105,39","174,53K","0,05%"
"05.12.2024","105,85","106,04","106,26","105,68","308,75K","-0,12%"
"04.12.2024","105,97","105,88","106,43","105,73","262,32K","0,33%"
"03.12.2024","105,63","105,75","105,79","105,42","235,39K","-0,07%"
"02.12.2024","105,71","105,15","105,81","105,04","722,44K","0,86%"
"29.11.2024","104,81","104,28","104,83","104,22","191,63K","0,36%"
"28.11.2024","104,43","104,50","104,55","104,24","169,85K","0,47%"
"27.11.2024","103,94","104,72","104,76","103,82","219,34K","-0,83%"
"26.11.2024","104,81","104,47","104,90","104,14","164,56K","0,16%"
"25.11.2024","104,64","105,09","105,18","104,49","292,79K","-0,24%"
"22.11.2024","104,90","103,97","105,14","103,86","266,48K","1,20%"
"21.11.2024","103,66","102,74","103,76","102,43","269,43K","1,27%"
"20.11.2024","102,36","102,74","102,91","102,06","226,20K","0,06%"
"19.11.2024","102,30","102,42","102,45","101,11","210,12K","-0,09%"
"18.11.2024","102,39","102,12","102,39","101,75","219,64K","0,31%"
"15.11.2024","102,07","102,60","102,75","102,07","472,15K","-1,31%"
"14.11.2024","103,43","103,52","104,17","103,21","240,64K","-0,10%"
"13.11.2024","103,53","102,83","103,53","102,50","270,95K","0,37%"
"12.11.2024","103,14","103,31","103,54","103,04","400,33K","-0,34%"
"11.11.2024","103,50","103,07","103,67","103,01","403,37K","1,11%"
"08.11.2024","102,36","102,05","102,36","101,43","315,09K","0,72%"
"07.11.2024","101,63","101,41","101,71","101,26","347,97K","0,59%"
"06.11.2024","101,03","101,23","101,93","100,64","480,08K","3,13%"
"05.11.2024","97,96","97,56","98,04","97,30","375,11K","0,49%"
"04.11.2024","97,48","97,66","97,80","97,18","298,47K","-0,83%"
"01.11.2024","98,29","97,46","98,50","97,42","884,99K","0,74%"
"31.10.2024","97,57","98,30","98,37","97,37","390,43K","-1,70%"
"30.10.2024","99,26","99,77","99,82","99,08","229,76K","-0,50%"
"29.10.2024","99,76","99,83","99,92","99,55","212,33K","0,08%"
"28.10.2024","99,68","99,87","99,92","99,44","194,54K","-0,06%"
"25.10.2024","99,74","99,38","99,96","99,25","199,75K","0,35%"
"24.10.2024","99,39","99,73","99,97","99,35","193,68K","-0,14%"
"23.10.2024","99,53","100,11","100,25","99,48","264,15K","-0,33%"
"22.10.2024","99,86","99,90","99,95","99,44","213,13K","0,13%"
"21.10.2024","99,73","100,20","100,28","99,68","325,68K","-0,39%"
"18.10.2024","100,12","100,06","100,28","99,88","244,55K","-0,10%"
"17.10.2024","100,22","99,85","100,76","99,82","169,08K","0,88%"
"16.10.2024","99,35","99,20","99,49","99,03","521,45K","-0,05%"
"15.10.2024","99,41","99,99","100,04","99,24","635,13K","-0,23%"
"14.10.2024","99,63","98,99","99,76","98,93","356,49K","0,82%"
"11.10.2024","98,82","98,31","98,95","98,07","319,17K","0,37%"
"10.10.2024","98,45","98,49","98,50","98,03","274,38K","0,16%"
"09.10.2024","98,29","97,50","98,29","97,41","273,65K","0,81%"
"08.10.2024","97,51","96,74","97,59","96,66","424,59K","-0,09%"
"07.10.2024","97,59","97,73","97,76","97,27","709,91K","0,30%"
"04.10.2024","97,30","96,59","97,88","96,53","443,19K","0,61%"
"03.10.2024","96,71","96,70","96,82","96,26","243,94K","-0,21%"
"02.10.2024","96,91","96,54","96,93","96,16","306,54K","0,33%"
